Stát;Roky;Ukazatel;Směr výstavby;value
Česko;2024;Počet stavebních povolení v ČR;Celkem;72053.0
Česko;2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2024;Počet vydaných stavebních povolení - budovy;Celkem;42113.0
Česko;2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;19320.0
Česko;2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;22789.0
Česko;2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;24258.0
Česko;2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;11056.0
Česko;2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;13200.0
Česko;2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;17852.0
Česko;2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;8262.0
Česko;2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;9593.0
Česko;2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;29948.0
Česko;2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;579706.0
Česko;2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;371771.0
Česko;2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;258359.0
Česko;2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;112787.0
Česko;2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;183448.0
Česko;2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;145789.0
Česko;2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;37184.0
Česko;2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;188323.0
Česko;2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;112720.0
Česko;2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;75603.0
Česko;2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;208596.0
Česko;2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2023;Počet stavebních povolení v ČR;Celkem;77398.0
Česko;2023;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2023;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2023;Počet vydaných stavebních povolení - budovy;Celkem;43866.0
Česko;2023;Počet vydaných stavebních povolení - budovy;Nová výstavba;20001.0
Česko;2023;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;23866.0
Česko;2023;Počet vydaných stavebních povolení - budovy bytové;Celkem;26014.0
Česko;2023;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;11972.0
Česko;2023;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;14042.0
Česko;2023;Počet vydaných stavebních povolení - budovy nebytové;Celkem;17856.0
Česko;2023;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;8032.0
Česko;2023;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;9824.0
Česko;2023;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;33528.0
Česko;2023;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2023;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2023;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;601666.0
Česko;2023;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2023;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2023;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;371292.0
Česko;2023;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;243325.0
Česko;2023;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;127967.0
Česko;2023;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;174962.0
Česko;2023;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;137143.0
Česko;2023;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;37819.0
Česko;2023;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;196327.0
Česko;2023;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;106182.0
Česko;2023;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;90148.0
Česko;2023;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;230378.0
Česko;2023;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2023;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2022;Počet stavebních povolení v ČR;Celkem;86049.0
Česko;2022;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2022;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2022;Počet vydaných stavebních povolení - budovy;Celkem;49084.0
Česko;2022;Počet vydaných stavebních povolení - budovy;Nová výstavba;25372.0
Česko;2022;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;23712.0
Česko;2022;Počet vydaných stavebních povolení - budovy bytové;Celkem;31969.0
Česko;2022;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;17275.0
Česko;2022;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;14694.0
Česko;2022;Počet vydaných stavebních povolení - budovy nebytové;Celkem;17115.0
Česko;2022;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;8097.0
Česko;2022;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;9018.0
Česko;2022;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;36965.0
Česko;2022;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2022;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2022;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;515091.0
Česko;2022;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2022;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2022;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;342179.0
Česko;2022;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;243332.0
Česko;2022;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;98847.0
Česko;2022;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;186179.0
Česko;2022;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;150302.0
Česko;2022;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;35877.0
Česko;2022;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;156000.0
Česko;2022;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;93030.0
Česko;2022;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;62970.0
Česko;2022;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;172912.0
Česko;2022;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2022;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2021;Počet stavebních povolení v ČR;Celkem;90962.0
Česko;2021;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2021;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2021;Počet vydaných stavebních povolení - budovy;Celkem;52601.0
Česko;2021;Počet vydaných stavebních povolení - budovy;Nová výstavba;27532.0
Česko;2021;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;25069.0
Česko;2021;Počet vydaných stavebních povolení - budovy bytové;Celkem;33995.0
Česko;2021;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;18745.0
Česko;2021;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;15250.0
Česko;2021;Počet vydaných stavebních povolení - budovy nebytové;Celkem;18606.0
Česko;2021;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;8787.0
Česko;2021;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;9819.0
Česko;2021;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;38361.0
Česko;2021;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2021;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;521373.0
Česko;2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2021;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;322597.0
Česko;2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;224826.0
Česko;2021;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;97771.0
Česko;2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;172919.0
Česko;2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;141890.0
Česko;2021;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;31029.0
Česko;2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;149678.0
Česko;2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;82936.0
Česko;2021;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;66742.0
Česko;2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;198776.0
Česko;2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2021;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
