Stát;Ukazatel;Kumulace měsíců;value
Česko;Zahájené byty;01-03 2025;8297.0
Česko;Zahájené byty;01-02 2025;5160.0
Česko;Zahájené byty;01 2025;2553.0
Česko;Zahájené byty;01-12 2024;36612.0
Česko;Zahájené byty;01-11 2024;33490.0
Česko;Zahájené byty;01-10 2024;29887.0
Česko;Zahájené byty;01-09 2024;27316.0
Česko;Zahájené byty;01-08 2024;22892.0
Česko;Zahájené byty;01-07 2024;20123.0
Česko;Zahájené byty;01-06 2024;17228.0
Česko;Zahájené byty;01-05 2024;14524.0
Česko;Zahájené byty;01-04 2024;11705.0
Česko;Zahájené byty;01-03 2024;8063.0
Česko;Zahájené byty;01-02 2024;5357.0
Česko;Zahájené byty;01 2024;3496.0
Česko;Zahájené byty;01-12 2023;35704.0
Česko;Zahájené byty;01-11 2023;32534.0
Česko;Zahájené byty;01-10 2023;30317.0
Česko;Zahájené byty;01-09 2023;27305.0
Česko;Zahájené byty;01-08 2023;24177.0
Česko;Zahájené byty;01-07 2023;21075.0
Česko;Zahájené byty;01-06 2023;18107.0
Česko;Zahájené byty;01-05 2023;15633.0
Česko;Zahájené byty;01-04 2023;12188.0
Česko;Zahájené byty;01-03 2023;9498.0
Česko;Zahájené byty;01-02 2023;6216.0
Česko;Zahájené byty;01 2023;2693.0
Česko;Zahájené byty;01-12 2022;42242.0
Česko;Zahájené byty;01-11 2022;38451.0
Česko;Zahájené byty;01-10 2022;34712.0
Česko;Zahájené byty;01-09 2022;31974.0
Česko;Zahájené byty;01-08 2022;29464.0
Česko;Zahájené byty;01-07 2022;25429.0
Česko;Zahájené byty;01-06 2022;22697.0
Česko;Zahájené byty;01-05 2022;19676.0
Česko;Zahájené byty;01-04 2022;14371.0
Česko;Zahájené byty;01-03 2022;10812.0
Česko;Zahájené byty;01-02 2022;6629.0
Česko;Zahájené byty;01 2022;2943.0
Česko;Zahájené byty;01-12 2021;44992.0
Česko;Zahájené byty;01-11 2021;40386.0
Česko;Zahájené byty;01-10 2021;37137.0
Česko;Zahájené byty;01-09 2021;33544.0
Česko;Zahájené byty;01-08 2021;29111.0
Česko;Zahájené byty;01-07 2021;24538.0
Česko;Zahájené byty;01-06 2021;20718.0
Česko;Zahájené byty;01-05 2021;16306.0
Česko;Zahájené byty;01-04 2021;12029.0
Česko;Zahájené byty;01-03 2021;8440.0
Česko;Zahájené byty;01-02 2021;5540.0
Česko;Zahájené byty;01 2021;2612.0
Česko;Zahájené byty;01-12 2020;35254.0
Česko;Zahájené byty;01-11 2020;32526.0
Česko;Zahájené byty;01-10 2020;29734.0
Česko;Zahájené byty;01-09 2020;27153.0
Česko;Zahájené byty;01-08 2020;24581.0
Česko;Zahájené byty;01-07 2020;21369.0
Česko;Zahájené byty;01-06 2020;18643.0
Česko;Zahájené byty;01-05 2020;15899.0
Česko;Zahájené byty;01-04 2020;12523.0
Česko;Zahájené byty;01-03 2020;9136.0
Česko;Zahájené byty;01-02 2020;6193.0
Česko;Zahájené byty;01 2020;2965.0
Česko;Zahájené byty;01-12 2019;38677.0
Česko;Zahájené byty;01-11 2019;35134.0
Česko;Zahájené byty;01-10 2019;32525.0
Česko;Zahájené byty;01-09 2019;29137.0
Česko;Zahájené byty;01-08 2019;25487.0
Česko;Zahájené byty;01-07 2019;22189.0
Česko;Zahájené byty;01-06 2019;19101.0
Česko;Zahájené byty;01-05 2019;16251.0
Česko;Zahájené byty;01-04 2019;12901.0
Česko;Zahájené byty;01-03 2019;9566.0
Česko;Zahájené byty;01-02 2019;5342.0
Česko;Zahájené byty;01 2019;2797.0
Česko;Zahájené byty;01-12 2018;33121.0
Česko;Zahájené byty;01-11 2018;30484.0
Česko;Zahájené byty;01-10 2018;27522.0
Česko;Zahájené byty;01-09 2018;24742.0
Česko;Zahájené byty;01-08 2018;22236.0
Česko;Zahájené byty;01-07 2018;19041.0
Česko;Zahájené byty;01-06 2018;16556.0
Česko;Zahájené byty;01-05 2018;13924.0
Česko;Zahájené byty;01-04 2018;10108.0
Česko;Zahájené byty;01-03 2018;7618.0
Česko;Zahájené byty;01-02 2018;5017.0
Česko;Zahájené byty;01 2018;2426.0
Česko;Zahájené byty;01-12 2017;31521.0
Česko;Zahájené byty;01-11 2017;28762.0
Česko;Zahájené byty;01-10 2017;26168.0
Česko;Zahájené byty;01-09 2017;23339.0
Česko;Zahájené byty;01-08 2017;20919.0
Česko;Zahájené byty;01-07 2017;17635.0
Česko;Zahájené byty;01-06 2017;15023.0
Česko;Zahájené byty;01-05 2017;12406.0
Česko;Zahájené byty;01-04 2017;9153.0
Česko;Zahájené byty;01-03 2017;6525.0
Česko;Zahájené byty;01-02 2017;3970.0
Česko;Zahájené byty;01 2017;1971.0
Česko;Zahájené byty;01-12 2016;27224.0
Česko;Zahájené byty;01-11 2016;24307.0
