Roky,PCSU,Kraje,Ukazatel,value
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty,8191
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty - nová výstavba,7407
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty - změna dokončených staveb,784
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty v nových rodinných domech,439
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty v nových bytových domech,6967
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty v nebytových budovách,107
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty,6489
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty - nová výstavba,5972
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty - změna dokončených staveb,517
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty v nových rodinných domech,635
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty v nových bytových domech,5306
2024,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty v nebytových budovách,13
2024,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty,5322
2024,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty - nová výstavba,4647
2024,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty - změna dokončených staveb,675
2024,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty v nových rodinných domech,2703
2024,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty v nových bytových domech,1787
2024,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty v nebytových budovách,314
2024,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty,4951
2024,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty - nová výstavba,4505
2024,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty - změna dokončených staveb,446
2024,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty v nových rodinných domech,3287
2024,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty v nových bytových domech,1165
2024,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty v nebytových budovách,59
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty,1868
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty - nová výstavba,1521
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty - změna dokončených staveb,347
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty v nových rodinných domech,850
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty v nových bytových domech,660
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty v nebytových budovách,71
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty,1569
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty - nová výstavba,1417
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty - změna dokončených staveb,152
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty v nových rodinných domech,992
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty v nových bytových domech,413
2024,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty v nebytových budovách,63
2024,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty,2698
2024,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty - nová výstavba,2465
2024,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty - změna dokončených staveb,233
2024,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty v nových rodinných domech,979
2024,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty v nových bytových domech,1483
