Kumulace měsíců,PCSU,Kraje,Ukazatel,value
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty,1809
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty - nová výstavba,1477
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty - změna dokončených staveb,332
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty v nových rodinných domech,140
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty v nových bytových domech,1327
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Zahájené byty v nebytových budovách,0
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty,1462
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty - nová výstavba,1206
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty - změna dokončených staveb,256
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty v nových rodinných domech,61
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty v nových bytových domech,1143
01-02 2025,Stavební úřad kromě speciálního,Hlavní město Praha,Dokončené byty v nebytových budovách,18
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty,593
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty - nová výstavba,436
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty - změna dokončených staveb,157
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty v nových rodinných domech,301
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty v nových bytových domech,125
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Zahájené byty v nebytových budovách,47
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty,1050
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty - nová výstavba,964
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty - změna dokončených staveb,86
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty v nových rodinných domech,602
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty v nových bytových domech,352
01-02 2025,Stavební úřad kromě speciálního,Středočeský kraj,Dokončené byty v nebytových budovách,15
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty,327
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty - nová výstavba,230
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty - změna dokončených staveb,97
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty v nových rodinných domech,105
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty v nových bytových domech,121
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Zahájené byty v nebytových budovách,25
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty,298
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty - nová výstavba,220
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty - změna dokončených staveb,78
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty v nových rodinných domech,161
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty v nových bytových domech,56
01-02 2025,Stavební úřad kromě speciálního,Jihočeský kraj,Dokončené byty v nebytových budovách,12
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty,133
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty - nová výstavba,115
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty - změna dokončených staveb,18
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty v nových rodinných domech,115
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty v nových bytových domech,0
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Zahájené byty v nebytových budovách,0
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Dokončené byty,336
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Dokončené byty - nová výstavba,291
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Dokončené byty - změna dokončených staveb,45
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Dokončené byty v nových rodinných domech,108
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Dokončené byty v nových bytových domech,178
01-02 2025,Stavební úřad kromě speciálního,Plzeňský kraj,Dokončené byty v nebytových budovách,2
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Zahájené byty,96
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Zahájené byty - nová výstavba,84
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Zahájené byty - změna dokončených staveb,12
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Zahájené byty v nových rodinných domech,63
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Zahájené byty v nových bytových domech,21
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Zahájené byty v nebytových budovách,1
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Dokončené byty,157
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Dokončené byty - nová výstavba,43
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Dokončené byty - změna dokončených staveb,114
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Dokončené byty v nových rodinných domech,38
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Dokončené byty v nových bytových domech,5
01-02 2025,Stavební úřad kromě speciálního,Karlovarský kraj,Dokončené byty v nebytových budovách,7
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty,168
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty - nová výstavba,85
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty - změna dokončených staveb,83
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty v nových rodinných domech,84
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty v nových bytových domech,0
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Zahájené byty v nebytových budovách,13
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty,295
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty - nová výstavba,264
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty - změna dokončených staveb,31
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty v nových rodinných domech,113
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty v nových bytových domech,150
01-02 2025,Stavební úřad kromě speciálního,Ústecký kraj,Dokončené byty v nebytových budovách,11
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty,124
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty - nová výstavba,116
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty - změna dokončených staveb,8
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty v nových rodinných domech,76
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty v nových bytových domech,39
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Zahájené byty v nebytových budovách,3
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty,128
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty - nová výstavba,100
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty - změna dokončených staveb,28
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty v nových rodinných domech,93
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty v nových bytových domech,5
01-02 2025,Stavební úřad kromě speciálního,Liberecký kraj,Dokončené byty v nebytových budovách,7
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty,141
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty - nová výstavba,109
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty - změna dokončených staveb,32
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty v nových rodinných domech,92
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Zahájené byty v nových bytových domech,14
