Ukazatel;Realizace stavby;Roky;Území;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Česko;431235.403
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Hlavní město Praha;91456.974
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Středočeský kraj;52817.581
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Jihočeský kraj;27926.219
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Plzeňský kraj;22482.921
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Karlovarský kraj;13592.41
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Ústecký kraj;26588.255
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Liberecký kraj;11745.318
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Královéhradecký kraj;17417.455
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Pardubický kraj;23601.576
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Kraj Vysočina;17117.349
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Jihomoravský kraj;49314.11
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Olomoucký kraj;21349.223
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Zlínský kraj;20194.006
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2023;Moravskoslezský kraj;35632.006
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Česko;428616.72
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Hlavní město Praha;82292.82
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Středočeský kraj;50429.965
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Jihočeský kraj;26359.427
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Plzeňský kraj;23217.528
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Karlovarský kraj;11495.503
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Ústecký kraj;27117.172
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Liberecký kraj;11343.833
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Královéhradecký kraj;19345.991
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Pardubický kraj;23368.544
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Kraj Vysočina;16450.943
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Jihomoravský kraj;54359.788
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Olomoucký kraj;25210.104
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Zlínský kraj;18926.984
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2022;Moravskoslezský kraj;38698.118
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Česko;354107.409
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Hlavní město Praha;69530.577
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Středočeský kraj;39287.751
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Jihočeský kraj;22955.816
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Plzeňský kraj;19131.303
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Karlovarský kraj;7684.909
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Ústecký kraj;23386.905
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Liberecký kraj;8298.931
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Královéhradecký kraj;17786.336
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Pardubický kraj;18845.665
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Kraj Vysočina;16066.99
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Jihomoravský kraj;43178.021
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Olomoucký kraj;20247.31
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Místo realizace stavby;2021;Zlínský kraj;13958.247
