Roky;Realizace stavby;Území;Ukazatel;value
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";431235.403
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";75581.624
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";65497.136
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";71883.725
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";168912.366
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";3855.015
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";45505.537
2023;Místo realizace stavby;Česko;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";196148.91
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";91456.974
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";30414.754
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";17902.421
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";6994.343
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";26855.402
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";285.942
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";9004.112
2023;Místo realizace stavby;Hlavní město Praha;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";34667.969
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";52817.581
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";8433.325
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";6148.44
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";11276.318
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";21106.516
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";818.096
2023;Místo realizace stavby;Středočeský kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";5034.886
