Území,Roky,Ukazatel,value
Česko,2024,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",695799.256
Česko,2024,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",681234.0900000001
Česko,2024,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",532931.0415009435
Česko,2024,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",118988.4402457612
Česko,2024,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",90107.3053293679
Česko,2024,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",111943.720365148
Česko,2024,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",207327.6282779275
Česko,2024,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4563.9472827389
Česko,2024,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",148303.0484990566
Česko,2024,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",14565.166
Česko,2023,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",695416.7769999999
Česko,2023,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",681688.8539999999
Česko,2023,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",539495.1576411036
Česko,2023,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",127860.6179287158
Česko,2023,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",93595.1670861151
Česko,2023,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",109632.870389511
Česko,2023,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",203408.6982380951
Česko,2023,"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)",4997.8039986667
Česko,2023,"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)",142193.6963588964
Česko,2023,"Stavební práce ""S"" v zahraničí (mil. Kč, b.c.)",13727.923
Česko,2022,"Stavební práce ""S"" celkem (mil. Kč, b.c.)",681888.004
Česko,2022,"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)",669612.952
Česko,2022,"Stavební práce ""S"" v tuzemsku - nová výstavba, rekonstrukce a modernizace (mil. Kč, b.c.)",525868.24262737
Česko,2022,"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)",124206.889350409
Česko,2022,"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)",79098.4956949762
Česko,2022,"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)",118874.482362499
Česko,2022,"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)",199040.697699558
