Ukazatel;Plocha bytu;ČR, kraje, okresy;Roky;value
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2022;67.0180243610505
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2021;66.1394331541055
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2020;65.8956402019275
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2019;68.1567316766279
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2018;64.8669577874818
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2017;70.4381476683938
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2016;67.3793065125583
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2015;68.5549211528004
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2014;64.1804733727811
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2013;64.8865928252604
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2012;65.5307963354475
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2011;67.9596115307538
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2010;73.198038856305
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2009;69.0742408833358
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2008;71.2458189965592
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2007;66.7133344339882
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Česko;2006;67.991956305859
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2022;68.0717213114754
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2021;68.582778062532
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2020;70.4526244035446
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2019;69.5033197686871
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2018;68.0127245508982
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2017;79.6638546398443
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2016;68.9485396383866
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2015;71.3583583583584
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2014;65.3687050359712
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2013;64.52385928248
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Hlavní město Praha;2012;70.2222977566281
