Ukazatel;ČR, kraje, okresy;Druh důchodu;Pohlaví;Roky;value
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2014;12274
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2015;12566
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2016;12678
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2017;13093
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2018;13703
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2019;14807
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2020;15898
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2021;16938
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2022;19807
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;muž;2023;21610
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2014;10065
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2015;10316
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2016;10416
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2017;10772
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2018;11296
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2019;12292
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2020;13221
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2021;14080
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2022;16509
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod starobní (sólo) - plný;žena;2023;19095
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod poměrný starobní (sólo);muž;2014;4284
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Důchod poměrný starobní (sólo);muž;2015;4328
