"Česko, kraje, okresy",Ukazatel,Druh soc. dávek,Roky,value
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2012,35542832.774
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2013,35227672.9912
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2014,35117345.843
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2015,34967088.032
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2016,34972763.952
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2017,34315762.116
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2018,35355992.613
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2019,33975923.663
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2020,47738426.782
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2021,44731728.6
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2022,45542601.0
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2023,54650483.6
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Dávky státní sociální podpory celkem,2024,55012519.913
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2012,3342328.117
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2013,3328748.658
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2014,3206443.415
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2015,3056812.214
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2016,2816753.533
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2017,2478856.629
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2018,2520119.253
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2019,2279001.831
Česko,Hodnota vyplacených dávek státní sociální podpory (tis. Kč),Přídavek na dítě,2020,2138034.681
