Území,Ukazatel,Druh soc. dávek,Roky,value
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2014,22077238.0
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2015,24109948.04892
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2016,26283777.19468
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2017,28315589.25552
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2018,33973696.80761
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2019,38886553.24935
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2020,55206495.27349
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2021,51471940.6774
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2022,47630528.75089
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2023,45450957.90426
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Výdaje celkem,2024,47544788.046
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2014,13880520.0
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2015,15427980.24354
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2016,16985267.05415
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2017,18289813.87065
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2018,22676590.71297
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2019,26669625.02289
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2020,32766449.42612
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2021,34037351.81042
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2022,32754035.90498
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2023,31681192.2763
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),Nemocenské,2024,34052961.716
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2014,853770.0
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2015,1062291.514
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2016,1179918.871
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2017,1401758.041
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2018,1632136.912
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2019,1726340.64436
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2020,11441630.284
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2021,5664126.21775
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2022,2831161.44236
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2023,2460201.57595
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Ošetřovné (dříve ""podpora při ošetřování člena rodiny"")",2024,2453223.153
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2014,7334386.0
Česko,Hodnota vyplacených dávek nemocenského pojištění (tis. Kč),"Peněžitá pomoc v mateřství (tzv. ""mateřská"")",2015,7610556.97838
