Ukazatel;Roky;ORP;Druh zařízení sociálních služeb;value
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Sociální poradny;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Služby rané péče;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Nízkoprahová denní centra;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Nízkoprahová zařízení pro děti a mládež;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Sociálně terapeutické dílny;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Terapeutické komunity;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Centra denních služeb;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Zařízení pro krizovou pomoc;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Centra sociálně rehabilitačních služeb;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Intervenční centra;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Služby následné péče;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Stacionáře denní;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Domovy pro osoby se zdravotním postižením;1.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Domovy pro seniory;2.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Azylové domy;1.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Domy na půl cesty;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Chráněné bydlení;1.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Noclehárny;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Domovy se zvláštním režimem;0.0
Počet zařízení sociálních služeb;2023;Aš (Karlovarský kraj);Stacionáře týdenní;0.0
Počet zařízení sociálních služeb;2023;Benešov (Středočeský kraj);Sociální poradny;5.0
