Ukazatel,Roky,Pohlaví,"ČR, kraje, okresy",Druh důchodu,value
Počet příjemců důchodu,2024,Ženy,Česko,Důchod plný starobní (včetně souběhu),1400779
Počet příjemců důchodu,2024,Ženy,Česko,Důchod poměrný starobní (včetně souběhu),4989
Počet příjemců důchodu,2024,Ženy,Česko,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),71931
Počet příjemců důchodu,2024,Ženy,Česko,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),41524
Počet příjemců důchodu,2024,Ženy,Česko,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),102303
Počet příjemců důchodu,2024,Ženy,Hlavní město Praha,Důchod plný starobní (včetně souběhu),151867
Počet příjemců důchodu,2024,Ženy,Hlavní město Praha,Důchod poměrný starobní (včetně souběhu),987
Počet příjemců důchodu,2024,Ženy,Hlavní město Praha,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),5558
Počet příjemců důchodu,2024,Ženy,Hlavní město Praha,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),3074
Počet příjemců důchodu,2024,Ženy,Hlavní město Praha,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),6362
Počet příjemců důchodu,2024,Ženy,Středočeský kraj,Důchod plný starobní (včetně souběhu),168585
Počet příjemců důchodu,2024,Ženy,Středočeský kraj,Důchod poměrný starobní (včetně souběhu),558
Počet příjemců důchodu,2024,Ženy,Středočeský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),8532
Počet příjemců důchodu,2024,Ženy,Středočeský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),4702
Počet příjemců důchodu,2024,Ženy,Středočeský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),12077
Počet příjemců důchodu,2024,Ženy,Jihočeský kraj,Důchod plný starobní (včetně souběhu),88193
Počet příjemců důchodu,2024,Ženy,Jihočeský kraj,Důchod poměrný starobní (včetně souběhu),167
Počet příjemců důchodu,2024,Ženy,Jihočeský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),4136
Počet příjemců důchodu,2024,Ženy,Jihočeský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2524
Počet příjemců důchodu,2024,Ženy,Jihočeský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),7145
Počet příjemců důchodu,2024,Ženy,Plzeňský kraj,Důchod plný starobní (včetně souběhu),77562
Počet příjemců důchodu,2024,Ženy,Plzeňský kraj,Důchod poměrný starobní (včetně souběhu),237
Počet příjemců důchodu,2024,Ženy,Plzeňský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),5084
Počet příjemců důchodu,2024,Ženy,Plzeňský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2974
Počet příjemců důchodu,2024,Ženy,Plzeňský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),5981
Počet příjemců důchodu,2024,Ženy,Karlovarský kraj,Důchod plný starobní (včetně souběhu),38653
Počet příjemců důchodu,2024,Ženy,Karlovarský kraj,Důchod poměrný starobní (včetně souběhu),172
Počet příjemců důchodu,2024,Ženy,Karlovarský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),1979
Počet příjemců důchodu,2024,Ženy,Karlovarský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),1112
Počet příjemců důchodu,2024,Ženy,Karlovarský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),2427
Počet příjemců důchodu,2024,Ženy,Ústecký kraj,Důchod plný starobní (včetně souběhu),103734
Počet příjemců důchodu,2024,Ženy,Ústecký kraj,Důchod poměrný starobní (včetně souběhu),407
Počet příjemců důchodu,2024,Ženy,Ústecký kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),6233
Počet příjemců důchodu,2024,Ženy,Ústecký kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),4015
Počet příjemců důchodu,2024,Ženy,Ústecký kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),10272
Počet příjemců důchodu,2024,Ženy,Liberecký kraj,Důchod plný starobní (včetně souběhu),58868
Počet příjemců důchodu,2024,Ženy,Liberecký kraj,Důchod poměrný starobní (včetně souběhu),112
Počet příjemců důchodu,2024,Ženy,Liberecký kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),3490
Počet příjemců důchodu,2024,Ženy,Liberecký kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),1937
Počet příjemců důchodu,2024,Ženy,Liberecký kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),4793
Počet příjemců důchodu,2024,Ženy,Královéhradecký kraj,Důchod plný starobní (včetně souběhu),78414
Počet příjemců důchodu,2024,Ženy,Královéhradecký kraj,Důchod poměrný starobní (včetně souběhu),126
Počet příjemců důchodu,2024,Ženy,Královéhradecký kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),4244
Počet příjemců důchodu,2024,Ženy,Královéhradecký kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2371
Počet příjemců důchodu,2024,Ženy,Královéhradecký kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),5261
Počet příjemců důchodu,2024,Ženy,Pardubický kraj,Důchod plný starobní (včetně souběhu),70398
Počet příjemců důchodu,2024,Ženy,Pardubický kraj,Důchod poměrný starobní (včetně souběhu),111
Počet příjemců důchodu,2024,Ženy,Pardubický kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),3740
Počet příjemců důchodu,2024,Ženy,Pardubický kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2272
Počet příjemců důchodu,2024,Ženy,Pardubický kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),5631
Počet příjemců důchodu,2024,Ženy,Kraj Vysočina,Důchod plný starobní (včetně souběhu),71707
Počet příjemců důchodu,2024,Ženy,Kraj Vysočina,Důchod poměrný starobní (včetně souběhu),103
Počet příjemců důchodu,2024,Ženy,Kraj Vysočina,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),3485
Počet příjemců důchodu,2024,Ženy,Kraj Vysočina,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2102
Počet příjemců důchodu,2024,Ženy,Kraj Vysočina,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),5096
Počet příjemců důchodu,2024,Ženy,Jihomoravský kraj,Důchod plný starobní (včetně souběhu),157505
Počet příjemců důchodu,2024,Ženy,Jihomoravský kraj,Důchod poměrný starobní (včetně souběhu),497
Počet příjemců důchodu,2024,Ženy,Jihomoravský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),8167
Počet příjemců důchodu,2024,Ženy,Jihomoravský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),5787
Počet příjemců důchodu,2024,Ženy,Jihomoravský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),14587
Počet příjemců důchodu,2024,Ženy,Olomoucký kraj,Důchod plný starobní (včetně souběhu),88334
Počet příjemců důchodu,2024,Ženy,Olomoucký kraj,Důchod poměrný starobní (včetně souběhu),192
Počet příjemců důchodu,2024,Ženy,Olomoucký kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),4124
Počet příjemců důchodu,2024,Ženy,Olomoucký kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2181
Počet příjemců důchodu,2024,Ženy,Olomoucký kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),5875
Počet příjemců důchodu,2024,Ženy,Zlínský kraj,Důchod plný starobní (včetně souběhu),83399
Počet příjemců důchodu,2024,Ženy,Zlínský kraj,Důchod poměrný starobní (včetně souběhu),174
Počet příjemců důchodu,2024,Ženy,Zlínský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),4560
Počet příjemců důchodu,2024,Ženy,Zlínský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),2146
Počet příjemců důchodu,2024,Ženy,Zlínský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),5772
Počet příjemců důchodu,2024,Ženy,Moravskoslezský kraj,Důchod plný starobní (včetně souběhu),163560
Počet příjemců důchodu,2024,Ženy,Moravskoslezský kraj,Důchod poměrný starobní (včetně souběhu),1146
Počet příjemců důchodu,2024,Ženy,Moravskoslezský kraj,Invalidní důchod pro invaliditu třetího stupně (vč. souběhu),8599
Počet příjemců důchodu,2024,Ženy,Moravskoslezský kraj,Invalidní důchod pro invaliditu druhého stupně (vč. souběhu),4327
Počet příjemců důchodu,2024,Ženy,Moravskoslezský kraj,Invalidní důchod pro invaliditu prvního stupně (vč. souběhu),11024
