Stát;Roky;Odvětví ekonomické činnosti;Ukazatel;value
Česko;2023;Celkem;Náklady práce celkem;59451.1823484487
Česko;2023;Celkem;Přímé náklady celkem;42802.3810007776
Česko;2023;Celkem;Přímé náklady - mzdy za vykonanou práci;37982.512660366
Česko;2023;Celkem;Přímé náklady - náhrady mzdy;4819.8683404115
Česko;2023;Celkem;Nepřímé náklady - sociální požitky;677.3457695113
Česko;2023;Celkem;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;14650.873383429
Česko;2023;Celkem;Nepřímé náklady - sociální náklady/výdaje - ostatní;849.1322854455
Česko;2023;Celkem;Nepřímé náklady - personální náklady/výdaje;573.2934581778
Česko;2023;Celkem;Nepřímé náklady - daně a dotace;-101.8435488925
Česko;2023;A - Zemědělství, lesnictví, rybářství;Náklady práce celkem;46267.9117809484
Česko;2023;A - Zemědělství, lesnictví, rybářství;Přímé náklady celkem;32914.4621678862
Česko;2023;A - Zemědělství, lesnictví, rybářství;Přímé náklady - mzdy za vykonanou práci;29360.8831534341
Česko;2023;A - Zemědělství, lesnictví, rybářství;Přímé náklady - náhrady mzdy;3553.5790144521
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - sociální požitky;814.6915077334
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;11524.7823166876
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - sociální náklady/výdaje - ostatní;546.7472314328
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - personální náklady/výdaje;452.0259207058
Česko;2023;A - Zemědělství, lesnictví, rybářství;Nepřímé náklady - daně a dotace;15.2026365026
Česko;2023;B-E - Průmysl celkem;Náklady práce celkem;59582.8784180924
Česko;2023;B-E - Průmysl celkem;Přímé náklady celkem;42392.8186257697
Česko;2023;B-E - Průmysl celkem;Přímé náklady - mzdy za vykonanou práci;37281.3184294473
Česko;2023;B-E - Průmysl celkem;Přímé náklady - náhrady mzdy;5111.5001963224
Česko;2023;B-E - Průmysl celkem;Nepřímé náklady - sociální požitky;741.0086879623
Česko;2023;B-E - Průmysl celkem;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;14559.3161570906
Česko;2023;B-E - Průmysl celkem;Nepřímé náklady - sociální náklady/výdaje - ostatní;1176.7540875161
Česko;2023;B-E - Průmysl celkem;Nepřímé náklady - personální náklady/výdaje;729.5262314752
Česko;2023;B-E - Průmysl celkem;Nepřímé náklady - daně a dotace;-16.5453717215
Česko;2023;B - Těžba a dobývání;Náklady práce celkem;67811.2241469925
Česko;2023;B - Těžba a dobývání;Přímé náklady celkem;47323.8031043499
Česko;2023;B - Těžba a dobývání;Přímé náklady - mzdy za vykonanou práci;41144.6855920383
