Roky,"ČR, kraje",Ukazatel,value
2023,Česko,Náklady práce celkem,59451.1823484487
2023,Česko,Přímé náklady celkem,42802.3810007776
2023,Česko,Přímé náklady - mzdy za vykonanou práci,37982.512660366
2023,Česko,Přímé náklady - náhrady mzdy,4819.8683404115
2023,Česko,Nepřímé náklady - sociální požitky,677.3457695113
2023,Česko,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,14650.873383429
2023,Česko,Nepřímé náklady - sociální náklady/výdaje - ostatní,849.1322854455
2023,Česko,Nepřímé náklady - personální náklady/výdaje,573.2934581778
2023,Česko,Nepřímé náklady - daně a dotace,-101.8435488925
2023,Hlavní město Praha,Náklady práce celkem,69392.0433396626
2023,Hlavní město Praha,Přímé náklady celkem,49683.848364897
2023,Hlavní město Praha,Přímé náklady - mzdy za vykonanou práci,44369.8841881396
2023,Hlavní město Praha,Přímé náklady - náhrady mzdy,5313.9641767574
2023,Hlavní město Praha,Nepřímé náklady - sociální požitky,981.0430774323
2023,Hlavní město Praha,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,16952.3941204225
2023,Hlavní město Praha,Nepřímé náklady - sociální náklady/výdaje - ostatní,1070.2302785521
2023,Hlavní město Praha,Nepřímé náklady - personální náklady/výdaje,782.58941588
2023,Hlavní město Praha,Nepřímé náklady - daně a dotace,-78.0619175213
2023,Středočeský kraj,Náklady práce celkem,60721.0550744435
2023,Středočeský kraj,Přímé náklady celkem,43712.007414271
2023,Středočeský kraj,Přímé náklady - mzdy za vykonanou práci,38518.9472172081
2023,Středočeský kraj,Přímé náklady - náhrady mzdy,5193.0601970629
2023,Středočeský kraj,Nepřímé náklady - sociální požitky,518.1204817892
2023,Středočeský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,15001.8405122452
2023,Středočeský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,952.9100993683
2023,Středočeský kraj,Nepřímé náklady - personální náklady/výdaje,629.7829844835
2023,Středočeský kraj,Nepřímé náklady - daně a dotace,-93.6064177137
2023,Jihočeský kraj,Náklady práce celkem,53079.5068797128
2023,Jihočeský kraj,Přímé náklady celkem,38491.551915523
2023,Jihočeský kraj,Přímé náklady - mzdy za vykonanou práci,34006.4412234776
2023,Jihočeský kraj,Přímé náklady - náhrady mzdy,4485.1106920454
2023,Jihočeský kraj,Nepřímé náklady - sociální požitky,530.3416404272
2023,Jihočeský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,13164.041433931
2023,Jihočeský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,610.3817923791
2023,Jihočeský kraj,Nepřímé náklady - personální náklady/výdaje,452.1375306716
2023,Jihočeský kraj,Nepřímé náklady - daně a dotace,-168.9474332191
2023,Plzeňský kraj,Náklady práce celkem,56183.4204380908
2023,Plzeňský kraj,Přímé náklady celkem,40551.5964530201
2023,Plzeňský kraj,Přímé náklady - mzdy za vykonanou práci,35925.587690263
2023,Plzeňský kraj,Přímé náklady - náhrady mzdy,4626.0087627571
2023,Plzeňský kraj,Nepřímé náklady - sociální požitky,552.1683472664
2023,Plzeňský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,13944.3798372373
2023,Plzeňský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,704.2557947229
2023,Plzeňský kraj,Nepřímé náklady - personální náklady/výdaje,520.0311466489
2023,Plzeňský kraj,Nepřímé náklady - daně a dotace,-89.0111408049
2023,Karlovarský kraj,Náklady práce celkem,50328.5363750631
2023,Karlovarský kraj,Přímé náklady celkem,36556.9890265549
2023,Karlovarský kraj,Přímé náklady - mzdy za vykonanou práci,32388.767471138
2023,Karlovarský kraj,Přímé náklady - náhrady mzdy,4168.2215554169
2023,Karlovarský kraj,Nepřímé náklady - sociální požitky,409.8305809312
2023,Karlovarský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,12548.3658611538
2023,Karlovarský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,560.2547171571
2023,Karlovarský kraj,Nepřímé náklady - personální náklady/výdaje,347.8884560549
