Stát;Roky;Velkost zpravodajské jednotky;Ukazatel;value
Česko;2023;Celkem zaměstnanců;Náklady práce celkem;59451.1823484487
Česko;2023;Celkem zaměstnanců;Přímé náklady celkem;42802.3810007776
Česko;2023;Celkem zaměstnanců;Přímé náklady - mzdy za vykonanou práci;37982.512660366
Česko;2023;Celkem zaměstnanců;Přímé náklady - náhrady mzdy;4819.8683404115
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - sociální požitky;677.3457695113
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;14650.873383429
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;849.1322854455
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - personální náklady/výdaje;573.2934581778
Česko;2023;Celkem zaměstnanců;Nepřímé náklady - daně a dotace;-101.8435488925
Česko;2023;1 až 9 zaměstnanců;Náklady práce celkem;38217.1381869464
Česko;2023;1 až 9 zaměstnanců;Přímé náklady celkem;28159.3687209376
Česko;2023;1 až 9 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;25659.7061941368
Česko;2023;1 až 9 zaměstnanců;Přímé náklady - náhrady mzdy;2499.6625268009
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - sociální požitky;174.9725770581
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;9520.9998230556
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;237.7638785372
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;205.5323196816
Česko;2023;1 až 9 zaměstnanců;Nepřímé náklady - daně a dotace;-81.4991323238
Česko;2023;10 až 19 zaměstnanců;Náklady práce celkem;46070.0268932346
Česko;2023;10 až 19 zaměstnanců;Přímé náklady celkem;33560.8612414305
Česko;2023;10 až 19 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;30009.4936950014
Česko;2023;10 až 19 zaměstnanců;Přímé náklady - náhrady mzdy;3551.3675464291
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - sociální požitky;351.0961966318
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;11472.4079832285
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;488.7967253077
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;294.2693784518
Česko;2023;10 až 19 zaměstnanců;Nepřímé náklady - daně a dotace;-97.4046318157
Česko;2023;20 a více zaměstnanců;Náklady práce celkem;63803.7079267798
Česko;2023;20 a více zaměstnanců;Přímé náklady celkem;45805.1417029681
Česko;2023;20 a více zaměstnanců;Přímé náklady - mzdy za vykonanou práci;40527.219924364
Česko;2023;20 a více zaměstnanců;Přímé náklady - náhrady mzdy;5277.921778604
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - sociální požitky;781.1971506854
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;15697.4739308055
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;972.191316539
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - personální náklady/výdaje;652.9583457685
Česko;2023;20 a více zaměstnanců;Nepřímé náklady - daně a dotace;-105.2545199866
Česko;2023;20 až 49 zaměstnanců;Náklady práce celkem;52777.0015215749
Česko;2023;20 až 49 zaměstnanců;Přímé náklady celkem;38508.6441710185
Česko;2023;20 až 49 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;34228.2782011914
Česko;2023;20 až 49 zaměstnanců;Přímé náklady - náhrady mzdy;4280.3659698271
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - sociální požitky;388.4778168046
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;13175.0746771899
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;539.8723329928
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;300.6463918005
Česko;2023;20 až 49 zaměstnanců;Nepřímé náklady - daně a dotace;-135.7138682314
Česko;2023;50 až 99 zaměstnanců;Náklady práce celkem;57288.2302909049
Česko;2023;50 až 99 zaměstnanců;Přímé náklady celkem;41817.1367099726
Česko;2023;50 až 99 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;36852.2052858408
Česko;2023;50 až 99 zaměstnanců;Přímé náklady - náhrady mzdy;4964.9314241317
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - sociální požitky;401.9861665832
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;14327.0020160618
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;596.5691970605
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;299.5767403725
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - daně a dotace;-154.0405391457
Česko;2023;100 až 249 zaměstnanců;Náklady práce celkem;59624.8396684208
Česko;2023;100 až 249 zaměstnanců;Přímé náklady celkem;43209.6075096527
Česko;2023;100 až 249 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;38228.6515542729
Česko;2023;100 až 249 zaměstnanců;Přímé náklady - náhrady mzdy;4980.9559553799
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - sociální požitky;522.8052218611
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;14805.7549378408
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;815.309380562
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;417.0150854473
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - daně a dotace;-145.6524669431
Česko;2023;250 až 499 zaměstnanců;Náklady práce celkem;63240.627150654
Česko;2023;250 až 499 zaměstnanců;Přímé náklady celkem;45405.2375683744
Česko;2023;250 až 499 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;40180.2202438241
Česko;2023;250 až 499 zaměstnanců;Přímé náklady - náhrady mzdy;5225.0173245503
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - sociální požitky;825.9515598683
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;15562.8750769001
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;954.7951752244
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;609.1879495351
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - daně a dotace;-117.4201792482
Česko;2023;500 až 999 zaměstnanců;Náklady práce celkem;68462.3272195529
Česko;2023;500 až 999 zaměstnanců;Přímé náklady celkem;49059.460292275
Česko;2023;500 až 999 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;43426.8079569478
Česko;2023;500 až 999 zaměstnanců;Přímé náklady - náhrady mzdy;5632.6523353272
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - sociální požitky;900.6850352833
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;16781.6529512913
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní;1214.1152490764
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;682.534790183
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - daně a dotace;-176.1210985561
