Stát,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2023,Celkem,Náklady práce celkem,424.1916938464
Česko,2023,Celkem,Přímé náklady celkem,305.3950830086
Česko,2023,Celkem,Přímé náklady - mzdy za vykonanou práci,271.0003816402
Česko,2023,Celkem,Přímé náklady - náhrady mzdy,34.3947013685
Česko,2023,Celkem,Nepřímé náklady - sociální požitky,4.830940183
Česko,2023,Celkem,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,104.5453476763
Česko,2023,Celkem,Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.050344111
Česko,2023,Celkem,Nepřímé náklady - personální náklady/výdaje,4.0992511185
Česko,2023,Celkem,Nepřímé náklady - daně a dotace,-0.729272251
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Náklady práce celkem,318.1107515474
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Přímé náklady celkem,226.3089749735
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Přímé náklady - mzdy za vykonanou práci,201.8673292315
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Přímé náklady - náhrady mzdy,24.441645742
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Nepřímé náklady - sociální požitky,5.5970017769
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,79.2391746803
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.7594100272
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Nepřímé náklady - personální náklady/výdaje,3.1042649819
Česko,2023,"A - Zemědělství, lesnictví, rybářství",Nepřímé náklady - daně a dotace,0.1019251076
Česko,2023,B-E - Průmysl celkem,Náklady práce celkem,435.9180817246
Česko,2023,B-E - Průmysl celkem,Přímé náklady celkem,310.1470620483
Česko,2023,B-E - Průmysl celkem,Přímé náklady - mzdy za vykonanou práci,272.7333661932
Česko,2023,B-E - Průmysl celkem,Přímé náklady - náhrady mzdy,37.4136958551
Česko,2023,B-E - Průmysl celkem,Nepřímé náklady - sociální požitky,5.4331163173
Česko,2023,B-E - Průmysl celkem,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,106.4924174967
Česko,2023,B-E - Průmysl celkem,Nepřímé náklady - sociální náklady/výdaje - ostatní ,8.6156680133
