Stát,Roky,Ukazatel,Velkost zpravodajské jednotky,value
Česko,2023,Náklady práce celkem,Celkem zaměstnanců,424.1916938464
Česko,2023,Náklady práce celkem,1 až 9 zaměstnanců,276.3838282841
Česko,2023,Náklady práce celkem,10 až 19 zaměstnanců,322.5389451856
Česko,2023,Náklady práce celkem,20 a více zaměstnanců,455.1865177492
Česko,2023,Náklady práce celkem,20 až 49 zaměstnanců,370.7901072276
Česko,2023,Náklady práce celkem,50 až 99 zaměstnanců,405.6153697951
Česko,2023,Náklady práce celkem,100 až 249 zaměstnanců,428.5588478171
Česko,2023,Náklady práce celkem,250 až 499 zaměstnanců,452.2870517994
Česko,2023,Náklady práce celkem,500 až 999 zaměstnanců,489.6493214572
Česko,2023,Náklady práce celkem,1 000 a více zaměstnanců,522.6582243115
Česko,2023,Přímé náklady celkem,Celkem zaměstnanců,305.3950830086
Česko,2023,Přímé náklady celkem,1 až 9 zaměstnanců,203.6024405313
Česko,2023,Přímé náklady celkem,10 až 19 zaměstnanců,235.025001925
Česko,2023,Přímé náklady celkem,20 a více zaměstnanců,326.7742531479
Česko,2023,Přímé náklady celkem,20 až 49 zaměstnanců,270.5449413602
Česko,2023,Přímé náklady celkem,50 až 99 zaměstnanců,296.0435262756
Česko,2023,Přímé náklady celkem,100 až 249 zaměstnanců,310.5706719453
Česko,2023,Přímé náklady celkem,250 až 499 zaměstnanců,324.7414776001
Česko,2023,Přímé náklady celkem,500 až 999 zaměstnanců,350.7892630995
Česko,2023,Přímé náklady celkem,1 000 a více zaměstnanců,369.4573913395
Česko,2023,Přímé náklady - mzdy za vykonanou práci,Celkem zaměstnanců,271.0003816402
Česko,2023,Přímé náklady - mzdy za vykonanou práci,1 až 9 zaměstnanců,185.4993856472
Česko,2023,Přímé náklady - mzdy za vykonanou práci,10 až 19 zaměstnanců,210.1606048994
Česko,2023,Přímé náklady - mzdy za vykonanou práci,20 a více zaměstnanců,289.1178667969
Česko,2023,Přímé náklady - mzdy za vykonanou práci,20 až 49 zaměstnanců,240.4710537931
Česko,2023,Přímé náklady - mzdy za vykonanou práci,50 až 99 zaměstnanců,260.8825174111
Česko,2023,Přímé náklady - mzdy za vykonanou práci,100 až 249 zaměstnanců,274.7754436728
Česko,2023,Přímé náklady - mzdy za vykonanou práci,250 až 499 zaměstnanců,287.3696897717
Česko,2023,Přímé náklady - mzdy za vykonanou práci,500 až 999 zaměstnanců,310.5005073884
Česko,2023,Přímé náklady - mzdy za vykonanou práci,1 000 a více zaměstnanců,326.7542108044
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,Celkem zaměstnanců,208.0744039251
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,1 až 9 zaměstnanců,161.3015615807
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,10 až 19 zaměstnanců,169.0595840402
Česko,2023,Přímé náklady - mzdy za vykonanou práci - tarifní mzdy,20 a více zaměstnanců,218.514968407
