Stát,Roky,Odvětví ekonomické činnosti,Velkost zpravodajské jednotky,Ukazatel,value
Česko,2023,Celkem,Celkem zaměstnanců,Náklady práce celkem,424.1916938464
Česko,2023,Celkem,Celkem zaměstnanců,Přímé náklady celkem,305.3950830086
Česko,2023,Celkem,Celkem zaměstnanců,Přímé náklady - mzdy za vykonanou práci,271.0003816402
Česko,2023,Celkem,Celkem zaměstnanců,Přímé náklady - náhrady mzdy,34.3947013685
Česko,2023,Celkem,Celkem zaměstnanců,Nepřímé náklady - sociální požitky,4.830940183
Česko,2023,Celkem,Celkem zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,104.5453476763
Česko,2023,Celkem,Celkem zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.050344111
Česko,2023,Celkem,Celkem zaměstnanců,Nepřímé náklady - personální náklady/výdaje,4.0992511185
Česko,2023,Celkem,Celkem zaměstnanců,Nepřímé náklady - daně a dotace,-0.729272251
Česko,2023,Celkem,1 až 9 zaměstnanců,Náklady práce celkem,276.3838282841
Česko,2023,Celkem,1 až 9 zaměstnanců,Přímé náklady celkem,203.6024405313
Česko,2023,Celkem,1 až 9 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,185.4993856472
Česko,2023,Celkem,1 až 9 zaměstnanců,Přímé náklady - náhrady mzdy,18.1030548841
Česko,2023,Celkem,1 až 9 zaměstnanců,Nepřímé náklady - sociální požitky,1.2387028201
Česko,2023,Celkem,1 až 9 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,68.9515886095
Česko,2023,Celkem,1 až 9 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní ,1.712529799
Česko,2023,Celkem,1 až 9 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,1.4943878546
Česko,2023,Celkem,1 až 9 zaměstnanců,Nepřímé náklady - daně a dotace,-0.6158213303
Česko,2023,Celkem,10 až 19 zaměstnanců,Náklady práce celkem,322.5389451856
Česko,2023,Celkem,10 až 19 zaměstnanců,Přímé náklady celkem,235.025001925
Česko,2023,Celkem,10 až 19 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,210.1606048994
Česko,2023,Celkem,10 až 19 zaměstnanců,Přímé náklady - náhrady mzdy,24.8643970257
Česko,2023,Celkem,10 až 19 zaměstnanců,Nepřímé náklady - sociální požitky,2.4341176145
Česko,2023,Celkem,10 až 19 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,80.3198711311
Česko,2023,Celkem,10 až 19 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.4185039984
Česko,2023,Celkem,10 až 19 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,2.0603929495
Česko,2023,Celkem,10 až 19 zaměstnanců,Nepřímé náklady - daně a dotace,-0.718942433
Česko,2023,Celkem,20 až 49 zaměstnanců,Náklady práce celkem,370.7901072276
Česko,2023,Celkem,20 až 49 zaměstnanců,Přímé náklady celkem,270.5449413602
Česko,2023,Celkem,20 až 49 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,240.4710537931
Česko,2023,Celkem,20 až 49 zaměstnanců,Přímé náklady - náhrady mzdy,30.0738875672
Česko,2023,Celkem,20 až 49 zaměstnanců,Nepřímé náklady - sociální požitky,2.7262397686
Česko,2023,Celkem,20 až 49 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,92.5429500097
Česko,2023,Celkem,20 až 49 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní ,3.7847567496
Česko,2023,Celkem,20 až 49 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,2.1113819718
Česko,2023,Celkem,20 až 49 zaměstnanců,Nepřímé náklady - daně a dotace,-0.9201626323
Česko,2023,Celkem,50 až 99 zaměstnanců,Náklady práce celkem,405.6153697951
Česko,2023,Celkem,50 až 99 zaměstnanců,Přímé náklady celkem,296.0435262756
Česko,2023,Celkem,50 až 99 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,260.8825174111
Česko,2023,Celkem,50 až 99 zaměstnanců,Přímé náklady - náhrady mzdy,35.1610088646
Česko,2023,Celkem,50 až 99 zaměstnanců,Nepřímé náklady - sociální požitky,2.8846326388
Česko,2023,Celkem,50 až 99 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,101.4503292685
Česko,2023,Celkem,50 až 99 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní ,4.2056862421
Česko,2023,Celkem,50 až 99 zaměstnanců,Nepřímé náklady - personální náklady/výdaje,2.1240944928
Česko,2023,Celkem,50 až 99 zaměstnanců,Nepřímé náklady - daně a dotace,-1.0928991226
Česko,2023,Celkem,100 až 249 zaměstnanců,Náklady práce celkem,428.5588478171
Česko,2023,Celkem,100 až 249 zaměstnanců,Přímé náklady celkem,310.5706719453
Česko,2023,Celkem,100 až 249 zaměstnanců,Přímé náklady - mzdy za vykonanou práci,274.7754436728
Česko,2023,Celkem,100 až 249 zaměstnanců,Přímé náklady - náhrady mzdy,35.7952282725
Česko,2023,Celkem,100 až 249 zaměstnanců,Nepřímé náklady - sociální požitky,3.7680230296
Česko,2023,Celkem,100 až 249 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,106.4165769017
Česko,2023,Celkem,100 až 249 zaměstnanců,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.8444666775
