Roky;ČR, kraje;Ukazatel;value
2023;Česko;Náklady práce celkem;713414.1881813844
2023;Česko;Přímé náklady celkem;513628.5720093306
2023;Česko;Přímé náklady - mzdy za vykonanou práci;455790.1519243921
2023;Česko;Přímé náklady - náhrady mzdy;57838.4200849385
2023;Česko;Nepřímé náklady - sociální požitky;8128.1492341359
2023;Česko;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;175810.4806011478
2023;Česko;Nepřímé náklady - sociální náklady/výdaje - ostatní;10189.5874253466
2023;Česko;Nepřímé náklady - personální náklady/výdaje;6879.5214981336
2023;Česko;Nepřímé náklady - daně a dotace;-1222.1225867102
2023;Hlavní město Praha;Náklady práce celkem;832704.5200759518
2023;Hlavní město Praha;Přímé náklady celkem;596206.180378764
2023;Hlavní město Praha;Přímé náklady - mzdy za vykonanou práci;532438.6102576758
2023;Hlavní město Praha;Přímé náklady - náhrady mzdy;63767.5701210882
2023;Hlavní město Praha;Nepřímé náklady - sociální požitky;11772.5169291874
2023;Hlavní město Praha;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;203428.7294450701
2023;Hlavní město Praha;Nepřímé náklady - sociální náklady/výdaje - ostatní;12842.7633426257
2023;Hlavní město Praha;Nepřímé náklady - personální náklady/výdaje;9391.0729905602
2023;Hlavní město Praha;Nepřímé náklady - daně a dotace;-936.7430102556
2023;Středočeský kraj;Náklady práce celkem;728652.6608933216
2023;Středočeský kraj;Přímé náklady celkem;524544.088971252
2023;Středočeský kraj;Přímé náklady - mzdy za vykonanou práci;462227.3666064968
2023;Středočeský kraj;Přímé náklady - náhrady mzdy;62316.7223647552
2023;Středočeský kraj;Nepřímé náklady - sociální požitky;6217.44578147
2023;Středočeský kraj;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;180022.0861469419
2023;Středočeský kraj;Nepřímé náklady - sociální náklady/výdaje - ostatní;11434.9211924198
2023;Středočeský kraj;Nepřímé náklady - personální náklady/výdaje;7557.3958138022
2023;Středočeský kraj;Nepřímé náklady - daně a dotace;-1123.2770125643
2023;Jihočeský kraj;Náklady práce celkem;636954.0825565535
2023;Jihočeský kraj;Přímé náklady celkem;461898.622986276
2023;Jihočeský kraj;Přímé náklady - mzdy za vykonanou práci;408077.2946817311
2023;Jihočeský kraj;Přímé náklady - náhrady mzdy;53821.3283045448
2023;Jihočeský kraj;Nepřímé náklady - sociální požitky;6364.0996851264
2023;Jihočeský kraj;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;157968.4972071725
2023;Jihočeský kraj;Nepřímé náklady - sociální náklady/výdaje - ostatní;7324.5815085487
2023;Jihočeský kraj;Nepřímé náklady - personální náklady/výdaje;5425.6503680597
2023;Jihočeský kraj;Nepřímé náklady - daně a dotace;-2027.3691986298
2023;Plzeňský kraj;Náklady práce celkem;674201.0452570892
2023;Plzeňský kraj;Přímé náklady celkem;486619.1574362412
2023;Plzeňský kraj;Přímé náklady - mzdy za vykonanou práci;431107.052283156
2023;Plzeňský kraj;Přímé náklady - náhrady mzdy;55512.1051530852
2023;Plzeňský kraj;Nepřímé náklady - sociální požitky;6626.0201671965
2023;Plzeňský kraj;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;167332.5580468479
2023;Plzeňský kraj;Nepřímé náklady - sociální náklady/výdaje - ostatní;8451.0695366747
2023;Plzeňský kraj;Nepřímé náklady - personální náklady/výdaje;6240.3737597874
2023;Plzeňský kraj;Nepřímé náklady - daně a dotace;-1068.1336896584
2023;Karlovarský kraj;Náklady práce celkem;603942.4365007567
2023;Karlovarský kraj;Přímé náklady celkem;438683.8683186586
2023;Karlovarský kraj;Přímé náklady - mzdy za vykonanou práci;388665.2096536562
2023;Karlovarský kraj;Přímé náklady - náhrady mzdy;50018.6586650024
2023;Karlovarský kraj;Nepřímé náklady - sociální požitky;4917.9669711749
2023;Karlovarský kraj;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;150580.3903338455
2023;Karlovarský kraj;Nepřímé náklady - sociální náklady/výdaje - ostatní;6723.0566058848
2023;Karlovarský kraj;Nepřímé náklady - personální náklady/výdaje;4174.6614726589
2023;Karlovarský kraj;Nepřímé náklady - daně a dotace;-1137.5072014662
2023;Ústecký kraj;Náklady práce celkem;669433.6759167749
2023;Ústecký kraj;Přímé náklady celkem;483041.6112552944
2023;Ústecký kraj;Přímé náklady - mzdy za vykonanou práci;427597.1832019264
2023;Ústecký kraj;Přímé náklady - náhrady mzdy;55444.428053368
2023;Ústecký kraj;Nepřímé náklady - sociální požitky;7212.7940013903
2023;Ústecký kraj;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;165903.2256402971
2023;Ústecký kraj;Nepřímé náklady - sociální náklady/výdaje - ostatní;9408.3624290536
2023;Ústecký kraj;Nepřímé náklady - personální náklady/výdaje;6028.9557282187
2023;Ústecký kraj;Nepřímé náklady - daně a dotace;-2161.2731374792
2023;Liberecký kraj;Náklady práce celkem;641556.387041733
2023;Liberecký kraj;Přímé náklady celkem;463898.0896647503
2023;Liberecký kraj;Přímé náklady - mzdy za vykonanou práci;410141.6140143598
2023;Liberecký kraj;Přímé náklady - náhrady mzdy;53756.4756503905
2023;Liberecký kraj;Nepřímé náklady - sociální požitky;5822.0024846556
2023;Liberecký kraj;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;159369.1544710268
2023;Liberecký kraj;Nepřímé náklady - sociální náklady/výdaje - ostatní;8321.4132347256
2023;Liberecký kraj;Nepřímé náklady - personální náklady/výdaje;5456.5873536752
