Stát;Roky;Velkost zpravodajské jednotky;Ukazatel;value
Česko;2023;Celkem zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1678.979598061
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;41.4438936671
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1705.6456293707
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;39.22825743
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1677.3185791806
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;39.5533599071
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1621.3335248363
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;48.9835395505
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1628.1316398828
Česko;2023;Celkem zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;35.8569925286
Česko;2023;Celkem zaměstnanců;Počet placených, ale neodpracovaných hodin;328.5151426066
Česko;2023;1 až 9 zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1656.0592932677
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;18.9341170775
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1689.7726209453
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;20.244496854
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1654.1424089275
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;17.1940667408
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1638.7792677395
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;21.5081620771
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1646.1002910078
Česko;2023;1 až 9 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;17.5458600219
Česko;2023;1 až 9 zaměstnanců;Počet placených, ale neodpracovaných hodin;239.910019082
Česko;2023;10 až 19 zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1710.3120271306
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;34.3755093962
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1717.7897525613
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;26.8907632009
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1705.3609333158
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;46.4518376435
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1667.6102187879
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;21.9626457013
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1513.2827292167
Česko;2023;10 až 19 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;12.0266084804
Česko;2023;10 až 19 zaměstnanců;Počet placených, ale neodpracovaných hodin;290.3017405745
Česko;2023;20 a více zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1679.5313995448
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;45.4132920056
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1705.3641368683
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;41.173181346
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1680.3078342461
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;47.9163061237
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1618.2362800562
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;53.4305555256
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1599.1215547329
Česko;2023;20 a více zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;72.8380070476
Česko;2023;20 a více zaměstnanců;Počet placených, ale neodpracovaných hodin;345.0809973686
Česko;2023;20 až 49 zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1704.3880909193
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;43.0578892136
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1707.8753248724
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;42.2389221282
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1702.3227785556
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;45.5224086387
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1670.9452113782
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;30.2133832509
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1555.2412434949
Česko;2023;20 až 49 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;18.2976041446
Česko;2023;20 až 49 zaměstnanců;Počet placených, ale neodpracovaných hodin;314.3769716786
Česko;2023;50 až 99 zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1689.6094935323
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;59.7608452564
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1694.9221808142
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;63.1993429828
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1696.2937109336
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;53.9395216924
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1628.8736188305
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;36.2952069883
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1483.1884752088
Česko;2023;50 až 99 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;39.7168810062
Česko;2023;50 až 99 zaměstnanců;Počet placených, ale neodpracovaných hodin;348.1648536882
Česko;2023;100 až 249 zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1671.1924443008
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;35.7725580559
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1709.0117556742
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;34.1442465298
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1653.7867300481
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod.) - přesčas;39.0992350989
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod) celkem;1561.3297398449
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 37 1/2 hod. - přesčas;37.6022420673
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) celkem;1394.9146023468
Česko;2023;100 až 249 zaměstnanců;Počet odprac. hodin (jiná týdenní prac. doba) - přesčas;56.6329856584
Česko;2023;100 až 249 zaměstnanců;Počet placených, ale neodpracovaných hodin;346.4527154016
Česko;2023;250 až 499 zaměstnanců;Počet odpracovaných hodin zaměstnanci celkem;1678.562580594
Česko;2023;250 až 499 zaměstnanců;Počet odprac. hodin zaměstnanci celkem - z toho v přesčase;40.9384229257
Česko;2023;250 až 499 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod) celkem;1724.1045012738
Česko;2023;250 až 499 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 40 hod.) - přesčas;34.9337716917
Česko;2023;250 až 499 zaměstnanců;Počet odprac. hodin (týdenní prac. doba 38 3/4 hod) celkem;1634.952648926
