Ukazatel;Území;NACE;Roky;value
Počet aktivních podniků;Česko;Celkem;2008;30705
Počet aktivních podniků;Česko;Celkem;2009;32316
Počet aktivních podniků;Česko;Celkem;2010;33531
Počet aktivních podniků;Česko;Celkem;2011;33866
Počet aktivních podniků;Česko;Celkem;2012;34031
Počet aktivních podniků;Česko;Celkem;2013;34052
Počet aktivních podniků;Česko;Celkem;2014;34963
Počet aktivních podniků;Česko;Celkem;2015;36581
Počet aktivních podniků;Česko;Celkem;2016;41146
Počet aktivních podniků;Česko;Celkem;2017;44481
Počet aktivních podniků;Česko;Celkem;2018;48015
Počet aktivních podniků;Česko;Celkem;2019;50841
Počet aktivních podniků;Česko;Celkem;2020;54278
Počet aktivních podniků;Česko;Celkem;2021;57633
Počet aktivních podniků;Česko;Celkem;2022;61577
Počet aktivních podniků;Česko;Celkem;2023;64785
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2008;3440
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2009;3509
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2010;3608
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2011;3544
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2012;3507
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2013;3465
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2014;3402
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2015;3393
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2016;3380
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2017;3420
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2018;3385
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2019;3443
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2020;3421
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2021;3479
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2022;3554
Počet aktivních podniků;Česko;High-tech zpracovatelský průmysl;2023;3673
Počet aktivních podniků;Česko;High-tech služby;2008;27265
Počet aktivních podniků;Česko;High-tech služby;2009;28807
Počet aktivních podniků;Česko;High-tech služby;2010;29923
Počet aktivních podniků;Česko;High-tech služby;2011;30322
Počet aktivních podniků;Česko;High-tech služby;2012;30524
Počet aktivních podniků;Česko;High-tech služby;2013;30587
Počet aktivních podniků;Česko;High-tech služby;2014;31561
Počet aktivních podniků;Česko;High-tech služby;2015;33188
Počet aktivních podniků;Česko;High-tech služby;2016;37766
Počet aktivních podniků;Česko;High-tech služby;2017;41061
Počet aktivních podniků;Česko;High-tech služby;2018;44630
Počet aktivních podniků;Česko;High-tech služby;2019;47398
Počet aktivních podniků;Česko;High-tech služby;2020;50857
Počet aktivních podniků;Česko;High-tech služby;2021;54154
Počet aktivních podniků;Česko;High-tech služby;2022;58023
Počet aktivních podniků;Česko;High-tech služby;2023;61112
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2008;83
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2009;86
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2010;88
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2011;86
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2012;88
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2013;86
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2014;80
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2015;78
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2016;87
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2017;87
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2018;93
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2019;92
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2020;91
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2021;86
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2022;90
Počet aktivních podniků;Česko;Výroba farmaceutických výrobků (21);2023;85
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2008;1111
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2009;1109
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2010;1149
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2011;1135
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2012;1119
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2013;1125
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2014;1119
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2015;1118
Počet aktivních podniků;Česko;Výroba počítačů a elektronických součástek;2016;1131
