Roky;Území;Ukazatel;value
2019;Česko;Počet okrsků;14766.0
2019;Česko;Voliči v seznamu;8316737.0
2019;Česko;Vydané obálky;2388304.0
2019;Česko;Volební účast (%);28.72
2019;Česko;Odevzdané obálky;2387378.0
2019;Česko;Platné hlasy;2370765.0
2019;Česko;Počet kandidátů;841.0
2019;Česko;Počet zvolených mužů;14.0
2019;Česko;Počet zvolených žen;7.0
2019;Hlavní město Praha;Počet okrsků;1116.0
2019;Hlavní město Praha;Voliči v seznamu;907999.0
2019;Hlavní město Praha;Vydané obálky;347892.0
2019;Hlavní město Praha;Volební účast (%);38.31
2019;Hlavní město Praha;Odevzdané obálky;347714.0
2019;Hlavní město Praha;Platné hlasy;345558.0
2019;Hlavní město Praha;Počet kandidátů;
2019;Hlavní město Praha;Počet zvolených mužů;
2019;Hlavní město Praha;Počet zvolených žen;
2019;Středočeský kraj;Počet okrsků;2063.0
2019;Středočeský kraj;Voliči v seznamu;1036947.0
2019;Středočeský kraj;Vydané obálky;313669.0
2019;Středočeský kraj;Volební účast (%);30.25
2019;Středočeský kraj;Odevzdané obálky;313578.0
2019;Středočeský kraj;Platné hlasy;311493.0
2019;Středočeský kraj;Počet kandidátů;
2019;Středočeský kraj;Počet zvolených mužů;
2019;Středočeský kraj;Počet zvolených žen;
2019;Jihočeský kraj;Počet okrsků;1260.0
2019;Jihočeský kraj;Voliči v seznamu;511773.0
2019;Jihočeský kraj;Vydané obálky;148345.0
2019;Jihočeský kraj;Volební účast (%);28.99
2019;Jihočeský kraj;Odevzdané obálky;148288.0
2019;Jihočeský kraj;Platné hlasy;147224.0
2019;Jihočeský kraj;Počet kandidátů;
2019;Jihočeský kraj;Počet zvolených mužů;
2019;Jihočeský kraj;Počet zvolených žen;
2019;Plzeňský kraj;Počet okrsků;1087.0
2019;Plzeňský kraj;Voliči v seznamu;453212.0
2019;Plzeňský kraj;Vydané obálky;126726.0
2019;Plzeňský kraj;Volební účast (%);27.96
2019;Plzeňský kraj;Odevzdané obálky;126691.0
2019;Plzeňský kraj;Platné hlasy;125754.0
2019;Plzeňský kraj;Počet kandidátů;
2019;Plzeňský kraj;Počet zvolených mužů;
2019;Plzeňský kraj;Počet zvolených žen;
2019;Karlovarský kraj;Počet okrsků;344.0
2019;Karlovarský kraj;Voliči v seznamu;232989.0
2019;Karlovarský kraj;Vydané obálky;54028.0
2019;Karlovarský kraj;Volební účast (%);23.19
2019;Karlovarský kraj;Odevzdané obálky;54004.0
2019;Karlovarský kraj;Platné hlasy;53535.0
2019;Karlovarský kraj;Počet kandidátů;
2019;Karlovarský kraj;Počet zvolených mužů;
2019;Karlovarský kraj;Počet zvolených žen;
2019;Ústecký kraj;Počet okrsků;1045.0
2019;Ústecký kraj;Voliči v seznamu;648317.0
2019;Ústecký kraj;Vydané obálky;142869.0
2019;Ústecký kraj;Volební účast (%);22.04
2019;Ústecký kraj;Odevzdané obálky;142810.0
2019;Ústecký kraj;Platné hlasy;141720.0
2019;Ústecký kraj;Počet kandidátů;
2019;Ústecký kraj;Počet zvolených mužů;
2019;Ústecký kraj;Počet zvolených žen;
2019;Liberecký kraj;Počet okrsků;583.0
2019;Liberecký kraj;Voliči v seznamu;348118.0
2019;Liberecký kraj;Vydané obálky;98555.0
2019;Liberecký kraj;Volební účast (%);28.31
2019;Liberecký kraj;Odevzdané obálky;98517.0
2019;Liberecký kraj;Platné hlasy;97800.0
2019;Liberecký kraj;Počet kandidátů;
2019;Liberecký kraj;Počet zvolených mužů;
2019;Liberecký kraj;Počet zvolených žen;
2019;Královéhradecký kraj;Počet okrsků;927.0
2019;Královéhradecký kraj;Voliči v seznamu;441611.0
2019;Královéhradecký kraj;Vydané obálky;133859.0
2019;Královéhradecký kraj;Volební účast (%);30.31
2019;Královéhradecký kraj;Odevzdané obálky;133815.0
2019;Královéhradecký kraj;Platné hlasy;132761.0
2019;Královéhradecký kraj;Počet kandidátů;
2019;Královéhradecký kraj;Počet zvolených mužů;
2019;Královéhradecký kraj;Počet zvolených žen;
2019;Pardubický kraj;Počet okrsků;876.0
2019;Pardubický kraj;Voliči v seznamu;410354.0
2019;Pardubický kraj;Vydané obálky;118232.0
2019;Pardubický kraj;Volební účast (%);28.81
2019;Pardubický kraj;Odevzdané obálky;118172.0
2019;Pardubický kraj;Platné hlasy;117292.0
2019;Pardubický kraj;Počet kandidátů;
2019;Pardubický kraj;Počet zvolených mužů;
2019;Pardubický kraj;Počet zvolených žen;
2019;Kraj Vysočina;Počet okrsků;1137.0
2019;Kraj Vysočina;Voliči v seznamu;409780.0
2019;Kraj Vysočina;Vydané obálky;121240.0
