Území,Ukazatel,Roky,value
Česko,Počet okrsků,2014,14752.0
Česko,Počet okrsků,2018,14748.0
Česko,Počet okrsků,2022,14722.0
Česko,Voliči v seznamu,2014,8406047.0
Česko,Voliči v seznamu,2018,8345081.0
Česko,Voliči v seznamu,2022,8255204.0
Česko,Vydané obálky,2014,3737564.0
Česko,Vydané obálky,2018,3950860.0
Česko,Vydané obálky,2022,3803131.0
Česko,Volební účast (%),2014,44.46
Česko,Volební účast (%),2018,47.34
Česko,Volební účast (%),2022,46.07
Česko,Odevzdané obálky,2014,
Česko,Odevzdané obálky,2018,3945863.0
Česko,Odevzdané obálky,2022,3797215.0
Česko,Platné hlasy,2014,82441420.0
Česko,Platné hlasy,2018,91065087.0
Česko,Platné hlasy,2022,87076331.0
Česko,Počet kandidátů,2014,211278.0
Česko,Počet kandidátů,2018,195607.0
Česko,Počet kandidátů,2022,178423.0
Česko,Počet zvolených mužů,2014,43446.0
Česko,Počet zvolených mužů,2018,42727.0
Česko,Počet zvolených mužů,2022,42066.0
Česko,Počet zvolených žen,2014,16127.0
Česko,Počet zvolených žen,2018,16604.0
Česko,Počet zvolených žen,2022,17162.0
