Roky,Území,Ukazatel,Kolo voleb,value
2023,Česko,Počet okrsků,1. kolo,14857.0
2023,Česko,Počet okrsků,2. kolo,14857.0
2023,Česko,Voliči v seznamu,1. kolo,8245962.0
2023,Česko,Voliči v seznamu,2. kolo,8242566.0
2023,Česko,Vydané obálky,1. kolo,5626824.0
2023,Česko,Vydané obálky,2. kolo,5790001.0
2023,Česko,Volební účast (%),1. kolo,68.24
2023,Česko,Volební účast (%),2. kolo,70.25
2023,Česko,Odevzdané obálky,1. kolo,5622815.0
2023,Česko,Odevzdané obálky,2. kolo,5787540.0
2023,Česko,Platné hlasy,1. kolo,5578689.0
2023,Česko,Platné hlasy,2. kolo,5759199.0
2023,Hlavní město Praha,Počet okrsků,1. kolo,1124.0
2023,Hlavní město Praha,Počet okrsků,2. kolo,1124.0
2023,Hlavní město Praha,Voliči v seznamu,1. kolo,906852.0
2023,Hlavní město Praha,Voliči v seznamu,2. kolo,904378.0
2023,Hlavní město Praha,Vydané obálky,1. kolo,643396.0
2023,Hlavní město Praha,Vydané obálky,2. kolo,661713.0
2023,Hlavní město Praha,Volební účast (%),1. kolo,70.95
2023,Hlavní město Praha,Volební účast (%),2. kolo,73.17
2023,Hlavní město Praha,Odevzdané obálky,1. kolo,642799.0
2023,Hlavní město Praha,Odevzdané obálky,2. kolo,661311.0
2023,Hlavní město Praha,Platné hlasy,1. kolo,636788.0
2023,Hlavní město Praha,Platné hlasy,2. kolo,657941.0
2023,Středočeský kraj,Počet okrsků,1. kolo,2068.0
2023,Středočeský kraj,Počet okrsků,2. kolo,2068.0
2023,Středočeský kraj,Voliči v seznamu,1. kolo,1050489.0
2023,Středočeský kraj,Voliči v seznamu,2. kolo,1047322.0
2023,Středočeský kraj,Vydané obálky,1. kolo,750061.0
2023,Středočeský kraj,Vydané obálky,2. kolo,762278.0
2023,Středočeský kraj,Volební účast (%),1. kolo,71.4
2023,Středočeský kraj,Volební účast (%),2. kolo,72.78
2023,Středočeský kraj,Odevzdané obálky,1. kolo,749521.0
2023,Středočeský kraj,Odevzdané obálky,2. kolo,761978.0
2023,Středočeský kraj,Platné hlasy,1. kolo,742895.0
2023,Středočeský kraj,Platné hlasy,2. kolo,758243.0
2023,Jihočeský kraj,Počet okrsků,1. kolo,1258.0
2023,Jihočeský kraj,Počet okrsků,2. kolo,1258.0
2023,Jihočeský kraj,Voliči v seznamu,1. kolo,506030.0
2023,Jihočeský kraj,Voliči v seznamu,2. kolo,507224.0
2023,Jihočeský kraj,Vydané obálky,1. kolo,351341.0
2023,Jihočeský kraj,Vydané obálky,2. kolo,358888.0
2023,Jihočeský kraj,Volební účast (%),1. kolo,69.43
2023,Jihočeský kraj,Volební účast (%),2. kolo,70.76
2023,Jihočeský kraj,Odevzdané obálky,1. kolo,351173.0
2023,Jihočeský kraj,Odevzdané obálky,2. kolo,358763.0
2023,Jihočeský kraj,Platné hlasy,1. kolo,348715.0
2023,Jihočeský kraj,Platné hlasy,2. kolo,356996.0
2023,Plzeňský kraj,Počet okrsků,1. kolo,1088.0
2023,Plzeňský kraj,Počet okrsků,2. kolo,1088.0
2023,Plzeňský kraj,Voliči v seznamu,1. kolo,449325.0
2023,Plzeňský kraj,Voliči v seznamu,2. kolo,449263.0
2023,Plzeňský kraj,Vydané obálky,1. kolo,306773.0
2023,Plzeňský kraj,Vydané obálky,2. kolo,314661.0
2023,Plzeňský kraj,Volební účast (%),1. kolo,68.27
2023,Plzeňský kraj,Volební účast (%),2. kolo,70.04
2023,Plzeňský kraj,Odevzdané obálky,1. kolo,306607.0
2023,Plzeňský kraj,Odevzdané obálky,2. kolo,314545.0
2023,Plzeňský kraj,Platné hlasy,1. kolo,304324.0
2023,Plzeňský kraj,Platné hlasy,2. kolo,313126.0
2023,Karlovarský kraj,Počet okrsků,1. kolo,345.0
2023,Karlovarský kraj,Počet okrsků,2. kolo,345.0
2023,Karlovarský kraj,Voliči v seznamu,1. kolo,227663.0
2023,Karlovarský kraj,Voliči v seznamu,2. kolo,228371.0
2023,Karlovarský kraj,Vydané obálky,1. kolo,136298.0
2023,Karlovarský kraj,Vydané obálky,2. kolo,143320.0
2023,Karlovarský kraj,Volební účast (%),1. kolo,59.87
2023,Karlovarský kraj,Volební účast (%),2. kolo,62.76
2023,Karlovarský kraj,Odevzdané obálky,1. kolo,136162.0
