Území,Typ ceny,Očištění,Země,Měsíce,Ukazatel,value
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,"Vývoz (v mil. Kč, FOB)",347775.145946
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,"Dovoz (v mil. Kč, CIF)",342161.224731
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,Bilance (v mil. Kč),5613.921215
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,Obrat zboží (v mil. Kč),689936.370677
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,Vývoz (meziroční index),94.3134752374
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,Dovoz (meziroční index),95.7127088797
Česko,Běžné ceny,Bez očištění,Svět celkem,srpen 2025,Obrat zboží (meziroční index),95.002248479
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,"Vývoz (v mil. Kč, FOB)",375904.752154
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,"Dovoz (v mil. Kč, CIF)",376531.654231
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,Bilance (v mil. Kč),-626.902077
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,Obrat zboží (v mil. Kč),752436.406385
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,Vývoz (meziroční index),104.884733611
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,Dovoz (meziroční index),102.9904290601
Česko,Běžné ceny,Bez očištění,Svět celkem,červenec 2025,Obrat zboží (meziroční index),103.9281611579
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,"Vývoz (v mil. Kč, FOB)",418405.943141
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,"Dovoz (v mil. Kč, CIF)",390014.462379
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,Bilance (v mil. Kč),28391.480762
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,Obrat zboží (v mil. Kč),808420.40552
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,Vývoz (meziroční index),107.1996327525
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,Dovoz (meziroční index),108.5885076287
Česko,Běžné ceny,Bez očištění,Svět celkem,červen 2025,Obrat zboží (meziroční index),107.8652186787
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,"Vývoz (v mil. Kč, FOB)",394028.829284
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,"Dovoz (v mil. Kč, CIF)",381685.89173
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,Bilance (v mil. Kč),12342.937554
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,Obrat zboží (v mil. Kč),775714.721014
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,Vývoz (meziroční index),102.999283099
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,Dovoz (meziroční index),102.6019664688
Česko,Běžné ceny,Bez očištění,Svět celkem,květen 2025,Obrat zboží (meziroční index),102.8034019606
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,"Vývoz (v mil. Kč, FOB)",409980.063057
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,"Dovoz (v mil. Kč, CIF)",390694.038472
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,Bilance (v mil. Kč),19286.024585
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,Obrat zboží (v mil. Kč),800674.101529
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,Vývoz (meziroční index),99.1315662959
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,Dovoz (meziroční index),101.6718376679
Česko,Běžné ceny,Bez očištění,Svět celkem,duben 2025,Obrat zboží (meziroční index),100.355054239
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,"Vývoz (v mil. Kč, FOB)",430373.738207
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,"Dovoz (v mil. Kč, CIF)",402180.16083
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,Bilance (v mil. Kč),28193.577377
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,Obrat zboží (v mil. Kč),832553.899037
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,Vývoz (meziroční index),105.7482273799
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,Dovoz (meziroční index),109.5991918196
Česko,Běžné ceny,Bez očištění,Svět celkem,březen 2025,Obrat zboží (meziroční index),107.5741328725
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,"Vývoz (v mil. Kč, FOB)",398874.752121
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,"Dovoz (v mil. Kč, CIF)",367970.52834
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,Bilance (v mil. Kč),30904.223781
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,Obrat zboží (v mil. Kč),766845.280461
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,Vývoz (meziroční index),101.020528199
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,Dovoz (meziroční index),102.2590263286
Česko,Běžné ceny,Bez očištění,Svět celkem,únor 2025,Obrat zboží (meziroční index),101.6110554607
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,"Vývoz (v mil. Kč, FOB)",396767.173152
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,"Dovoz (v mil. Kč, CIF)",378374.579901
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,Bilance (v mil. Kč),18392.593251
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,Obrat zboží (v mil. Kč),775141.753053
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,Vývoz (meziroční index),112.2108569573
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,Dovoz (meziroční index),109.2508325967
Česko,Běžné ceny,Bez očištění,Svět celkem,leden 2025,Obrat zboží (meziroční index),110.7461858031
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,"Vývoz (v mil. Kč, FOB)",337293.578883
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,"Dovoz (v mil. Kč, CIF)",329533.655403
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,Bilance (v mil. Kč),7759.92348
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,Obrat zboží (v mil. Kč),666827.234286
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,Vývoz (meziroční index),108.3314472276
Česko,Běžné ceny,Bez očištění,Svět celkem,prosinec 2024,Dovoz (meziroční index),107.4349722228
