Území,Typ ceny,Očištění,Země,Čtvrtletí,Ukazatel,value
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,"Vývoz (v mil. Kč, FOB)",1222414.835482
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,"Dovoz (v mil. Kč, CIF)",1162394.392581
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,Bilance (v mil. Kč),60020.442901
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,Obrat zboží (v mil. Kč),2384809.228063
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,Vývoz (meziroční index),103.0328636588
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,Dovoz (meziroční index),104.2091746597
Česko,Běžné ceny,Bez očištění,Svět celkem,2. čtvrtletí 2025,Obrat zboží (meziroční index),103.6028807749
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,"Vývoz (v mil. Kč, FOB)",1226015.66348
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,"Dovoz (v mil. Kč, CIF)",1148525.269071
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,Bilance (v mil. Kč),77490.394409
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,Obrat zboží (v mil. Kč),2374540.932551
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,Vývoz (meziroční index),106.1103622572
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,Dovoz (meziroční index),107.0254688494
Česko,Běžné ceny,Bez očištění,Svět celkem,1. čtvrtletí 2025,Obrat zboží (meziroční index),106.5510216762
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,"Vývoz (v mil. Kč, FOB)",1189368.303906
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,"Dovoz (v mil. Kč, CIF)",1149444.028391
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,Bilance (v mil. Kč),39924.275515
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,Obrat zboží (v mil. Kč),2338812.332297
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,Vývoz (meziroční index),104.9824641243
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,Dovoz (meziroční index),105.8165725734
Česko,Běžné ceny,Bez očištění,Svět celkem,4. čtvrtletí 2024,Obrat zboží (meziroční index),105.3907494546
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,"Vývoz (v mil. Kč, FOB)",1131973.216043
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,"Dovoz (v mil. Kč, CIF)",1104680.017437
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,Bilance (v mil. Kč),27293.198606
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,Obrat zboží (v mil. Kč),2236653.23348
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,Vývoz (meziroční index),110.9848258478
Česko,Běžné ceny,Bez očištění,Svět celkem,3. čtvrtletí 2024,Dovoz (meziroční index),108.1790772874
