Území,Roky,Typ ceny,Očištění,CZCPA,Ukazatel,value
Česko,2024,Běžné ceny,Bez očištění,Celkem,"Vývoz (v mil. Kč, FOB)",4663189.076956
Česko,2024,Běžné ceny,Bez očištění,Celkem,"Dovoz (v mil. Kč, CIF)",4442700.143978
Česko,2024,Běžné ceny,Bez očištění,Celkem,Bilance (v mil. Kč),220488.932978
Česko,2024,Běžné ceny,Bez očištění,Celkem,Obrat zboží (v mil. Kč),9105889.220934
Česko,2024,Běžné ceny,Bez očištění,Celkem,Vývoz (meziroční index),104.9690195136
Česko,2024,Běžné ceny,Bez očištění,Celkem,Dovoz (meziroční index),102.8416928227
Česko,2024,Běžné ceny,Bez očištění,Celkem,Obrat zboží (meziroční index),103.9202267136
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,"Vývoz (v mil. Kč, FOB)",58709.294439
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,"Dovoz (v mil. Kč, CIF)",69879.331072
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Bilance (v mil. Kč),-11170.036633
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Obrat zboží (v mil. Kč),128588.625511
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Vývoz (meziroční index),104.9519118622
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Dovoz (meziroční index),110.0011507402
Česko,2024,Běžné ceny,Bez očištění,01 Produkty zemědělství a myslivosti a související služby,Obrat zboží (meziroční index),107.6368599531
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby","Vývoz (v mil. Kč, FOB)",10778.978825
Česko,2024,Běžné ceny,Bez očištění,"02 Produkty lesnictví, těžby dřeva a související služby","Dovoz (v mil. Kč, CIF)",5643.46567
