Území;Čtvrtletí;Země;Ukazatel;value
Česko;4. čtvrtletí 2024;Svět celkem;Pohyb zboží z ČR (v mil. Kč, FOB);1590369.417708
Česko;4. čtvrtletí 2024;Svět celkem;Pohyb zboží do ČR (v mil. Kč, CIF);1423670.725927
Česko;4. čtvrtletí 2024;Svět celkem;Bilance - pohyb zboží (v mil. Kč);166698.691781
Česko;4. čtvrtletí 2024;Svět celkem;Obrat - pohyb zboží (v mil. Kč);3014040.143635
Česko;4. čtvrtletí 2024;Svět celkem;Pohyb zboží z ČR (meziroční index );107.9924484756
Česko;4. čtvrtletí 2024;Svět celkem;Pohyb zboží do ČR (meziroční index);107.5263786495
Česko;4. čtvrtletí 2024;Svět celkem;Obrat pohybu zboží (meziroční index);107.7717996475
Česko;4. čtvrtletí 2024;Eurozóna 20;Pohyb zboží z ČR (v mil. Kč, FOB);1002439.243891
Česko;4. čtvrtletí 2024;Eurozóna 20;Pohyb zboží do ČR (v mil. Kč, CIF);592080.454413
Česko;4. čtvrtletí 2024;Eurozóna 20;Bilance - pohyb zboží (v mil. Kč);410358.789478
Česko;4. čtvrtletí 2024;Eurozóna 20;Obrat - pohyb zboží (v mil. Kč);1594519.698304
Česko;4. čtvrtletí 2024;Eurozóna 20;Pohyb zboží z ČR (meziroční index );104.5163096389
Česko;4. čtvrtletí 2024;Eurozóna 20;Pohyb zboží do ČR (meziroční index);105.1162506569
Česko;4. čtvrtletí 2024;Eurozóna 20;Obrat pohybu zboží (meziroční index);104.7382799891
Česko;4. čtvrtletí 2024;EU27_2020;Pohyb zboží z ČR (v mil. Kč, FOB);1255227.310026
Česko;4. čtvrtletí 2024;EU27_2020;Pohyb zboží do ČR (v mil. Kč, CIF);785590.832076
Česko;4. čtvrtletí 2024;EU27_2020;Bilance - pohyb zboží (v mil. Kč);469636.47795
Česko;4. čtvrtletí 2024;EU27_2020;Obrat - pohyb zboží (v mil. Kč);2040818.142102
Česko;4. čtvrtletí 2024;EU27_2020;Pohyb zboží z ČR (meziroční index );105.1718025038
Česko;4. čtvrtletí 2024;EU27_2020;Pohyb zboží do ČR (meziroční index);105.4465967083
Česko;4. čtvrtletí 2024;EU27_2020;Obrat pohybu zboží (meziroční index);105.2774118372
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Pohyb zboží z ČR (v mil. Kč, FOB);334553.783255
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Pohyb zboží do ČR (v mil. Kč, CIF);629323.240427
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Bilance - pohyb zboží (v mil. Kč);-294769.457172
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Obrat - pohyb zboží (v mil. Kč);963877.023682
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Pohyb zboží z ČR (meziroční index );120.1079566246
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Pohyb zboží do ČR (meziroční index);110.4129110467
Česko;4. čtvrtletí 2024;Svět bez EU27_2020;Obrat pohybu zboží (meziroční index);113.5955223963
Česko;4. čtvrtletí 2024;Nespecifikováno;Pohyb zboží z ČR (v mil. Kč, FOB);588.324427
Česko;4. čtvrtletí 2024;Nespecifikováno;Pohyb zboží do ČR (v mil. Kč, CIF);8756.653424
Česko;4. čtvrtletí 2024;Nespecifikováno;Bilance - pohyb zboží (v mil. Kč);-8168.328997
Česko;4. čtvrtletí 2024;Nespecifikováno;Obrat - pohyb zboží (v mil. Kč);9344.977851
Česko;4. čtvrtletí 2024;Nespecifikováno;Pohyb zboží z ČR (meziroční index );94.6985502014
Česko;4. čtvrtletí 2024;Nespecifikováno;Pohyb zboží do ČR (meziroční index);96.9248194566
Česko;4. čtvrtletí 2024;Nespecifikováno;Obrat pohybu zboží (meziroční index);96.7815790101
Česko;4. čtvrtletí 2024;Evropa;Pohyb zboží z ČR (v mil. Kč, FOB);1411082.794196
Česko;4. čtvrtletí 2024;Evropa;Pohyb zboží do ČR (v mil. Kč, CIF);902144.361362
Česko;4. čtvrtletí 2024;Evropa;Bilance - pohyb zboží (v mil. Kč);508938.432834
Česko;4. čtvrtletí 2024;Evropa;Obrat - pohyb zboží (v mil. Kč);2313227.155558
Česko;4. čtvrtletí 2024;Evropa;Pohyb zboží z ČR (meziroční index );106.1609505501
Česko;4. čtvrtletí 2024;Evropa;Pohyb zboží do ČR (meziroční index);104.8985026605
Česko;4. čtvrtletí 2024;Evropa;Obrat pohybu zboží (meziroční index);105.6650060131
Česko;4. čtvrtletí 2024;Afrika;Pohyb zboží z ČR (v mil. Kč, FOB);16767.921292
Česko;4. čtvrtletí 2024;Afrika;Pohyb zboží do ČR (v mil. Kč, CIF);11363.700889
Česko;4. čtvrtletí 2024;Afrika;Bilance - pohyb zboží (v mil. Kč);5404.220403
Česko;4. čtvrtletí 2024;Afrika;Obrat - pohyb zboží (v mil. Kč);28131.622181
Česko;4. čtvrtletí 2024;Afrika;Pohyb zboží z ČR (meziroční index );107.7530586551
Česko;4. čtvrtletí 2024;Afrika;Pohyb zboží do ČR (meziroční index);102.4100279762
Česko;4. čtvrtletí 2024;Afrika;Obrat pohybu zboží (meziroční index);105.52902113
Česko;4. čtvrtletí 2024;Amerika;Pohyb zboží z ČR (v mil. Kč, FOB);60371.018166
Česko;4. čtvrtletí 2024;Amerika;Pohyb zboží do ČR (v mil. Kč, CIF);52670.897083
Česko;4. čtvrtletí 2024;Amerika;Bilance - pohyb zboží (v mil. Kč);7700.121083
Česko;4. čtvrtletí 2024;Amerika;Obrat - pohyb zboží (v mil. Kč);113041.915249
Česko;4. čtvrtletí 2024;Amerika;Pohyb zboží z ČR (meziroční index );122.648638632
Česko;4. čtvrtletí 2024;Amerika;Pohyb zboží do ČR (meziroční index);97.6023417958
Česko;4. čtvrtletí 2024;Amerika;Obrat pohybu zboží (meziroční index);109.5499807495
Česko;4. čtvrtletí 2024;Asie;Pohyb zboží z ČR (v mil. Kč, FOB);97467.537479
Česko;4. čtvrtletí 2024;Asie;Pohyb zboží do ČR (v mil. Kč, CIF);447850.358271
Česko;4. čtvrtletí 2024;Asie;Bilance - pohyb zboží (v mil. Kč);-350382.820792
Česko;4. čtvrtletí 2024;Asie;Obrat - pohyb zboží (v mil. Kč);545317.89575
Česko;4. čtvrtletí 2024;Asie;Pohyb zboží z ČR (meziroční index );132.0858186359
Česko;4. čtvrtletí 2024;Asie;Pohyb zboží do ČR (meziroční index);115.1031307989
Česko;4. čtvrtletí 2024;Asie;Obrat pohybu zboží (meziroční index);117.8104808152
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Pohyb zboží z ČR (v mil. Kč, FOB);4091.822148
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Pohyb zboží do ČR (v mil. Kč, CIF);884.754898
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Bilance - pohyb zboží (v mil. Kč);3207.06725
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Obrat - pohyb zboží (v mil. Kč);4976.577046
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Pohyb zboží z ČR (meziroční index );95.6299303771
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Pohyb zboží do ČR (meziroční index);107.6573821994
Česko;4. čtvrtletí 2024;Oceánie a Polární oblasti;Obrat pohybu zboží (meziroční index);97.5678182631
Česko;4. čtvrtletí 2024;Afghánistán;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Afghánistán;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Afghánistán;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Afghánistán;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Afghánistán;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Afghánistán;Pohyb zboží do ČR (meziroční index);
Česko;4. čtvrtletí 2024;Afghánistán;Obrat pohybu zboží (meziroční index);
Česko;4. čtvrtletí 2024;Albánie;Pohyb zboží z ČR (v mil. Kč, FOB);
Česko;4. čtvrtletí 2024;Albánie;Pohyb zboží do ČR (v mil. Kč, CIF);
Česko;4. čtvrtletí 2024;Albánie;Bilance - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Albánie;Obrat - pohyb zboží (v mil. Kč);
Česko;4. čtvrtletí 2024;Albánie;Pohyb zboží z ČR (meziroční index );
Česko;4. čtvrtletí 2024;Albánie;Pohyb zboží do ČR (meziroční index);
