Území,Roky,Země,Ukazatel,value
Česko,2024,Svět celkem,"Pohyb zboží z ČR (v mil. Kč, FOB)",6108823.003454
Česko,2024,Svět celkem,"Pohyb zboží do ČR (v mil. Kč, CIF)",5413434.312655
Česko,2024,Svět celkem,Bilance - pohyb zboží (v mil. Kč),695388.690799
Česko,2024,Svět celkem,Obrat - pohyb zboží (v mil. Kč),11522257.316109
Česko,2024,Svět celkem,Pohyb zboží z ČR (meziroční index ),107.6456661561
Česko,2024,Svět celkem,Pohyb zboží do ČR (meziroční index),105.1461139274
Česko,2024,Svět celkem,Obrat pohybu zboží (meziroční index),106.4566788867
Česko,2024,Eurozóna 20,"Pohyb zboží z ČR (v mil. Kč, FOB)",3893213.289258
Česko,2024,Eurozóna 20,"Pohyb zboží do ČR (v mil. Kč, CIF)",2316493.402365
Česko,2024,Eurozóna 20,Bilance - pohyb zboží (v mil. Kč),1576719.886893
Česko,2024,Eurozóna 20,Obrat - pohyb zboží (v mil. Kč),6209706.691623
Česko,2024,Eurozóna 20,Pohyb zboží z ČR (meziroční index ),104.3628466955
Česko,2024,Eurozóna 20,Pohyb zboží do ČR (meziroční index),103.9701167347
Česko,2024,Eurozóna 20,Obrat pohybu zboží (meziroční index),104.215994697
Česko,2024,EU27_2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",4843281.282657
Česko,2024,EU27_2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",3074402.852018
Česko,2024,EU27_2020,Bilance - pohyb zboží (v mil. Kč),1768878.430639
Česko,2024,EU27_2020,Obrat - pohyb zboží (v mil. Kč),7917684.134675
Česko,2024,EU27_2020,Pohyb zboží z ČR (meziroční index ),104.8271010102
Česko,2024,EU27_2020,Pohyb zboží do ČR (meziroční index),104.098382631
Česko,2024,EU27_2020,Obrat pohybu zboží (meziroční index),104.5429344112
Česko,2024,Svět bez EU27_2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",1263020.351815
Česko,2024,Svět bez EU27_2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",2301846.202227
Česko,2024,Svět bez EU27_2020,Bilance - pohyb zboží (v mil. Kč),-1038825.850412
Česko,2024,Svět bez EU27_2020,Obrat - pohyb zboží (v mil. Kč),3564866.554042
Česko,2024,Svět bez EU27_2020,Pohyb zboží z ČR (meziroční index ),120.019693032
Česko,2024,Svět bez EU27_2020,Pohyb zboží do ČR (meziroční index),106.6367182447
Česko,2024,Svět bez EU27_2020,Obrat pohybu zboží (meziroční index),111.0228281063
Česko,2024,Nespecifikováno,"Pohyb zboží z ČR (v mil. Kč, FOB)",2521.368982
Česko,2024,Nespecifikováno,"Pohyb zboží do ČR (v mil. Kč, CIF)",37185.25841
Česko,2024,Nespecifikováno,Bilance - pohyb zboží (v mil. Kč),-34663.889428
Česko,2024,Nespecifikováno,Obrat - pohyb zboží (v mil. Kč),39706.627392
Česko,2024,Nespecifikováno,Pohyb zboží z ČR (meziroční index ),107.9705435262
Česko,2024,Nespecifikováno,Pohyb zboží do ČR (meziroční index),101.7723813166
Česko,2024,Nespecifikováno,Obrat pohybu zboží (meziroční index),102.1447275887
Česko,2024,Evropa,"Pohyb zboží z ČR (v mil. Kč, FOB)",5448868.641528
Česko,2024,Evropa,"Pohyb zboží do ČR (v mil. Kč, CIF)",3509457.26057
Česko,2024,Evropa,Bilance - pohyb zboží (v mil. Kč),1939411.380958
Česko,2024,Evropa,Obrat - pohyb zboží (v mil. Kč),8958325.902098
Česko,2024,Evropa,Pohyb zboží z ČR (meziroční index ),106.2261059415
Česko,2024,Evropa,Pohyb zboží do ČR (meziroční index),103.1740510247
Česko,2024,Evropa,Obrat pohybu zboží (meziroční index),105.0091853222
Česko,2024,Afrika,"Pohyb zboží z ČR (v mil. Kč, FOB)",55479.067105
Česko,2024,Afrika,"Pohyb zboží do ČR (v mil. Kč, CIF)",44942.840087
Česko,2024,Afrika,Bilance - pohyb zboží (v mil. Kč),10536.227018
Česko,2024,Afrika,Obrat - pohyb zboží (v mil. Kč),100421.907192
Česko,2024,Afrika,Pohyb zboží z ČR (meziroční index ),100.5242538445
Česko,2024,Afrika,Pohyb zboží do ČR (meziroční index),100.4461607037
Česko,2024,Afrika,Obrat pohybu zboží (meziroční index),100.4892890186
Česko,2024,Amerika,"Pohyb zboží z ČR (v mil. Kč, FOB)",231077.777238
Česko,2024,Amerika,"Pohyb zboží do ČR (v mil. Kč, CIF)",213839.454818
Česko,2024,Amerika,Bilance - pohyb zboží (v mil. Kč),17238.32242
Česko,2024,Amerika,Obrat - pohyb zboží (v mil. Kč),444917.232056
Česko,2024,Amerika,Pohyb zboží z ČR (meziroční index ),120.7681399657
Česko,2024,Amerika,Pohyb zboží do ČR (meziroční index),104.792187885
Česko,2024,Amerika,Obrat pohybu zboží (meziroční index),112.5231817828
Česko,2024,Asie,"Pohyb zboží z ČR (v mil. Kč, FOB)",353475.141078
Česko,2024,Asie,"Pohyb zboží do ČR (v mil. Kč, CIF)",1604001.825168
Česko,2024,Asie,Bilance - pohyb zboží (v mil. Kč),-1250526.68409
Česko,2024,Asie,Obrat - pohyb zboží (v mil. Kč),1957476.966246
Česko,2024,Asie,Pohyb zboží z ČR (meziroční index ),126.4619736892
Česko,2024,Asie,Pohyb zboží do ČR (meziroční index),110.029007974
Česko,2024,Asie,Obrat pohybu zboží (meziroční index),112.6728623909
Česko,2024,Oceánie a Polární oblasti,"Pohyb zboží z ČR (v mil. Kč, FOB)",17401.007523
