Území,Roky,Komodity SITC,Ukazatel,value
Česko,2024,Celkem,"Pohyb zboží z ČR (v mil. Kč, FOB)",6108823.003454
Česko,2024,Celkem,"Pohyb zboží do ČR (v mil. Kč, CIF)",5413434.312655
Česko,2024,Celkem,Bilance - pohyb zboží (v mil. Kč),695388.690799
Česko,2024,Celkem,Obrat - pohyb zboží (v mil. Kč),11522257.316109
Česko,2024,Celkem,Pohyb zboží z ČR (meziroční index ),107.6456661561
Česko,2024,Celkem,Pohyb zboží do ČR (meziroční index),105.1461139274
Česko,2024,Celkem,Obrat pohybu zboží (meziroční index),106.4566788867
Česko,2024,0 Potraviny a živá zvířata,"Pohyb zboží z ČR (v mil. Kč, FOB)",247897.011714
Česko,2024,0 Potraviny a živá zvířata,"Pohyb zboží do ČR (v mil. Kč, CIF)",300536.908729
Česko,2024,0 Potraviny a živá zvířata,Bilance - pohyb zboží (v mil. Kč),-52639.897015
Česko,2024,0 Potraviny a živá zvířata,Obrat - pohyb zboží (v mil. Kč),548433.920443
Česko,2024,0 Potraviny a živá zvířata,Pohyb zboží z ČR (meziroční index ),110.8092120789
Česko,2024,0 Potraviny a živá zvířata,Pohyb zboží do ČR (meziroční index),113.6652597531
Česko,2024,0 Potraviny a živá zvířata,Obrat pohybu zboží (meziroční index),112.3562770442
Česko,2024,1 Nápoje a tabák,"Pohyb zboží z ČR (v mil. Kč, FOB)",60058.500452
Česko,2024,1 Nápoje a tabák,"Pohyb zboží do ČR (v mil. Kč, CIF)",42855.805776
Česko,2024,1 Nápoje a tabák,Bilance - pohyb zboží (v mil. Kč),17202.694676
Česko,2024,1 Nápoje a tabák,Obrat - pohyb zboží (v mil. Kč),102914.306228
Česko,2024,1 Nápoje a tabák,Pohyb zboží z ČR (meziroční index ),113.8957686544
Česko,2024,1 Nápoje a tabák,Pohyb zboží do ČR (meziroční index),107.7276087558
Česko,2024,1 Nápoje a tabák,Obrat pohybu zboží (meziroční index),111.243382789
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv","Pohyb zboží z ČR (v mil. Kč, FOB)",113059.274832
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv","Pohyb zboží do ČR (v mil. Kč, CIF)",98155.04112
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv",Bilance - pohyb zboží (v mil. Kč),14904.233712
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv",Obrat - pohyb zboží (v mil. Kč),211214.315952
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv",Pohyb zboží z ČR (meziroční index ),108.4101490516
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv",Pohyb zboží do ČR (meziroční index),106.0990213429
Česko,2024,"2 Suroviny nepoživatelné, s výjimkou paliv",Obrat pohybu zboží (meziroční index),107.3237294801
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály","Pohyb zboží z ČR (v mil. Kč, FOB)",103856.960939
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály","Pohyb zboží do ČR (v mil. Kč, CIF)",294059.655232
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály",Bilance - pohyb zboží (v mil. Kč),-190202.694293
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály",Obrat - pohyb zboží (v mil. Kč),397916.616171
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály",Pohyb zboží z ČR (meziroční index ),90.9745849558
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály",Pohyb zboží do ČR (meziroční index),92.4632157145
Česko,2024,"3 Minerální paliva, maziva a příbuzné materiály",Obrat pohybu zboží (meziroční index),92.0700020571
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky","Pohyb zboží z ČR (v mil. Kč, FOB)",12365.523851
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky","Pohyb zboží do ČR (v mil. Kč, CIF)",9314.630899
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky",Bilance - pohyb zboží (v mil. Kč),3050.892952
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky",Obrat - pohyb zboží (v mil. Kč),21680.15475
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky",Pohyb zboží z ČR (meziroční index ),89.8622811343
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky",Pohyb zboží do ČR (meziroční index),93.1038924766
Česko,2024,"4 Živočišné a rostlinné oleje, tuky a vosky",Obrat pohybu zboží (meziroční index),91.2269252755
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.","Pohyb zboží z ČR (v mil. Kč, FOB)",415871.604455
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.","Pohyb zboží do ČR (v mil. Kč, CIF)",622066.15353
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.",Bilance - pohyb zboží (v mil. Kč),-206194.549075
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.",Obrat - pohyb zboží (v mil. Kč),1037937.757985
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.",Pohyb zboží z ČR (meziroční index ),107.9790812119
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.",Pohyb zboží do ČR (meziroční index),105.931087763
Česko,2024,"5 Chemikálie a příbuzné výrobky, j. n.",Obrat pohybu zboží (meziroční index),106.7422603911
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,"Pohyb zboží z ČR (v mil. Kč, FOB)",766239.626399
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,"Pohyb zboží do ČR (v mil. Kč, CIF)",775277.682754
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,Bilance - pohyb zboží (v mil. Kč),-9038.056355
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,Obrat - pohyb zboží (v mil. Kč),1541517.309153
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,Pohyb zboží z ČR (meziroční index ),101.153365365
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,Pohyb zboží do ČR (meziroční index),103.1231226155
Česko,2024,6 Tržní výrobky tříděné hlavně podle materiálu,Obrat pohybu zboží (meziroční index),102.1345214184
Česko,2024,7 Stroje a dopravní prostředky,"Pohyb zboží z ČR (v mil. Kč, FOB)",3612360.109637
Česko,2024,7 Stroje a dopravní prostředky,"Pohyb zboží do ČR (v mil. Kč, CIF)",2599291.705606
Česko,2024,7 Stroje a dopravní prostředky,Bilance - pohyb zboží (v mil. Kč),1013068.404031
Česko,2024,7 Stroje a dopravní prostředky,Obrat - pohyb zboží (v mil. Kč),6211651.815243
Česko,2024,7 Stroje a dopravní prostředky,Pohyb zboží z ČR (meziroční index ),108.8437349879
Česko,2024,7 Stroje a dopravní prostředky,Pohyb zboží do ČR (meziroční index),105.0390553259
Česko,2024,7 Stroje a dopravní prostředky,Obrat pohybu zboží (meziroční index),107.2186151194
Česko,2024,8 Průmyslové spotřební zboží,"Pohyb zboží z ČR (v mil. Kč, FOB)",755824.737999
Česko,2024,8 Průmyslové spotřební zboží,"Pohyb zboží do ČR (v mil. Kč, CIF)",654387.719051
Česko,2024,8 Průmyslové spotřební zboží,Bilance - pohyb zboží (v mil. Kč),101437.018948
Česko,2024,8 Průmyslové spotřební zboží,Obrat - pohyb zboží (v mil. Kč),1410212.45705
Česko,2024,8 Průmyslové spotřební zboží,Pohyb zboží z ČR (meziroční index ),110.576353723
Česko,2024,8 Průmyslové spotřební zboží,Pohyb zboží do ČR (meziroční index),110.2111918215
Česko,2024,8 Průmyslové spotřební zboží,Obrat pohybu zboží (meziroční index),110.4066054315
Česko,2024,"9 Komodity a předměty obchodu, j. n.","Pohyb zboží z ČR (v mil. Kč, FOB)",21289.653176
Česko,2024,"9 Komodity a předměty obchodu, j. n.","Pohyb zboží do ČR (v mil. Kč, CIF)",17489.009958
Česko,2024,"9 Komodity a předměty obchodu, j. n.",Bilance - pohyb zboží (v mil. Kč),3800.643218
Česko,2024,"9 Komodity a předměty obchodu, j. n.",Obrat - pohyb zboží (v mil. Kč),38778.663134
Česko,2024,"9 Komodity a předměty obchodu, j. n.",Pohyb zboží z ČR (meziroční index ),100.1626055313
Česko,2024,"9 Komodity a předměty obchodu, j. n.",Pohyb zboží do ČR (meziroční index),106.8604451209
Česko,2024,"9 Komodity a předměty obchodu, j. n.",Obrat pohybu zboží (meziroční index),103.0763342907
