Území,Ukazatel,Měsíce,value
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,říjen 2024,3.1
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,listopad 2024,2.7
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,prosinec 2024,2.4
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,leden 2025,2.5
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,únor 2025,2.5
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,březen 2025,2.6
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,duben 2025,2.5
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,květen 2025,2.5
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,červen 2025,2.6
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,červenec 2025,2.6
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,srpen 2025,2.6
Česko,Přírůstek průměrného ročního indexu spotřebitelských cen - měsíční,září 2025,2.6
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,říjen 2024,2.8
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,listopad 2024,2.8
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,prosinec 2024,3.0
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,leden 2025,2.8
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,únor 2025,2.7
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,březen 2025,2.7
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,duben 2025,1.8
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,květen 2025,2.4
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,červen 2025,2.9
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,červenec 2025,2.7
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,srpen 2025,2.5
Česko,Přírůstek indexu spotřebitelských cen ke stejnému měsíci předchozího roku,září 2025,2.3
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,říjen 2024,0.3
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,listopad 2024,0.1
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,prosinec 2024,-0.3
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,leden 2025,1.3
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,únor 2025,0.2
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,březen 2025,0.1
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,duben 2025,-0.1
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,květen 2025,0.5
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,červen 2025,0.3
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,červenec 2025,0.5
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,srpen 2025,0.1
Česko,Přírůstek indexu spotřebitelských cen k předchozímu měsíci,září 2025,-0.6
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),říjen 2024,152.3
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),listopad 2024,152.4
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),prosinec 2024,152.0
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),leden 2025,154.0
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),únor 2025,154.3
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),březen 2025,154.4
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),duben 2025,154.2
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),květen 2025,155.0
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),červen 2025,155.4
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),červenec 2025,156.1
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),srpen 2025,156.2
Česko,Přírůstek indexu spotřebitelských cen k základnímu období (průměr roku 2015=100),září 2025,155.3
