Území;Ukazatel;Roky;value
Česko;Index cen průmyslových výrobců;2015;96.8
Česko;Index cen průmyslových výrobců;2016;96.7
Česko;Index cen průmyslových výrobců;2017;101.8
Česko;Index cen průmyslových výrobců;2018;102.0
Česko;Index cen průmyslových výrobců;2019;102.6
Česko;Index cen průmyslových výrobců;2020;100.1
Česko;Index cen průmyslových výrobců;2021;107.1
Česko;Index cen průmyslových výrobců;2022;124.3
Česko;Index cen průmyslových výrobců;2023;105.0
Česko;Index cen průmyslových výrobců;2024;100.8
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2015;99.4
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2016;93.9
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2017;103.8
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2018;107.6
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2019;106.4
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2020;97.2
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2021;104.3
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2022;127.5
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2023;146.4
Česko;Indexy cen průmyslových výrobců - Těžba a dobývání;2024;98.7
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2015;96.1
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2016;96.9
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2017;102.3
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2018;101.8
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2019;101.5
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2020;98.6
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2021;108.4
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2022;119.5
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2023;100.9
Česko;Indexy cen průmyslových výrobců - Výrobky a služby zpracovatelského průmyslu;2024;99.7
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2015;99.2
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2016;95.9
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2017;98.8
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2018;102.2
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2019;108.0
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2020;107.7
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2021;101.7
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2022;150.7
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2023;115.8
Česko;Indexy cen průmyslových výrobců - Elektřina, plyn, pára a klimatizovaný vzduch;2024;104.0
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2015;103.4
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2016;101.3
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2017;101.3
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2018;101.9
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2019;102.9
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2020;106.1
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2021;106.2
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2022;105.3
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2023;116.3
Česko;"Indexy cen průmyslových výrobců - Zásobování vodou; služby souv. s odpad. vodami";2024;109.2
Česko;Indexy cen stavebních děl;2015;101.2
Česko;Indexy cen stavebních děl;2016;101.1
Česko;Indexy cen stavebních děl;2017;101.7
Česko;Indexy cen stavebních děl;2018;103.2
Česko;Indexy cen stavebních děl;2019;104.6
Česko;Indexy cen stavebních děl;2020;103.6
Česko;Indexy cen stavebních děl;2021;105.1
Česko;Indexy cen stavebních děl;2022;112.4
Česko;Indexy cen stavebních děl;2023;105.9
Česko;Indexy cen stavebních děl;2024;102.0
Česko;Indexy cen stavebních děl - Budovy;2015;101.1
Česko;Indexy cen stavebních děl - Budovy;2016;101.1
Česko;Indexy cen stavebních děl - Budovy;2017;101.8
Česko;Indexy cen stavebních děl - Budovy;2018;103.3
Česko;Indexy cen stavebních děl - Budovy;2019;104.6
Česko;Indexy cen stavebních děl - Budovy;2020;103.5
Česko;Indexy cen stavebních děl - Budovy;2021;105.7
Česko;Indexy cen stavebních děl - Budovy;2022;113.0
Česko;Indexy cen stavebních děl - Budovy;2023;105.4
Česko;Indexy cen stavebních děl - Budovy;2024;101.7
Česko;Indexy cen stavebních děl - Inženýrská díla;2015;101.4
Česko;Indexy cen stavebních děl - Inženýrská díla;2016;101.1
Česko;Indexy cen stavebních děl - Inženýrská díla;2017;101.5
Česko;Indexy cen stavebních děl - Inženýrská díla;2018;103.1
Česko;Indexy cen stavebních děl - Inženýrská díla;2019;104.7
Česko;Indexy cen stavebních děl - Inženýrská díla;2020;103.7
Česko;Indexy cen stavebních děl - Inženýrská díla;2021;104.4
Česko;Indexy cen stavebních děl - Inženýrská díla;2022;111.9
Česko;Indexy cen stavebních děl - Inženýrská díla;2023;106.6
Česko;Indexy cen stavebních děl - Inženýrská díla;2024;102.4
