Území,Ukazatel,Měsíce,value
Česko,Index cen vývozu,srpen 2024,4.0
Česko,Index cen vývozu,září 2024,2.3
Česko,Index cen vývozu,říjen 2024,3.0
Česko,Index cen vývozu,listopad 2024,4.5
Česko,Index cen vývozu,prosinec 2024,4.9
Česko,Index cen vývozu,leden 2025,4.0
Česko,Index cen vývozu,únor 2025,2.1
Česko,Index cen vývozu,březen 2025,0.8
Česko,Index cen vývozu,duben 2025,-0.5
Česko,Index cen vývozu,květen 2025,0.3
Česko,Index cen vývozu,červen 2025,-0.1
Česko,Index cen vývozu,červenec 2025,-2.4
Česko,Index cen vývozu,srpen 2025,-2.9
Česko,Index cen dovozu,srpen 2024,3.1
Česko,Index cen dovozu,září 2024,0.4
Česko,Index cen dovozu,říjen 2024,0.6
Česko,Index cen dovozu,listopad 2024,2.4
Česko,Index cen dovozu,prosinec 2024,3.5
Česko,Index cen dovozu,leden 2025,3.9
Česko,Index cen dovozu,únor 2025,2.2
Česko,Index cen dovozu,březen 2025,0.7
Česko,Index cen dovozu,duben 2025,-0.8
Česko,Index cen dovozu,květen 2025,-0.1
Česko,Index cen dovozu,červen 2025,-0.5
Česko,Index cen dovozu,červenec 2025,-3.0
Česko,Index cen dovozu,srpen 2025,-3.3
Česko,Vývoz,srpen 2024,4.0
Česko,Vývoz,září 2024,2.3
Česko,Vývoz,říjen 2024,3.0
Česko,Vývoz,listopad 2024,4.5
Česko,Vývoz,prosinec 2024,4.9
Česko,Vývoz,leden 2025,4.0
Česko,Vývoz,únor 2025,2.1
Česko,Vývoz,březen 2025,0.8
Česko,Vývoz,duben 2025,-0.5
Česko,Vývoz,květen 2025,0.3
Česko,Vývoz,červen 2025,-0.1
Česko,Vývoz,červenec 2025,-2.4
Česko,Vývoz,srpen 2025,-2.9
Česko,Dovoz,srpen 2024,3.1
Česko,Dovoz,září 2024,0.4
Česko,Dovoz,říjen 2024,0.6
Česko,Dovoz,listopad 2024,2.4
Česko,Dovoz,prosinec 2024,3.5
Česko,Dovoz,leden 2025,3.9
Česko,Dovoz,únor 2025,2.2
Česko,Dovoz,březen 2025,0.7
Česko,Dovoz,duben 2025,-0.8
Česko,Dovoz,květen 2025,-0.1
Česko,Dovoz,červen 2025,-0.5
Česko,Dovoz,červenec 2025,-3.0
Česko,Dovoz,srpen 2025,-3.3
