Území;Ukazatel;Typ údaje;Měsíce;value
Česko;Index vývozních cen;Meziměsíční index;duben 2024;100.8
Česko;Index vývozních cen;Meziměsíční index;květen 2024;98.7
Česko;Index vývozních cen;Meziměsíční index;červen 2024;100.0
Česko;Index vývozních cen;Meziměsíční index;červenec 2024;101.7
Česko;Index vývozních cen;Meziměsíční index;srpen 2024;99.6
Česko;Index vývozních cen;Meziměsíční index;září 2024;99.5
Česko;Index vývozních cen;Meziměsíční index;říjen 2024;100.9
Česko;Index vývozních cen;Meziměsíční index;listopad 2024;100.9
Česko;Index vývozních cen;Meziměsíční index;prosinec 2024;99.6
Česko;Index vývozních cen;Meziměsíční index;leden 2025;100.2
Česko;Index vývozních cen;Meziměsíční index;únor 2025;100.2
Česko;Index vývozních cen;Meziměsíční index;březen 2025;98.9
Česko;Index vývozních cen;Meziroční index;duben 2024;104.9
Česko;Index vývozních cen;Meziroční index;květen 2024;103.3
Česko;Index vývozních cen;Meziroční index;červen 2024;102.9
Česko;Index vývozních cen;Meziroční index;červenec 2024;105.0
Česko;Index vývozních cen;Meziroční index;srpen 2024;104.0
Česko;Index vývozních cen;Meziroční index;září 2024;102.3
Česko;Index vývozních cen;Meziroční index;říjen 2024;103.0
Česko;Index vývozních cen;Meziroční index;listopad 2024;104.5
Česko;Index vývozních cen;Meziroční index;prosinec 2024;104.9
Česko;Index vývozních cen;Meziroční index;leden 2025;104.0
Česko;Index vývozních cen;Meziroční index;únor 2025;102.1
Česko;Index vývozních cen;Meziroční index;březen 2025;100.8
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;duben 2024;120.5
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;květen 2024;118.9
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;červen 2024;118.9
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;červenec 2024;120.9
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;srpen 2024;120.4
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;září 2024;119.8
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;říjen 2024;120.9
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;listopad 2024;122.0
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;prosinec 2024;121.5
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;leden 2025;121.7
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;únor 2025;122.0
Česko;Index vývozních cen;Průměr roku 2015 = 100 ;březen 2025;120.6
Česko;Index vývozních cen;Podíl klouzavých průměrů;duben 2024;98.4
Česko;Index vývozních cen;Podíl klouzavých průměrů;květen 2024;98.9
Česko;Index vývozních cen;Podíl klouzavých průměrů;červen 2024;99.4
Česko;Index vývozních cen;Podíl klouzavých průměrů;červenec 2024;100.2
Česko;Index vývozních cen;Podíl klouzavých průměrů;srpen 2024;101.0
Česko;Index vývozních cen;Podíl klouzavých průměrů;září 2024;101.5
Česko;Index vývozních cen;Podíl klouzavých průměrů;říjen 2024;101.9
Česko;Index vývozních cen;Podíl klouzavých průměrů;listopad 2024;102.5
Česko;Index vývozních cen;Podíl klouzavých průměrů;prosinec 2024;103.1
Česko;Index vývozních cen;Podíl klouzavých průměrů;leden 2025;103.5
Česko;Index vývozních cen;Podíl klouzavých průměrů;únor 2025;103.5
Česko;Index vývozních cen;Podíl klouzavých průměrů;březen 2025;103.5
Česko;Index dovozních cen;Meziměsíční index;duben 2024;100.4
Česko;Index dovozních cen;Meziměsíční index;květen 2024;98.6
Česko;Index dovozních cen;Meziměsíční index;červen 2024;100.1
Česko;Index dovozních cen;Meziměsíční index;červenec 2024;101.8
Česko;Index dovozních cen;Meziměsíční index;srpen 2024;99.7
Česko;Index dovozních cen;Meziměsíční index;září 2024;99.4
Česko;Index dovozních cen;Meziměsíční index;říjen 2024;101.0
Česko;Index dovozních cen;Meziměsíční index;listopad 2024;100.8
Česko;Index dovozních cen;Meziměsíční index;prosinec 2024;99.8
Česko;Index dovozních cen;Meziměsíční index;leden 2025;100.6
Česko;Index dovozních cen;Meziměsíční index;únor 2025;99.7
Česko;Index dovozních cen;Meziměsíční index;březen 2025;98.9
Česko;Index dovozních cen;Meziroční index;duben 2024;103.5
Česko;Index dovozních cen;Meziroční index;květen 2024;102.7
Česko;Index dovozních cen;Meziroční index;červen 2024;102.9
Česko;Index dovozních cen;Meziroční index;červenec 2024;104.7
Česko;Index dovozních cen;Meziroční index;srpen 2024;103.1
Česko;Index dovozních cen;Meziroční index;září 2024;100.4
Česko;Index dovozních cen;Meziroční index;říjen 2024;100.6
Česko;Index dovozních cen;Meziroční index;listopad 2024;102.4
Česko;Index dovozních cen;Meziroční index;prosinec 2024;103.5
Česko;Index dovozních cen;Meziroční index;leden 2025;103.9
Česko;Index dovozních cen;Meziroční index;únor 2025;102.2
Česko;Index dovozních cen;Meziroční index;březen 2025;100.7
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;duben 2024;113.9
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;květen 2024;112.3
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;červen 2024;112.4
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;červenec 2024;114.4
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;srpen 2024;114.1
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;září 2024;113.4
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;říjen 2024;114.5
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;listopad 2024;115.4
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;prosinec 2024;115.2
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;leden 2025;115.9
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;únor 2025;115.6
Česko;Index dovozních cen;Průměr roku 2015 = 100 ;březen 2025;114.3
Česko;Index dovozních cen;Podíl klouzavých průměrů;duben 2024;93.9
Česko;Index dovozních cen;Podíl klouzavých průměrů;květen 2024;94.8
Česko;Index dovozních cen;Podíl klouzavých průměrů;červen 2024;95.7
Česko;Index dovozních cen;Podíl klouzavých průměrů;červenec 2024;97.1
Česko;Index dovozních cen;Podíl klouzavých průměrů;srpen 2024;98.5
Česko;Index dovozních cen;Podíl klouzavých průměrů;září 2024;99.4
Česko;Index dovozních cen;Podíl klouzavých průměrů;říjen 2024;100.0
Česko;Index dovozních cen;Podíl klouzavých průměrů;listopad 2024;100.7
Česko;Index dovozních cen;Podíl klouzavých průměrů;prosinec 2024;101.5
Česko;Index dovozních cen;Podíl klouzavých průměrů;leden 2025;102.2
Česko;Index dovozních cen;Podíl klouzavých průměrů;únor 2025;102.5
Česko;Index dovozních cen;Podíl klouzavých průměrů;březen 2025;102.5
Česko;Směnné relace;Meziměsíční index;duben 2024;100.4
Česko;Směnné relace;Meziměsíční index;květen 2024;100.1
Česko;Směnné relace;Meziměsíční index;červen 2024;99.9
Česko;Směnné relace;Meziměsíční index;červenec 2024;99.9
Česko;Směnné relace;Meziměsíční index;srpen 2024;99.8
Česko;Směnné relace;Meziměsíční index;září 2024;100.1
Česko;Směnné relace;Meziměsíční index;říjen 2024;99.9
Česko;Směnné relace;Meziměsíční index;listopad 2024;100.1
Česko;Směnné relace;Meziměsíční index;prosinec 2024;99.8
Česko;Směnné relace;Meziměsíční index;leden 2025;99.6
Česko;Směnné relace;Meziměsíční index;únor 2025;100.5
Česko;Směnné relace;Meziměsíční index;březen 2025;100.0
Česko;Směnné relace;Meziroční index;duben 2024;101.4
Česko;Směnné relace;Meziroční index;květen 2024;100.5
Česko;Směnné relace;Meziroční index;červen 2024;99.9
Česko;Směnné relace;Meziroční index;červenec 2024;100.4
Česko;Směnné relace;Meziroční index;srpen 2024;100.9
Česko;Směnné relace;Meziroční index;září 2024;101.9
Česko;Směnné relace;Meziroční index;říjen 2024;102.4
Česko;Směnné relace;Meziroční index;listopad 2024;102.0
Česko;Směnné relace;Meziroční index;prosinec 2024;101.4
Česko;Směnné relace;Meziroční index;leden 2025;100.2
Česko;Směnné relace;Meziroční index;únor 2025;99.9
Česko;Směnné relace;Meziroční index;březen 2025;100.1
Česko;Směnné relace;Průměr roku 2015 = 100 ;duben 2024;105.8
Česko;Směnné relace;Průměr roku 2015 = 100 ;květen 2024;105.9
Česko;Směnné relace;Průměr roku 2015 = 100 ;červen 2024;105.8
Česko;Směnné relace;Průměr roku 2015 = 100 ;červenec 2024;105.7
Česko;Směnné relace;Průměr roku 2015 = 100 ;srpen 2024;105.5
Česko;Směnné relace;Průměr roku 2015 = 100 ;září 2024;105.6
Česko;Směnné relace;Průměr roku 2015 = 100 ;říjen 2024;105.6
Česko;Směnné relace;Průměr roku 2015 = 100 ;listopad 2024;105.7
Česko;Směnné relace;Průměr roku 2015 = 100 ;prosinec 2024;105.5
Česko;Směnné relace;Průměr roku 2015 = 100 ;leden 2025;105.0
Česko;Směnné relace;Průměr roku 2015 = 100 ;únor 2025;105.5
Česko;Směnné relace;Průměr roku 2015 = 100 ;březen 2025;105.5
Česko;Směnné relace;Podíl klouzavých průměrů;duben 2024;104.8
Česko;Směnné relace;Podíl klouzavých průměrů;květen 2024;104.4
Česko;Směnné relace;Podíl klouzavých průměrů;červen 2024;103.8
Česko;Směnné relace;Podíl klouzavých průměrů;červenec 2024;103.2
Česko;Směnné relace;Podíl klouzavých průměrů;srpen 2024;102.5
Česko;Směnné relace;Podíl klouzavých průměrů;září 2024;102.1
Česko;Směnné relace;Podíl klouzavých průměrů;říjen 2024;101.9
Česko;Směnné relace;Podíl klouzavých průměrů;listopad 2024;101.7
Česko;Směnné relace;Podíl klouzavých průměrů;prosinec 2024;101.5
Česko;Směnné relace;Podíl klouzavých průměrů;leden 2025;101.3
Česko;Směnné relace;Podíl klouzavých průměrů;únor 2025;101.0
Česko;Směnné relace;Podíl klouzavých průměrů;březen 2025;100.9
