Roky,Území,Ukazatel,value
2023,Česko,Rodinné domy,101.0
2023,Česko,Byty,94.4
2023,ČR bez Prahy,Rodinné domy,100.6
2023,ČR bez Prahy,Byty,93.8
2023,Hlavní město Praha,Rodinné domy,104.6
2023,Hlavní město Praha,Byty,95.1
2023,Středočeský kraj,Rodinné domy,101.7
2023,Středočeský kraj,Byty,94.7
2023,Jihočeský kraj,Rodinné domy,101.1
2023,Jihočeský kraj,Byty,94.1
2023,Plzeňský kraj,Rodinné domy,101.3
2023,Plzeňský kraj,Byty,92.8
2023,Karlovarský kraj,Rodinné domy,101.0
2023,Karlovarský kraj,Byty,96.0
2023,Ústecký kraj,Rodinné domy,97.3
2023,Ústecký kraj,Byty,93.5
2023,Liberecký kraj,Rodinné domy,102.9
2023,Liberecký kraj,Byty,94.7
2023,Královéhradecký kraj,Rodinné domy,102.8
2023,Královéhradecký kraj,Byty,96.4
2023,Pardubický kraj,Rodinné domy,100.0
2023,Pardubický kraj,Byty,92.4
2023,Kraj Vysočina,Rodinné domy,97.6
2023,Kraj Vysočina,Byty,97.7
2023,Jihomoravský kraj,Rodinné domy,98.9
2023,Jihomoravský kraj,Byty,92.5
2023,Olomoucký kraj,Rodinné domy,101.0
2023,Olomoucký kraj,Byty,92.6
2023,Zlínský kraj,Rodinné domy,102.4
2023,Zlínský kraj,Byty,96.1
2023,Moravskoslezský kraj,Rodinné domy,99.2
2023,Moravskoslezský kraj,Byty,92.5
