Roky;Kategorie ubytovacího zařízení;Území;Ukazatel;value
2022;HUZ celkem;Hlavní město Praha;Počet lůžek v hromadných ubytovacích zařízeních;98446
2022;HUZ celkem;Středočeský kraj;Počet lůžek v hromadných ubytovacích zařízeních;41829
2022;HUZ celkem;Jihočeský kraj;Počet lůžek v hromadných ubytovacích zařízeních;62383
2022;HUZ celkem;Plzeňský kraj;Počet lůžek v hromadných ubytovacích zařízeních;30727
2022;HUZ celkem;Karlovarský kraj;Počet lůžek v hromadných ubytovacích zařízeních;38446
2022;HUZ celkem;Ústecký kraj;Počet lůžek v hromadných ubytovacích zařízeních;27070
2022;HUZ celkem;Liberecký kraj;Počet lůžek v hromadných ubytovacích zařízeních;47155
2022;HUZ celkem;Královéhradecký kraj;Počet lůžek v hromadných ubytovacích zařízeních;55500
2022;HUZ celkem;Pardubický kraj;Počet lůžek v hromadných ubytovacích zařízeních;19854
2022;HUZ celkem;Kraj Vysočina;Počet lůžek v hromadných ubytovacích zařízeních;26487
2022;HUZ celkem;Jihomoravský kraj;Počet lůžek v hromadných ubytovacích zařízeních;50411
2022;HUZ celkem;Olomoucký kraj;Počet lůžek v hromadných ubytovacích zařízeních;27511
2022;HUZ celkem;Zlínský kraj;Počet lůžek v hromadných ubytovacích zařízeních;27712
2022;HUZ celkem;Moravskoslezský kraj;Počet lůžek v hromadných ubytovacích zařízeních;33305
