Území,Ukazatel,Kategorie ubytovacího zařízení,Roky,value
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2024,10104
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2023,10293
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2022,10652
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2021,10898
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2020,10699
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2019,9383
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2018,9426
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2017,9007
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2016,9168
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2015,9163
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2014,9013
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2013,9970
Česko,Počet hromadných ubytovacích zařízení,HUZ celkem,2012,10057
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2024,77
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2023,75
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2022,71
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2021,69
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2020,68
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2019,65
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2018,62
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2017,61
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2016,60
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2015,58
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2014,57
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2013,56
Česko,Počet hromadných ubytovacích zařízení,Hotel *****,2012,56
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2024,850
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2023,842
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2022,837
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2021,809
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2020,819
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2019,705
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2018,693
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2017,653
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2016,621
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2015,601
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2014,557
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2013,553
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ****",2012,539
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2024,1502
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2023,1528
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2022,1587
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2021,1589
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2020,1586
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2019,1442
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2018,1466
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2017,1385
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2016,1409
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2015,1409
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2014,1369
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2013,1439
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel ***",2012,1438
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2024,184
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2023,194
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2022,207
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2021,211
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2020,219
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2019,194
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2018,199
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2017,200
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2016,223
Česko,Počet hromadných ubytovacích zařízení,"Hotel, motel, botel **",2015,235
