Roky,Území,Ukazatel,value
2023,Hlavní město Praha,Počet přenocování,16861664
2023,Středočeský kraj,Počet přenocování,3040227
2023,Jihočeský kraj,Počet přenocování,4463108
2023,Plzeňský kraj,Počet přenocování,2236289
2023,Karlovarský kraj,Počet přenocování,5094415
2023,Ústecký kraj,Počet přenocování,1610225
2023,Liberecký kraj,Počet přenocování,3349977
2023,Královéhradecký kraj,Počet přenocování,4619842
2023,Pardubický kraj,Počet přenocování,1407432
2023,Kraj Vysočina,Počet přenocování,1567711
2023,Jihomoravský kraj,Počet přenocování,4236998
2023,Olomoucký kraj,Počet přenocování,2350502
2023,Zlínský kraj,Počet přenocování,2265857
2023,Moravskoslezský kraj,Počet přenocování,2738224
