Území,Ukazatel,Roky,value
Česko,HDP cestovního ruchu,2014,117877.80945228
Česko,HDP cestovního ruchu,2015,126396.97170147
Česko,HDP cestovního ruchu,2016,138925.79303248
Česko,HDP cestovního ruchu,2017,148620.27777046
Česko,HDP cestovního ruchu,2018,155914.78623642
Česko,HDP cestovního ruchu,2019,166554.10345542
Česko,HDP cestovního ruchu,2020,86118.45532435
Česko,HDP cestovního ruchu,2021,96362.00085882
Česko,HDP cestovního ruchu,2022,151615.73274984
Česko,HDP cestovního ruchu,2023,179697.59343145
Česko,HPH cestovního ruchu (zc),2014,103110.27182099
Česko,HPH cestovního ruchu (zc),2015,109976.3576105
Česko,HPH cestovního ruchu (zc),2016,120618.17686304
Česko,HPH cestovního ruchu (zc),2017,128390.74829929
Česko,HPH cestovního ruchu (zc),2018,135075.19551365
Česko,HPH cestovního ruchu (zc),2019,144750.75422385
Česko,HPH cestovního ruchu (zc),2020,77115.13303842
Česko,HPH cestovního ruchu (zc),2021,86086.7460865
Česko,HPH cestovního ruchu (zc),2022,135650.34379544
Česko,HPH cestovního ruchu (zc),2023,160975.0076531
Česko,Podíl cestovního ruchu na celkovém HDP (%),2014,2.76361075
Česko,Podíl cestovního ruchu na celkovém HDP (%),2015,2.77235526
Česko,Podíl cestovního ruchu na celkovém HDP (%),2016,2.90683763
Česko,Podíl cestovního ruchu na celkovém HDP (%),2017,2.94172687
Česko,Podíl cestovního ruchu na celkovém HDP (%),2018,2.87942443
Česko,Podíl cestovního ruchu na celkovém HDP (%),2019,2.87381847
Česko,Podíl cestovního ruchu na celkovém HDP (%),2020,1.47612566
Česko,Podíl cestovního ruchu na celkovém HDP (%),2021,1.52588738
Česko,Podíl cestovního ruchu na celkovém HDP (%),2022,2.14823452
Česko,Podíl cestovního ruchu na celkovém HDP (%),2023,2.35616629
Česko,Podíl cestovního ruchu na celkové HPH (%),2014,2.67136614
Česko,Podíl cestovního ruchu na celkové HPH (%),2015,2.68255432
Česko,Podíl cestovního ruchu na celkové HPH (%),2016,2.80695258
Česko,Podíl cestovního ruchu na celkové HPH (%),2017,2.83171931
Česko,Podíl cestovního ruchu na celkové HPH (%),2018,2.76785266
Česko,Podíl cestovního ruchu na celkové HPH (%),2019,2.76402306
Česko,Podíl cestovního ruchu na celkové HPH (%),2020,1.44922339
Česko,Podíl cestovního ruchu na celkové HPH (%),2021,1.49549807
Česko,Podíl cestovního ruchu na celkové HPH (%),2022,2.11098023
Česko,Podíl cestovního ruchu na celkové HPH (%),2023,2.29842185
