Území,Typ cestovního ruchu,Ukazatel,Roky,value
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2015,29604027.5440063
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2016,32518778.2851377
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2017,34701416.2885461
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2018,36268458.895145
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2019,37201837.5808665
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2020,10266796.8870769
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2021,10014161.9824701
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2022,26592169.0493525
Česko,Příjezdový cestovní ruch,Počet návštěvníků celkem,2023,33925777.2625622
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2015,17985085.2426997
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2016,19711187.4259552
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2017,21036072.3636212
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2018,21985878.2815098
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2019,22550750.4797426
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2020,6347338.24130993
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2021,6246335.65096114
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2022,16372863.6082977
Česko,Příjezdový cestovní ruch,Jednodenní návštěvníci (bez přenocování),2023,20731291.220175
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2015,11618942.3013068
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2016,12807590.8591825
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2017,13665343.924925
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2018,14282580.6136352
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2019,14651087.1011239
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2020,3919458.64576702
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2021,3767826.33150893
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2022,10219305.4410548
Česko,Příjezdový cestovní ruch,Turisté (s přenocováním),2023,13194486.0423872
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2015,38340869.0564617
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2016,42321886.1946296
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2017,44892583.4572961
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2018,46076943.1519431
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2019,46617041.7106347
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2020,13784935.6652525
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2021,12894136.0605671
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2022,32822907.9529905
Česko,Příjezdový cestovní ruch,Počet přenocování celkem,2023,41769793.7174501
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2015,3.2998588
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2016,3.30443771
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2017,3.28514114
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2018,3.22609369
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2019,3.18181452
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2020,3.51705093
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2021,3.42216836
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2022,3.21185311
Česko,Příjezdový cestovní ruch,Průměrný počet přenocování (noci),2023,3.1657007
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2015,148223.95496528
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2016,157103.97313745
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2017,164898.88147575
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2018,171520.39666027
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2019,176890.32562826
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2020,48956.70732775
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2021,50014.5729466
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2022,139510.86972539
Česko,Příjezdový cestovní ruch,Spotřeba (Výdaje) v cestovním ruchu v mil. Kč,2023,185791.09272045
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 návštěvníka (Kč),2015,5006.88478096
Česko,Příjezdový cestovní ruch,Průměrná spotřeba na 1 návštěvníka (Kč),2016,4831.17698211
