Ukazatel;Území;Druh dopravy;Roky;value
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2001;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2002;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2003;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2004;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2005;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2006;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2007;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2008;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2009;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2010;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2011;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2012;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2013;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2014;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2015;
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2016;2687486.267
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2017;2655472.206
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2018;2721916.256
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2019;2787581.529
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2020;1923968.954
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2021;1860873.189
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2022;2352269.5
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Osobní doprava celkem;2023;2500726.4
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2001;190747.76
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2002;177232.1
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2003;174178.51
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2004;180948.88
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2005;180266.4
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2006;183026.86
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2007;184233.41
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2008;177424.04
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2009;164957.72
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2010;164801.64
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2011;167932.33
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2012;172800.85
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2013;174486.273
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2014;176050.48
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2015;176623.691
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2016;179171.51
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2017;183024.149
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2018;189535.766
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2019;193841.526
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2020;129453.46
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2021;135317.845
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2022;174772.5
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Železniční doprava;2023;184497.3
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2001;435912.5
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2002;406096.9
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2003;417011.83
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2004;418598.04
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2005;388261.04
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2006;387707.61
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2007;375019.08
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2008;373394.54
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2009;367647.86
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2010;372547.99
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2011;364615.55
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2012;344987.66
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2013;337978.41
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2014;349515.07
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2015;350919.5
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2016;332762.73
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2017;329732.93
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2018;340177.98
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2019;354723.75
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2020;233714.494
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2021;251642.64
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2022;334831.6
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Autobusová doprava;2023;347109.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2001;3947.331
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2002;4291.369
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2003;4583.771
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2004;5750.336
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2005;6329.859
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2006;6709.621
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2007;6977.021
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2008;7157.917
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2009;7354.222
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2010;7466.078
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2011;7524.62
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2012;6419.58
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2013;6154.99
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2014;5622.62
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2015;5393.0
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2016;5999.96
Přepravené osoby ve veřejné osobní dopravě (tis. osob);Česko;Letecká doprava;2017;6656.84
