Území;Ukazatel;Roky;value
Česko;Výroba elektřiny celkem;1995;
Česko;Výroba elektřiny celkem;1996;
Česko;Výroba elektřiny celkem;1997;
Česko;Výroba elektřiny celkem;1998;
Česko;Výroba elektřiny celkem;1999;
Česko;Výroba elektřiny celkem;2000;73466.0
Česko;Výroba elektřiny celkem;2001;74647.0
Česko;Výroba elektřiny celkem;2002;76348.0
Česko;Výroba elektřiny celkem;2003;83227.0
Česko;Výroba elektřiny celkem;2004;84333.0
Česko;Výroba elektřiny celkem;2005;82578.0
Česko;Výroba elektřiny celkem;2006;84361.0
Česko;Výroba elektřiny celkem;2007;88198.0
Česko;Výroba elektřiny celkem;2008;83518.0
Česko;Výroba elektřiny celkem;2009;82250.0
Česko;Výroba elektřiny celkem;2010;85903.0
Česko;Výroba elektřiny celkem;2011;87477.0
Česko;Výroba elektřiny celkem;2012;87418.0
Česko;Výroba elektřiny celkem;2013;86913.0
Česko;Výroba elektřiny celkem;2014;86148.0
Česko;Výroba elektřiny celkem;2015;83892.0
Česko;Výroba elektřiny celkem;2016;83309.0
Česko;Výroba elektřiny celkem;2017;87050.0
Česko;Výroba elektřiny celkem;2018;88032.0
Česko;Výroba elektřiny celkem;2019;87031.0
Česko;Výroba elektřiny celkem;2020;81517.0
Česko;Výroba elektřiny celkem;2021;85016.0
Česko;Výroba elektřiny celkem;2022;84848.14
Česko;Výroba elektřiny celkem;2023;77245.787
Česko;Výroba elektřiny - tepelné elektrárny;1995;
Česko;Výroba elektřiny - tepelné elektrárny;1996;
Česko;Výroba elektřiny - tepelné elektrárny;1997;
Česko;Výroba elektřiny - tepelné elektrárny;1998;
Česko;Výroba elektřiny - tepelné elektrárny;1999;
Česko;Výroba elektřiny - tepelné elektrárny;2000;57563.0
Česko;Výroba elektřiny - tepelné elektrárny;2001;57431.0
Česko;Výroba elektřiny - tepelné elektrárny;2002;54762.0
Česko;Výroba elektřiny - tepelné elektrárny;2003;55557.0
Česko;Výroba elektřiny - tepelné elektrárny;2004;55435.0
Česko;Výroba elektřiny - tepelné elektrárny;2005;54802.0
Česko;Výroba elektřiny - tepelné elektrárny;2006;55009.0
Česko;Výroba elektřiny - tepelné elektrárny;2007;59375.0
Česko;Výroba elektřiny - tepelné elektrárny;2008;54333.0
Česko;Výroba elektřiny - tepelné elektrárny;2009;51682.0
Česko;Výroba elektřiny - tepelné elektrárny;2010;53574.0
Česko;Výroba elektřiny - tepelné elektrárny;2011;53951.0
Česko;Výroba elektřiny - tepelné elektrárny;2012;51669.0
Česko;Výroba elektřiny - tepelné elektrárny;2013;50015.0
Česko;Výroba elektřiny - tepelné elektrárny;2014;50262.0
Česko;Výroba elektřiny - tepelné elektrárny;2015;51143.0
Česko;Výroba elektřiny - tepelné elektrárny;2016;53375.0
Česko;Výroba elektřiny - tepelné elektrárny;2017;52886.0
Česko;Výroba elektřiny - tepelné elektrárny;2018;52464.0
Česko;Výroba elektřiny - tepelné elektrárny;2019;50598.0
Česko;Výroba elektřiny - tepelné elektrárny;2020;45051.0
Česko;Výroba elektřiny - tepelné elektrárny;2021;47813.0
Česko;Výroba elektřiny - tepelné elektrárny;2022;47475.553
Česko;Výroba elektřiny - tepelné elektrárny;2023;39506.288
Česko;Výroba elektřiny - vodní elektrárny;1995;2274.0
Česko;Výroba elektřiny - vodní elektrárny;1996;
Česko;Výroba elektřiny - vodní elektrárny;1997;
Česko;Výroba elektřiny - vodní elektrárny;1998;
Česko;Výroba elektřiny - vodní elektrárny;1999;2215.0
Česko;Výroba elektřiny - vodní elektrárny;2000;2313.0
Česko;Výroba elektřiny - vodní elektrárny;2001;2467.0
Česko;Výroba elektřiny - vodní elektrárny;2002;2846.0
Česko;Výroba elektřiny - vodní elektrárny;2003;1794.0
Česko;Výroba elektřiny - vodní elektrárny;2004;2563.0
Česko;Výroba elektřiny - vodní elektrárny;2005;3027.0
Česko;Výroba elektřiny - vodní elektrárny;2006;3257.0
Česko;Výroba elektřiny - vodní elektrárny;2007;2524.0
