Území;Ekonomické subjekty ;Ukazatel;Roky;value
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2024;2836017
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2023;2800294
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2022;2996841
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2021;2976264
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2020;2932963
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2019;2892452
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2018;2889422
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2017;2848672
Česko;Počet ekonomických subjektů v registru;Počet ekonomických subjektů celkem;2016;2807532
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2024;1988387
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2023;1968473
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2022;2178948
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2021;2172322
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2020;2144822
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2019;2118716
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2018;2133829
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2017;2114685
Česko;Počet ekonomických subjektů v registru;Fyzické osoby celkem;2016;2098978
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2024;1769805
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2023;1753265
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2022;1991789
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2021;1988895
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2020;1962664
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2019;1938453
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2018;1912059
Česko;Počet ekonomických subjektů v registru;Soukromí podnikatelé podnikající podle živnostenského zákona;2017;1892729
