Území,Roky,Finanční instituce,Ukazatel,value
Česko,2023,Bankovní peněžní instituce,Počet aktivních jednotek,47.0
Česko,2023,Bankovní peněžní instituce,Aktiva celkem (mil. Kč),13145931.866
Česko,2023,Bankovní peněžní instituce,Finanční aktiva (mil. Kč),13071398.392
Česko,2023,Bankovní peněžní instituce,Průměrná hrubá mzda na zaměstnance (Kč),74484.7239165057
Česko,2023,Nebankovní peněžní instituce účtující jako banky,Počet aktivních jednotek,395.0
Česko,2023,Nebankovní peněžní instituce účtující jako banky,Aktiva celkem (mil. Kč),1185533.2454924015
Česko,2023,Nebankovní peněžní instituce účtující jako banky,Finanční aktiva (mil. Kč),1123102.1152770435
Česko,2023,Nebankovní peněžní instituce účtující jako banky,Průměrná hrubá mzda na zaměstnance (Kč),81208.6101351017
Česko,2023,Nebankovní peněžní instituce účtující jako podnikatelé,Počet aktivních jednotek,5125.0
Česko,2023,Nebankovní peněžní instituce účtující jako podnikatelé,Aktiva celkem (mil. Kč),3230304.899165099
Česko,2023,Nebankovní peněžní instituce účtující jako podnikatelé,Finanční aktiva (mil. Kč),3091288.254662452
Česko,2023,Nebankovní peněžní instituce účtující jako podnikatelé,Průměrná hrubá mzda na zaměstnance (Kč),58043.3574341653
Česko,2023,Finanční leasingové společnosti,Počet aktivních jednotek,74.0
Česko,2023,Finanční leasingové společnosti,Aktiva celkem (mil. Kč),347412.251
Česko,2023,Finanční leasingové společnosti,Finanční aktiva (mil. Kč),258744.8913895864
Česko,2023,Finanční leasingové společnosti,Průměrná hrubá mzda na zaměstnance (Kč),74300.5648288087
Česko,2023,Investiční společnosti a fondy,Počet aktivních jednotek,329.0
Česko,2023,Investiční společnosti a fondy,Aktiva celkem (mil. Kč),1027031.9598466814
Česko,2023,Investiční společnosti a fondy,Finanční aktiva (mil. Kč),968915.4585538316
Česko,2023,Investiční společnosti a fondy,Průměrná hrubá mzda na zaměstnance (Kč),97039.9273548459
Česko,2023,Pojišťovny,Počet aktivních jednotek,43.0
Česko,2023,Pojišťovny,Aktiva celkem (mil. Kč),527014.95
Česko,2023,Pojišťovny,Finanční aktiva (mil. Kč),518140.907
Česko,2023,Pojišťovny,Průměrná hrubá mzda na zaměstnance (Kč),67866.2531673767
Česko,2023,Penzijní společnosti a fondy,Počet aktivních jednotek,9.0
Česko,2023,Penzijní společnosti a fondy,Aktiva celkem (mil. Kč),625287.655
Česko,2023,Penzijní společnosti a fondy,Finanční aktiva (mil. Kč),623227.081
Česko,2023,Penzijní společnosti a fondy,Průměrná hrubá mzda na zaměstnance (Kč),56936.6161616162
