Území;Ukazatel;Pohlaví;Roky;value
Česko;Počet obyvatel (k 31. 12.);ženy;2015;5367513.0
Česko;Počet obyvatel (k 31. 12.);ženy;2016;5378133.0
Česko;Počet obyvatel (k 31. 12.);ženy;2017;5390264.0
Česko;Počet obyvatel (k 31. 12.);ženy;2018;5405606.0
Česko;Počet obyvatel (k 31. 12.);ženy;2019;5421943.0
Česko;Počet obyvatel (k 31. 12.);ženy;2020;5426674.0
Česko;Počet obyvatel (k 31. 12.);ženy;2021;5332932.0
Česko;Počet obyvatel (k 31. 12.);ženy;2022;5519006.0
Česko;Počet obyvatel (k 31. 12.);ženy;2023;5557945.0
Česko;Počet obyvatel (k 31. 12.);ženy;2024;5554921.0
Česko;Počet obyvatel (k 31. 12.);muži;2015;5186330.0
Česko;Počet obyvatel (k 31. 12.);muži;2016;5200687.0
Česko;Počet obyvatel (k 31. 12.);muži;2017;5219791.0
Česko;Počet obyvatel (k 31. 12.);muži;2018;5244194.0
Česko;Počet obyvatel (k 31. 12.);muži;2019;5271996.0
Česko;Počet obyvatel (k 31. 12.);muži;2020;5275103.0
Česko;Počet obyvatel (k 31. 12.);muži;2021;5183775.0
Česko;Počet obyvatel (k 31. 12.);muži;2022;5308523.0
Česko;Počet obyvatel (k 31. 12.);muži;2023;5342610.0
Česko;Počet obyvatel (k 31. 12.);muži;2024;5354579.0
Česko;Cizinci (k 31. 12.);ženy;2015;202474.0
Česko;Cizinci (k 31. 12.);ženy;2016;215496.0
Česko;Cizinci (k 31. 12.);ženy;2017;228058.0
Česko;Cizinci (k 31. 12.);ženy;2018;243628.0
Česko;Cizinci (k 31. 12.);ženy;2019;253057.0
Česko;Cizinci (k 31. 12.);ženy;2020;271473.0
Česko;Cizinci (k 31. 12.);ženy;2021;286368.0
Česko;Cizinci (k 31. 12.);ženy;2022;569459.0
Česko;Cizinci (k 31. 12.);ženy;2023;524609.0
Česko;Cizinci (k 31. 12.);ženy;2024;
Česko;Cizinci (k 31. 12.);muži;2015;262196.0
Česko;Cizinci (k 31. 12.);muži;2016;277945.0
Česko;Cizinci (k 31. 12.);muži;2017;296084.0
Česko;Cizinci (k 31. 12.);muži;2018;320717.0
Česko;Cizinci (k 31. 12.);muži;2019;340309.0
Česko;Cizinci (k 31. 12.);muži;2020;361097.0
Česko;Cizinci (k 31. 12.);muži;2021;372196.0
Česko;Cizinci (k 31. 12.);muži;2022;544239.0
Česko;Cizinci (k 31. 12.);muži;2023;538616.0
Česko;Cizinci (k 31. 12.);muži;2024;
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2015;791107.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2016;802627.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2017;814133.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2018;825350.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2019;833900.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2020;838804.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2021;826546.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2022;854910.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2023;843286.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;2024;824554.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2015;832609.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2016;844648.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2017;856544.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2018;867710.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2019;876302.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2020;880937.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2021;866862.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2022;895898.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2023;884472.0
Česko;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;2024;866229.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2015;3447412.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2016;3416329.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2017;3390377.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2018;3370502.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2019;3354390.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2020;3338999.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2021;3250058.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2022;3385548.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2023;3420347.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;2024;3426641.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2015;3550303.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2016;3526294.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2017;3508818.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2018;3499621.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2019;3497717.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2020;3484715.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2021;3404132.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2022;3483324.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2023;3515128.0
Česko;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;2024;3536189.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2015;1128994.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2016;1159177.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2017;1185754.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2018;1209754.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2019;1233653.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2020;1248871.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2021;1256328.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2022;1278548.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2023;1294312.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;2024;1303726.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2015;803418.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2016;829745.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2017;854429.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2018;876863.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2019;897977.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2020;909451.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2021;912781.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2022;929301.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2023;943010.0
Česko;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;2024;952161.0
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2015;43.2693293
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2016;43.44406367
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2017;43.58859566
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2018;43.72308248
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2019;43.86993104
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2020;43.97281447
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2021;44.20489254
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2022;43.98045065
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2023;44.18169044
Česko;"Průměrný věk (k 31. 12.; roky)";ženy;2024;44.45982661
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2015;40.41916268
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2016;40.60122874
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2017;40.7566005
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2018;40.90367004
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2019;41.05085038
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2020;41.14876667
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2021;41.3197306
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2022;41.17888337
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2023;41.37110045
Česko;"Průměrný věk (k 31. 12.; roky)";muži;2024;41.61080367
