Roky,Území,Ukazatel,Pohlaví,value
2024,Česko,Počet obyvatel (k 31. 12.),ženy,5554921.0
2024,Česko,Počet obyvatel (k 31. 12.),muži,5354579.0
2024,Česko,Cizinci (k 31. 12.),ženy,
2024,Česko,Cizinci (k 31. 12.),muži,
2024,Česko,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,824554.0
2024,Česko,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,866229.0
2024,Česko,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,3426641.0
2024,Česko,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,3536189.0
2024,Česko,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,1303726.0
2024,Česko,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,952161.0
2024,Česko,Průměrný věk (k 31. 12.; roky),ženy,44.45982661
2024,Česko,Průměrný věk (k 31. 12.; roky),muži,41.61080367
2024,Hlavní město Praha,Počet obyvatel (k 31. 12.),ženy,718718.0
2024,Hlavní město Praha,Počet obyvatel (k 31. 12.),muži,679162.0
2024,Hlavní město Praha,Cizinci (k 31. 12.),ženy,
2024,Hlavní město Praha,Cizinci (k 31. 12.),muži,
2024,Hlavní město Praha,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,105195.0
2024,Hlavní město Praha,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,110090.0
2024,Hlavní město Praha,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,461653.0
2024,Hlavní město Praha,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,463501.0
2024,Hlavní město Praha,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,151870.0
2024,Hlavní město Praha,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,105571.0
2024,Hlavní město Praha,Průměrný věk (k 31. 12.; roky),ženy,43.29055902
2024,Hlavní město Praha,Průměrný věk (k 31. 12.; roky),muži,40.35619778
2024,Středočeský kraj,Počet obyvatel (k 31. 12.),ženy,745405.0
2024,Středočeský kraj,Počet obyvatel (k 31. 12.),muži,720810.0
2024,Středočeský kraj,Cizinci (k 31. 12.),ženy,
2024,Středočeský kraj,Cizinci (k 31. 12.),muži,
2024,Středočeský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,122911.0
2024,Středočeský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,128818.0
2024,Středočeský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,465338.0
2024,Středočeský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,473827.0
2024,Středočeský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,157156.0
2024,Středočeský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,118165.0
2024,Středočeský kraj,Průměrný věk (k 31. 12.; roky),ženy,42.97260885
2024,Středočeský kraj,Průměrný věk (k 31. 12.; roky),muži,40.53633135
2024,Jihočeský kraj,Počet obyvatel (k 31. 12.),ženy,331223.0
2024,Jihočeský kraj,Počet obyvatel (k 31. 12.),muži,322004.0
2024,Jihočeský kraj,Cizinci (k 31. 12.),ženy,
2024,Jihočeský kraj,Cizinci (k 31. 12.),muži,
2024,Jihočeský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,48871.0
2024,Jihočeský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,51505.0
2024,Jihočeský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,201966.0
2024,Jihočeský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,208446.0
2024,Jihočeský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),ženy,80386.0
2024,Jihočeský kraj,Počet obyvatel ve věku 65 a více let (k 31. 12.),muži,62053.0
2024,Jihočeský kraj,Průměrný věk (k 31. 12.; roky),ženy,44.87957207
2024,Jihočeský kraj,Průměrný věk (k 31. 12.; roky),muži,42.26170793
2024,Plzeňský kraj,Počet obyvatel (k 31. 12.),ženy,312141.0
2024,Plzeňský kraj,Počet obyvatel (k 31. 12.),muži,302499.0
2024,Plzeňský kraj,Cizinci (k 31. 12.),ženy,
2024,Plzeňský kraj,Cizinci (k 31. 12.),muži,
2024,Plzeňský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),ženy,44974.0
2024,Plzeňský kraj,Počet obyvatel ve věku 0 - 14 let (k 31. 12.),muži,47009.0
2024,Plzeňský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),ženy,195050.0
2024,Plzeňský kraj,Počet obyvatel ve věku 15 - 64 let (k 31. 12.),muži,200377.0
