Roky;Území;Ukazatel;Pohlaví;value
2023;Česko;Zemřelí celkem;ženy;54765.0
2023;Česko;Zemřelí celkem;muži;58030.0
2023;Česko;Zemřelí ve věku 0 - 14 let;ženy;166.0
2023;Česko;Zemřelí ve věku 0 - 14 let;muži;194.0
2023;Česko;Zemřelí ve věku 15- 64 let;ženy;5451.0
2023;Česko;Zemřelí ve věku 15- 64 let;muži;12109.0
2023;Česko;Zemřelí ve věku 65 a více let;ženy;49148.0
2023;Česko;Zemřelí ve věku 65 a více let;muži;45727.0
2023;Česko;Naděje dožití při narození (roky);ženy;82.78054922
2023;Česko;Naděje dožití při narození (roky);muži;76.89409283
2023;Česko;Naděje dožití ve věku 65 let (roky);ženy;20.43064497
2023;Česko;Naděje dožití ve věku 65 let (roky);muži;16.69633063
