Roky;Kraje;Ukazatel;Pohlaví;value
2024;Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;105195
2024;Hlavní město Praha;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;110090
2024;Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;461653
2024;Hlavní město Praha;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;463501
2024;Hlavní město Praha;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;151870
2024;Hlavní město Praha;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;105571
2024;Středočeský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;122911
2024;Středočeský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;128818
2024;Středočeský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;465338
2024;Středočeský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;473827
2024;Středočeský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;157156
2024;Středočeský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;118165
2024;Jihočeský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;48871
2024;Jihočeský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;51505
2024;Jihočeský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;201966
2024;Jihočeský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;208446
2024;Jihočeský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;80386
2024;Jihočeský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;62053
2024;Plzeňský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;44974
2024;Plzeňský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;47009
2024;Plzeňský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;195050
2024;Plzeňský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;200377
2024;Plzeňský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;72117
2024;Plzeňský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;55113
2024;Karlovarský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;20346
2024;Karlovarský kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;21277
2024;Karlovarský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;93415
2024;Karlovarský kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;94909
2024;Karlovarský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;36465
2024;Karlovarský kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;26783
2024;Ústecký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;59575
2024;Ústecký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;62696
2024;Ústecký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;253288
2024;Ústecký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;264933
2024;Ústecký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;97181
2024;Ústecký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;70683
2024;Liberecký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;33772
2024;Liberecký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;35605
2024;Liberecký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;140458
2024;Liberecký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;145207
2024;Liberecký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;54565
2024;Liberecký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;39887
2024;Královéhradecký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;40694
2024;Královéhradecký kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;42995
2024;Královéhradecký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;169648
2024;Královéhradecký kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;176566
2024;Královéhradecký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;72212
2024;Královéhradecký kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;53808
2024;Pardubický kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;40427
2024;Pardubický kraj;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);muži;42606
2024;Pardubický kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);ženy;163381
2024;Pardubický kraj;Počet obyvatel ve věku 15 - 64 let (k 31. 12.);muži;171639
2024;Pardubický kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);ženy;64224
2024;Pardubický kraj;Počet obyvatel ve věku 65 a více let (k 31. 12.);muži;48192
2024;Kraj Vysočina;Počet obyvatel ve věku 0 - 14 let (k 31. 12.);ženy;38961
