Roky,Území,Ukazatel,Pohlaví,value
2024,Česko,Průměrná hrubá měsíční mzda (Kč),ženy,43741
2024,Česko,Průměrná hrubá měsíční mzda (Kč),muži,53423
2024,Česko,Medián měsíčních mezd (Kč),ženy,38676
2024,Česko,Medián měsíčních mezd (Kč),muži,44740
2024,Hlavní město Praha,Průměrná hrubá měsíční mzda (Kč),ženy,54112
2024,Hlavní město Praha,Průměrná hrubá měsíční mzda (Kč),muži,69199
2024,Hlavní město Praha,Medián měsíčních mezd (Kč),ženy,46124
2024,Hlavní město Praha,Medián měsíčních mezd (Kč),muži,54315
2024,Středočeský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,43017
2024,Středočeský kraj,Průměrná hrubá měsíční mzda (Kč),muži,53056
2024,Středočeský kraj,Medián měsíčních mezd (Kč),ženy,38614
2024,Středočeský kraj,Medián měsíčních mezd (Kč),muži,45825
2024,Jihočeský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,39326
2024,Jihočeský kraj,Průměrná hrubá měsíční mzda (Kč),muži,47912
2024,Jihočeský kraj,Medián měsíčních mezd (Kč),ženy,35549
2024,Jihočeský kraj,Medián měsíčních mezd (Kč),muži,42232
2024,Plzeňský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,42577
2024,Plzeňský kraj,Průměrná hrubá měsíční mzda (Kč),muži,50951
2024,Plzeňský kraj,Medián měsíčních mezd (Kč),ženy,39003
2024,Plzeňský kraj,Medián měsíčních mezd (Kč),muži,45331
2024,Karlovarský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,39367
2024,Karlovarský kraj,Průměrná hrubá měsíční mzda (Kč),muži,43614
2024,Karlovarský kraj,Medián měsíčních mezd (Kč),ženy,35439
2024,Karlovarský kraj,Medián měsíčních mezd (Kč),muži,39215
2024,Ústecký kraj,Průměrná hrubá měsíční mzda (Kč),ženy,41051
2024,Ústecký kraj,Průměrná hrubá měsíční mzda (Kč),muži,48274
2024,Ústecký kraj,Medián měsíčních mezd (Kč),ženy,37261
2024,Ústecký kraj,Medián měsíčních mezd (Kč),muži,43244
2024,Liberecký kraj,Průměrná hrubá měsíční mzda (Kč),ženy,40167
2024,Liberecký kraj,Průměrná hrubá měsíční mzda (Kč),muži,49491
2024,Liberecký kraj,Medián měsíčních mezd (Kč),ženy,36591
2024,Liberecký kraj,Medián měsíčních mezd (Kč),muži,43879
2024,Královéhradecký kraj,Průměrná hrubá měsíční mzda (Kč),ženy,40801
2024,Královéhradecký kraj,Průměrná hrubá měsíční mzda (Kč),muži,50569
2024,Královéhradecký kraj,Medián měsíčních mezd (Kč),ženy,37192
2024,Královéhradecký kraj,Medián měsíčních mezd (Kč),muži,43813
2024,Pardubický kraj,Průměrná hrubá měsíční mzda (Kč),ženy,40136
2024,Pardubický kraj,Průměrná hrubá měsíční mzda (Kč),muži,46602
2024,Pardubický kraj,Medián měsíčních mezd (Kč),ženy,36852
2024,Pardubický kraj,Medián měsíčních mezd (Kč),muži,42109
2024,Kraj Vysočina,Průměrná hrubá měsíční mzda (Kč),ženy,39653
2024,Kraj Vysočina,Průměrná hrubá měsíční mzda (Kč),muži,47683
2024,Kraj Vysočina,Medián měsíčních mezd (Kč),ženy,36594
2024,Kraj Vysočina,Medián měsíčních mezd (Kč),muži,42491
2024,Jihomoravský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,42680
2024,Jihomoravský kraj,Průměrná hrubá měsíční mzda (Kč),muži,52278
2024,Jihomoravský kraj,Medián měsíčních mezd (Kč),ženy,38569
2024,Jihomoravský kraj,Medián měsíčních mezd (Kč),muži,44509
2024,Olomoucký kraj,Průměrná hrubá měsíční mzda (Kč),ženy,39736
2024,Olomoucký kraj,Průměrná hrubá měsíční mzda (Kč),muži,46929
2024,Olomoucký kraj,Medián měsíčních mezd (Kč),ženy,36175
2024,Olomoucký kraj,Medián měsíčních mezd (Kč),muži,41773
2024,Zlínský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,38807
2024,Zlínský kraj,Průměrná hrubá měsíční mzda (Kč),muži,49072
2024,Zlínský kraj,Medián měsíčních mezd (Kč),ženy,35109
2024,Zlínský kraj,Medián měsíčních mezd (Kč),muži,43683
2024,Moravskoslezský kraj,Průměrná hrubá měsíční mzda (Kč),ženy,40264
2024,Moravskoslezský kraj,Průměrná hrubá měsíční mzda (Kč),muži,48641
2024,Moravskoslezský kraj,Medián měsíčních mezd (Kč),ženy,36612
2024,Moravskoslezský kraj,Medián měsíčních mezd (Kč),muži,43568
