Území,Roky,Ukazatel,Pohlaví,Nejvyšší dosažené vzdělání,value
Česko,2024,Průměrná hrubá měsíční mzda (Kč),ženy,Základní a nedokončené vzdělání,31950
Česko,2024,Průměrná hrubá měsíční mzda (Kč),ženy,Střední vzdělání bez maturity,31891
Česko,2024,Průměrná hrubá měsíční mzda (Kč),ženy,Střední vzdělání s maturitou,42027
Česko,2024,Průměrná hrubá měsíční mzda (Kč),ženy,Vyšší odborné a bakalářské vzdělání,49897
Česko,2024,Průměrná hrubá měsíční mzda (Kč),ženy,Vysokoškolské vzdělání,61879
Česko,2024,Průměrná hrubá měsíční mzda (Kč),muži,Základní a nedokončené vzdělání,38053
Česko,2024,Průměrná hrubá měsíční mzda (Kč),muži,Střední vzdělání bez maturity,40631
Česko,2024,Průměrná hrubá měsíční mzda (Kč),muži,Střední vzdělání s maturitou,52390
Česko,2024,Průměrná hrubá měsíční mzda (Kč),muži,Vyšší odborné a bakalářské vzdělání,66371
Česko,2024,Průměrná hrubá měsíční mzda (Kč),muži,Vysokoškolské vzdělání,83338
Česko,2024,Medián měsíčních mezd (Kč),ženy,Základní a nedokončené vzdělání,30713
Česko,2024,Medián měsíčních mezd (Kč),ženy,Střední vzdělání bez maturity,30210
Česko,2024,Medián měsíčních mezd (Kč),ženy,Střední vzdělání s maturitou,38887
Česko,2024,Medián měsíčních mezd (Kč),ženy,Vyšší odborné a bakalářské vzdělání,45256
Česko,2024,Medián měsíčních mezd (Kč),ženy,Vysokoškolské vzdělání,53115
Česko,2024,Medián měsíčních mezd (Kč),muži,Základní a nedokončené vzdělání,35996
Česko,2024,Medián měsíčních mezd (Kč),muži,Střední vzdělání bez maturity,38943
Česko,2024,Medián měsíčních mezd (Kč),muži,Střední vzdělání s maturitou,47005
Česko,2024,Medián měsíčních mezd (Kč),muži,Vyšší odborné a bakalářské vzdělání,56065
Česko,2024,Medián měsíčních mezd (Kč),muži,Vysokoškolské vzdělání,66757
