Území,Ukazatel,Čtvrtletí,value
Česko,Hrubý domácí produkt,3. čtvrtletí 2023,99.7
Česko,Hrubý domácí produkt,4. čtvrtletí 2023,100.5
Česko,Hrubý domácí produkt,1. čtvrtletí 2024,100.5
Česko,Hrubý domácí produkt,2. čtvrtletí 2024,100.5
Česko,Hrubý domácí produkt,3. čtvrtletí 2024,101.5
Česko,Hrubý domácí produkt,4. čtvrtletí 2024,101.9
Česko,Hrubý domácí produkt,1. čtvrtletí 2025,102.4
Česko,Hrubý domácí produkt,2. čtvrtletí 2025,102.6
Česko,Výdaje na konečnou spotřebu celkem,3. čtvrtletí 2023,99.2
Česko,Výdaje na konečnou spotřebu celkem,4. čtvrtletí 2023,101.2
Česko,Výdaje na konečnou spotřebu celkem,1. čtvrtletí 2024,102.5
Česko,Výdaje na konečnou spotřebu celkem,2. čtvrtletí 2024,101.9
Česko,Výdaje na konečnou spotřebu celkem,3. čtvrtletí 2024,103.0
Česko,Výdaje na konečnou spotřebu celkem,4. čtvrtletí 2024,103.1
Česko,Výdaje na konečnou spotřebu celkem,1. čtvrtletí 2025,102.2
Česko,Výdaje na konečnou spotřebu celkem,2. čtvrtletí 2025,103.2
Česko,Výdaje na konečnou spotřebu domácností,3. čtvrtletí 2023,97.4
Česko,Výdaje na konečnou spotřebu domácností,4. čtvrtletí 2023,100.1
Česko,Výdaje na konečnou spotřebu domácností,1. čtvrtletí 2024,102.3
Česko,Výdaje na konečnou spotřebu domácností,2. čtvrtletí 2024,100.9
Česko,Výdaje na konečnou spotřebu domácností,3. čtvrtletí 2024,102.6
Česko,Výdaje na konečnou spotřebu domácností,4. čtvrtletí 2024,103.0
Česko,Výdaje na konečnou spotřebu domácností,1. čtvrtletí 2025,102.3
Česko,Výdaje na konečnou spotřebu domácností,2. čtvrtletí 2025,103.4
Česko,Výdaje na konečnou spotřebu vládních institucí,3. čtvrtletí 2023,103.2
Česko,Výdaje na konečnou spotřebu vládních institucí,4. čtvrtletí 2023,103.4
Česko,Výdaje na konečnou spotřebu vládních institucí,1. čtvrtletí 2024,102.5
Česko,Výdaje na konečnou spotřebu vládních institucí,2. čtvrtletí 2024,103.6
Česko,Výdaje na konečnou spotřebu vládních institucí,3. čtvrtletí 2024,103.4
Česko,Výdaje na konečnou spotřebu vládních institucí,4. čtvrtletí 2024,103.2
Česko,Výdaje na konečnou spotřebu vládních institucí,1. čtvrtletí 2025,101.9
Česko,Výdaje na konečnou spotřebu vládních institucí,2. čtvrtletí 2025,102.6
Česko,Výdaje na konečnou spotřebu neziskových institucí,3. čtvrtletí 2023,104.7
Česko,Výdaje na konečnou spotřebu neziskových institucí,4. čtvrtletí 2023,114.8
Česko,Výdaje na konečnou spotřebu neziskových institucí,1. čtvrtletí 2024,114.1
Česko,Výdaje na konečnou spotřebu neziskových institucí,2. čtvrtletí 2024,115.2
Česko,Výdaje na konečnou spotřebu neziskových institucí,3. čtvrtletí 2024,114.3
Česko,Výdaje na konečnou spotřebu neziskových institucí,4. čtvrtletí 2024,105.2
Česko,Výdaje na konečnou spotřebu neziskových institucí,1. čtvrtletí 2025,103.8
Česko,Výdaje na konečnou spotřebu neziskových institucí,2. čtvrtletí 2025,104.8
Česko,Tvorba hrubého kapitálu celkem,3. čtvrtletí 2023,96.2
Česko,Tvorba hrubého kapitálu celkem,4. čtvrtletí 2023,87.0
Česko,Tvorba hrubého kapitálu celkem,1. čtvrtletí 2024,89.3
Česko,Tvorba hrubého kapitálu celkem,2. čtvrtletí 2024,93.6
Česko,Tvorba hrubého kapitálu celkem,3. čtvrtletí 2024,96.2
Česko,Tvorba hrubého kapitálu celkem,4. čtvrtletí 2024,103.3
Česko,Tvorba hrubého kapitálu celkem,1. čtvrtletí 2025,105.0
Česko,Tvorba hrubého kapitálu celkem,2. čtvrtletí 2025,104.8
Česko,Tvorba hrubého fixního kapitálu,3. čtvrtletí 2023,104.4
Česko,Tvorba hrubého fixního kapitálu,4. čtvrtletí 2023,104.3
Česko,Tvorba hrubého fixního kapitálu,1. čtvrtletí 2024,99.4
Česko,Tvorba hrubého fixního kapitálu,2. čtvrtletí 2024,96.9
Česko,Tvorba hrubého fixního kapitálu,3. čtvrtletí 2024,96.5
Česko,Tvorba hrubého fixního kapitálu,4. čtvrtletí 2024,94.9
Česko,Tvorba hrubého fixního kapitálu,1. čtvrtletí 2025,98.3
Česko,Tvorba hrubého fixního kapitálu,2. čtvrtletí 2025,99.8
Česko,Čisté pořízení cenností,3. čtvrtletí 2023,46.2
Česko,Čisté pořízení cenností,4. čtvrtletí 2023,49.2
Česko,Čisté pořízení cenností,1. čtvrtletí 2024,65.0
Česko,Čisté pořízení cenností,2. čtvrtletí 2024,80.7
Česko,Čisté pořízení cenností,3. čtvrtletí 2024,93.4
Česko,Čisté pořízení cenností,4. čtvrtletí 2024,101.8
