Území,Ukazatel,Čtvrtletí,value
Česko,Hrubý domácí produkt,3. čtvrtletí 2023,99.7
Česko,Hrubý domácí produkt,4. čtvrtletí 2023,100.5
Česko,Hrubý domácí produkt,1. čtvrtletí 2024,100.5
Česko,Hrubý domácí produkt,2. čtvrtletí 2024,100.5
Česko,Hrubý domácí produkt,3. čtvrtletí 2024,101.5
Česko,Hrubý domácí produkt,4. čtvrtletí 2024,101.9
Česko,Hrubý domácí produkt,1. čtvrtletí 2025,102.4
Česko,Hrubý domácí produkt,2. čtvrtletí 2025,102.6
Česko,Hrubá přidaná hodnota celkem,3. čtvrtletí 2023,100.3
Česko,Hrubá přidaná hodnota celkem,4. čtvrtletí 2023,100.3
Česko,Hrubá přidaná hodnota celkem,1. čtvrtletí 2024,99.4
Česko,Hrubá přidaná hodnota celkem,2. čtvrtletí 2024,100.0
Česko,Hrubá přidaná hodnota celkem,3. čtvrtletí 2024,101.0
Česko,Hrubá přidaná hodnota celkem,4. čtvrtletí 2024,101.4
Česko,Hrubá přidaná hodnota celkem,1. čtvrtletí 2025,102.7
Česko,Hrubá přidaná hodnota celkem,2. čtvrtletí 2025,102.8
Česko,"HPH - Zemědělství, lesnictví a rybářství",3. čtvrtletí 2023,110.5
Česko,"HPH - Zemědělství, lesnictví a rybářství",4. čtvrtletí 2023,127.7
Česko,"HPH - Zemědělství, lesnictví a rybářství",1. čtvrtletí 2024,96.5
Česko,"HPH - Zemědělství, lesnictví a rybářství",2. čtvrtletí 2024,100.6
Česko,"HPH - Zemědělství, lesnictví a rybářství",3. čtvrtletí 2024,106.3
Česko,"HPH - Zemědělství, lesnictví a rybářství",4. čtvrtletí 2024,101.6
Česko,"HPH - Zemědělství, lesnictví a rybářství",1. čtvrtletí 2025,101.7
Česko,"HPH - Zemědělství, lesnictví a rybářství",2. čtvrtletí 2025,101.9
Česko,HPH - Průmysl celkem,3. čtvrtletí 2023,99.0
Česko,HPH - Průmysl celkem,4. čtvrtletí 2023,100.0
Česko,HPH - Průmysl celkem,1. čtvrtletí 2024,96.3
Česko,HPH - Průmysl celkem,2. čtvrtletí 2024,95.9
Česko,HPH - Průmysl celkem,3. čtvrtletí 2024,98.5
Česko,HPH - Průmysl celkem,4. čtvrtletí 2024,97.1
Česko,HPH - Průmysl celkem,1. čtvrtletí 2025,101.2
Česko,HPH - Průmysl celkem,2. čtvrtletí 2025,102.2
Česko,HPH - Zpracovatelský průmysl,3. čtvrtletí 2023,102.8
Česko,HPH - Zpracovatelský průmysl,4. čtvrtletí 2023,102.4
Česko,HPH - Zpracovatelský průmysl,1. čtvrtletí 2024,95.9
Česko,HPH - Zpracovatelský průmysl,2. čtvrtletí 2024,94.4
Česko,HPH - Zpracovatelský průmysl,3. čtvrtletí 2024,97.1
Česko,HPH - Zpracovatelský průmysl,4. čtvrtletí 2024,95.8
Česko,HPH - Zpracovatelský průmysl,1. čtvrtletí 2025,100.7
Česko,HPH - Zpracovatelský průmysl,2. čtvrtletí 2025,102.0
Česko,HPH - Stavebnictví,3. čtvrtletí 2023,103.2
Česko,HPH - Stavebnictví,4. čtvrtletí 2023,100.8
Česko,HPH - Stavebnictví,1. čtvrtletí 2024,100.4
Česko,HPH - Stavebnictví,2. čtvrtletí 2024,100.2
Česko,HPH - Stavebnictví,3. čtvrtletí 2024,100.2
Česko,HPH - Stavebnictví,4. čtvrtletí 2024,102.1
Česko,HPH - Stavebnictví,1. čtvrtletí 2025,104.1
Česko,HPH - Stavebnictví,2. čtvrtletí 2025,106.2
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",3. čtvrtletí 2023,96.9
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",4. čtvrtletí 2023,95.1
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",1. čtvrtletí 2024,101.0
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",2. čtvrtletí 2024,103.4
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",3. čtvrtletí 2024,105.0
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",4. čtvrtletí 2024,105.5
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",1. čtvrtletí 2025,103.8
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",2. čtvrtletí 2025,103.8
Česko,HPH - Informační a komunikační činnosti,3. čtvrtletí 2023,106.0
Česko,HPH - Informační a komunikační činnosti,4. čtvrtletí 2023,104.6
Česko,HPH - Informační a komunikační činnosti,1. čtvrtletí 2024,104.6
Česko,HPH - Informační a komunikační činnosti,2. čtvrtletí 2024,105.4
Česko,HPH - Informační a komunikační činnosti,3. čtvrtletí 2024,106.5
Česko,HPH - Informační a komunikační činnosti,4. čtvrtletí 2024,107.1
Česko,HPH - Informační a komunikační činnosti,1. čtvrtletí 2025,108.0
Česko,HPH - Informační a komunikační činnosti,2. čtvrtletí 2025,106.8
