Území,Ukazatel,Čtvrtletí,value
Česko,Hrubý domácí produkt,3. čtvrtletí 2023,99.6
Česko,Hrubý domácí produkt,4. čtvrtletí 2023,100.4
Česko,Hrubý domácí produkt,1. čtvrtletí 2024,100.2
Česko,Hrubý domácí produkt,2. čtvrtletí 2024,100.3
Česko,Hrubý domácí produkt,3. čtvrtletí 2024,100.6
Česko,Hrubý domácí produkt,4. čtvrtletí 2024,100.8
Česko,Hrubý domácí produkt,1. čtvrtletí 2025,100.7
Česko,Hrubý domácí produkt,2. čtvrtletí 2025,100.5
Česko,Hrubá přidaná hodnota celkem,3. čtvrtletí 2023,99.8
Česko,Hrubá přidaná hodnota celkem,4. čtvrtletí 2023,100.2
Česko,Hrubá přidaná hodnota celkem,1. čtvrtletí 2024,99.6
Česko,Hrubá přidaná hodnota celkem,2. čtvrtletí 2024,100.4
Česko,Hrubá přidaná hodnota celkem,3. čtvrtletí 2024,100.8
Česko,Hrubá přidaná hodnota celkem,4. čtvrtletí 2024,100.6
Česko,Hrubá přidaná hodnota celkem,1. čtvrtletí 2025,100.9
Česko,Hrubá přidaná hodnota celkem,2. čtvrtletí 2025,100.5
Česko,"HPH - Zemědělství, lesnictví a rybářství",3. čtvrtletí 2023,94.9
Česko,"HPH - Zemědělství, lesnictví a rybářství",4. čtvrtletí 2023,105.6
Česko,"HPH - Zemědělství, lesnictví a rybářství",1. čtvrtletí 2024,99.3
Česko,"HPH - Zemědělství, lesnictví a rybářství",2. čtvrtletí 2024,101.1
Česko,"HPH - Zemědělství, lesnictví a rybářství",3. čtvrtletí 2024,100.3
Česko,"HPH - Zemědělství, lesnictví a rybářství",4. čtvrtletí 2024,100.9
Česko,"HPH - Zemědělství, lesnictví a rybářství",1. čtvrtletí 2025,99.4
Česko,"HPH - Zemědělství, lesnictví a rybářství",2. čtvrtletí 2025,101.4
Česko,HPH - Průmysl celkem,3. čtvrtletí 2023,98.9
Česko,HPH - Průmysl celkem,4. čtvrtletí 2023,101.6
Česko,HPH - Průmysl celkem,1. čtvrtletí 2024,96.1
Česko,HPH - Průmysl celkem,2. čtvrtletí 2024,99.3
Česko,HPH - Průmysl celkem,3. čtvrtletí 2024,101.6
Česko,HPH - Průmysl celkem,4. čtvrtletí 2024,100.1
Česko,HPH - Průmysl celkem,1. čtvrtletí 2025,100.2
Česko,HPH - Průmysl celkem,2. čtvrtletí 2025,100.3
Česko,HPH - Zpracovatelský průmysl,3. čtvrtletí 2023,99.1
Česko,HPH - Zpracovatelský průmysl,4. čtvrtletí 2023,101.6
Česko,HPH - Zpracovatelský průmysl,1. čtvrtletí 2024,94.8
Česko,HPH - Zpracovatelský průmysl,2. čtvrtletí 2024,99.0
Česko,HPH - Zpracovatelský průmysl,3. čtvrtletí 2024,101.9
Česko,HPH - Zpracovatelský průmysl,4. čtvrtletí 2024,100.3
Česko,HPH - Zpracovatelský průmysl,1. čtvrtletí 2025,99.6
Česko,HPH - Zpracovatelský průmysl,2. čtvrtletí 2025,100.3
Česko,HPH - Stavebnictví,3. čtvrtletí 2023,100.7
Česko,HPH - Stavebnictví,4. čtvrtletí 2023,98.8
Česko,HPH - Stavebnictví,1. čtvrtletí 2024,100.8
Česko,HPH - Stavebnictví,2. čtvrtletí 2024,99.9
Česko,HPH - Stavebnictví,3. čtvrtletí 2024,100.7
Česko,HPH - Stavebnictví,4. čtvrtletí 2024,100.7
Česko,HPH - Stavebnictví,1. čtvrtletí 2025,102.7
Česko,HPH - Stavebnictví,2. čtvrtletí 2025,101.9
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",3. čtvrtletí 2023,99.2
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",4. čtvrtletí 2023,99.3
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",1. čtvrtletí 2024,103.2
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",2. čtvrtletí 2024,101.8
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",3. čtvrtletí 2024,100.7
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",4. čtvrtletí 2024,99.8
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",1. čtvrtletí 2025,101.5
Česko,"HPH - Obchod, doprava, ubytování a pohostinství",2. čtvrtletí 2025,101.7
Česko,HPH - Informační a komunikační činnosti,3. čtvrtletí 2023,101.4
Česko,HPH - Informační a komunikační činnosti,4. čtvrtletí 2023,100.6
Česko,HPH - Informační a komunikační činnosti,1. čtvrtletí 2024,101.6
Česko,HPH - Informační a komunikační činnosti,2. čtvrtletí 2024,101.6
Česko,HPH - Informační a komunikační činnosti,3. čtvrtletí 2024,102.5
