Území,Ukazatel,Roky,value
Česko,Hrubý domácí produkt,1990,3465212
Česko,Hrubý domácí produkt,1991,3114999
Česko,Hrubý domácí produkt,1992,3037892
Česko,Hrubý domácí produkt,1993,3050358
Česko,Hrubý domácí produkt,1994,3125635
Česko,Hrubý domácí produkt,1995,3350538
Česko,Hrubý domácí produkt,1996,3490208
Česko,Hrubý domácí produkt,1997,3469412
Česko,Hrubý domácí produkt,1998,3455772
Česko,Hrubý domácí produkt,1999,3503405
Česko,Hrubý domácí produkt,2000,3643915
Česko,Hrubý domácí produkt,2001,3750216
Česko,Hrubý domácí produkt,2002,3806974
Česko,Hrubý domácí produkt,2003,3932636
Česko,Hrubý domácí produkt,2004,4118899
Česko,Hrubý domácí produkt,2005,4381480
Česko,Hrubý domácí produkt,2006,4671673
Česko,Hrubý domácí produkt,2007,4928093
Česko,Hrubý domácí produkt,2008,5056828
Česko,Hrubý domácí produkt,2009,4814185
Česko,Hrubý domácí produkt,2010,4944874
Česko,Hrubý domácí produkt,2011,5032516
Česko,Hrubý domácí produkt,2012,4993732
Česko,Hrubý domácí produkt,2013,4991644
Česko,Hrubý domácí produkt,2014,5103717
Česko,Hrubý domácí produkt,2015,5356798
Česko,Hrubý domácí produkt,2016,5495050
Česko,Hrubý domácí produkt,2017,5779340
Česko,Hrubý domácí produkt,2018,5942913
Česko,Hrubý domácí produkt,2019,6154824
Česko,Hrubý domácí produkt,2020,5828318
Česko,Hrubý domácí produkt,2021,6063142
Česko,Hrubý domácí produkt,2022,6235770
Česko,Hrubý domácí produkt,2023,6238737
Česko,Hrubý domácí produkt,2024,6315666
Česko,Výrobní metoda - produkce,1990,6149782
Česko,Výrobní metoda - produkce,1991,5822107
Česko,Výrobní metoda - produkce,1992,5724951
Česko,Výrobní metoda - produkce,1993,5605864
Česko,Výrobní metoda - produkce,1994,5671512
Česko,Výrobní metoda - produkce,1995,6108436
Česko,Výrobní metoda - produkce,1996,6389784
Česko,Výrobní metoda - produkce,1997,6628790
Česko,Výrobní metoda - produkce,1998,6743961
Česko,Výrobní metoda - produkce,1999,6777361
Česko,Výrobní metoda - produkce,2000,7109139
Česko,Výrobní metoda - produkce,2001,7549824
Česko,Výrobní metoda - produkce,2002,7758820
Česko,Výrobní metoda - produkce,2003,8281470
Česko,Výrobní metoda - produkce,2004,8764470
Česko,Výrobní metoda - produkce,2005,9177156
Česko,Výrobní metoda - produkce,2006,10053387
Česko,Výrobní metoda - produkce,2007,10824125
Česko,Výrobní metoda - produkce,2008,11022687
Česko,Výrobní metoda - produkce,2009,10131371
Česko,Výrobní metoda - produkce,2010,10604985
Česko,Výrobní metoda - produkce,2011,10891557
Česko,Výrobní metoda - produkce,2012,10635588
Česko,Výrobní metoda - produkce,2013,10621397
Česko,Výrobní metoda - produkce,2014,11012561
Česko,Výrobní metoda - produkce,2015,11568409
Česko,Výrobní metoda - produkce,2016,11869529
Česko,Výrobní metoda - produkce,2017,12582426
Česko,Výrobní metoda - produkce,2018,13093455
Česko,Výrobní metoda - produkce,2019,13310338
Česko,Výrobní metoda - produkce,2020,12540312
Česko,Výrobní metoda - produkce,2021,13391023
Česko,Výrobní metoda - produkce,2022,13962435
Česko,Výrobní metoda - produkce,2023,14001351
Česko,Výrobní metoda - produkce,2024,14159630
Česko,Výrobní metoda - mezispotřeba,1990,3122910
Česko,Výrobní metoda - mezispotřeba,1991,3050460
Česko,Výrobní metoda - mezispotřeba,1992,3014756
Česko,Výrobní metoda - mezispotřeba,1993,2883028
Česko,Výrobní metoda - mezispotřeba,1994,2905125
Česko,Výrobní metoda - mezispotřeba,1995,3154674
Česko,Výrobní metoda - mezispotřeba,1996,3318049
Česko,Výrobní metoda - mezispotřeba,1997,3565887
Česko,Výrobní metoda - mezispotřeba,1998,3680729
Česko,Výrobní metoda - mezispotřeba,1999,3674479
Česko,Výrobní metoda - mezispotřeba,2000,3870792
Česko,Výrobní metoda - mezispotřeba,2001,4198303
Česko,Výrobní metoda - mezispotřeba,2002,4337938
Česko,Výrobní metoda - mezispotřeba,2003,4754179
Česko,Výrobní metoda - mezispotřeba,2004,5065322
Česko,Výrobní metoda - mezispotřeba,2005,5243762
Česko,Výrobní metoda - mezispotřeba,2006,5827528
Česko,Výrobní metoda - mezispotřeba,2007,6363129
Česko,Výrobní metoda - mezispotřeba,2008,6416111
Česko,Výrobní metoda - mezispotřeba,2009,5793321
Česko,Výrobní metoda - mezispotřeba,2010,6117024
Česko,Výrobní metoda - mezispotřeba,2011,6318929
Česko,Výrobní metoda - mezispotřeba,2012,6111548
Česko,Výrobní metoda - mezispotřeba,2013,6098789
Česko,Výrobní metoda - mezispotřeba,2014,6355693
Česko,Výrobní metoda - mezispotřeba,2015,6704375
Česko,Výrobní metoda - mezispotřeba,2016,6881330
Česko,Výrobní metoda - mezispotřeba,2017,7331220
Česko,Výrobní metoda - mezispotřeba,2018,7681598
Česko,Výrobní metoda - mezispotřeba,2019,7710430
Česko,Výrobní metoda - mezispotřeba,2020,7224946
Česko,Výrobní metoda - mezispotřeba,2021,7866799
Česko,Výrobní metoda - mezispotřeba,2022,8277051
Česko,Výrobní metoda - mezispotřeba,2023,8284904
Česko,Výrobní metoda - mezispotřeba,2024,8410162
Česko,Výrobní metoda - hrubá přidaná hodnota,1990,3123519
Česko,Výrobní metoda - hrubá přidaná hodnota,1991,2824077
Česko,Výrobní metoda - hrubá přidaná hodnota,1992,2753313
Česko,Výrobní metoda - hrubá přidaná hodnota,1993,2802289
Česko,Výrobní metoda - hrubá přidaná hodnota,1994,2852034
Česko,Výrobní metoda - hrubá přidaná hodnota,1995,3036289
Česko,Výrobní metoda - hrubá přidaná hodnota,1996,3151990
Česko,Výrobní metoda - hrubá přidaná hodnota,1997,3110733
Česko,Výrobní metoda - hrubá přidaná hodnota,1998,3099210
Česko,Výrobní metoda - hrubá přidaná hodnota,1999,3143290
Česko,Výrobní metoda - hrubá přidaná hodnota,2000,3277893
Česko,Výrobní metoda - hrubá přidaná hodnota,2001,3374199
Česko,Výrobní metoda - hrubá přidaná hodnota,2002,3440262
Česko,Výrobní metoda - hrubá přidaná hodnota,2003,3532083
Česko,Výrobní metoda - hrubá přidaná hodnota,2004,3700528
Česko,Výrobní metoda - hrubá přidaná hodnota,2005,3942187
Česko,Výrobní metoda - hrubá přidaná hodnota,2006,4222853
Česko,Výrobní metoda - hrubá přidaná hodnota,2007,4442356
Česko,Výrobní metoda - hrubá přidaná hodnota,2008,4597497
Česko,Výrobní metoda - hrubá přidaná hodnota,2009,4347505
Česko,Výrobní metoda - hrubá přidaná hodnota,2010,4491510
Česko,Výrobní metoda - hrubá přidaná hodnota,2011,4570973
Česko,Výrobní metoda - hrubá přidaná hodnota,2012,4533399
Česko,Výrobní metoda - hrubá přidaná hodnota,2013,4532871
Česko,Výrobní metoda - hrubá přidaná hodnota,2014,4661329
Česko,Výrobní metoda - hrubá přidaná hodnota,2015,4864094
