Území;Ukazatel;Roky;value
Česko;Hrubý domácí produkt;1991;89.9
Česko;Hrubý domácí produkt;1992;97.5
Česko;Hrubý domácí produkt;1993;100.4
Česko;Hrubý domácí produkt;1994;102.5
Česko;Hrubý domácí produkt;1995;107.2
Česko;Hrubý domácí produkt;1996;104.2
Česko;Hrubý domácí produkt;1997;99.4
Česko;Hrubý domácí produkt;1998;99.6
Česko;Hrubý domácí produkt;1999;101.4
Česko;Hrubý domácí produkt;2000;104.0
Česko;Hrubý domácí produkt;2001;102.9
Česko;Hrubý domácí produkt;2002;101.5
Česko;Hrubý domácí produkt;2003;103.3
Česko;Hrubý domácí produkt;2004;104.7
Česko;Hrubý domácí produkt;2005;106.4
Česko;Hrubý domácí produkt;2006;106.6
Česko;Hrubý domácí produkt;2007;105.5
Česko;Hrubý domácí produkt;2008;102.6
Česko;Hrubý domácí produkt;2009;95.2
Česko;Hrubý domácí produkt;2010;102.7
Česko;Hrubý domácí produkt;2011;101.8
Česko;Hrubý domácí produkt;2012;99.2
Česko;Hrubý domácí produkt;2013;100.0
Česko;Hrubý domácí produkt;2014;102.2
Česko;Hrubý domácí produkt;2015;105.0
Česko;Hrubý domácí produkt;2016;102.6
Česko;Hrubý domácí produkt;2017;105.2
Česko;Hrubý domácí produkt;2018;102.8
Česko;Hrubý domácí produkt;2019;103.6
Česko;Hrubý domácí produkt;2020;94.7
Česko;Hrubý domácí produkt;2021;104.0
Česko;Hrubý domácí produkt;2022;102.8
Česko;Hrubý domácí produkt;2023;99.9
Česko;Hrubý domácí produkt;2024;101.1
Česko;Výrobní metoda - produkce;1991;94.7
Česko;Výrobní metoda - produkce;1992;98.3
Česko;Výrobní metoda - produkce;1993;97.9
Česko;Výrobní metoda - produkce;1994;101.2
Česko;Výrobní metoda - produkce;1995;107.7
Česko;Výrobní metoda - produkce;1996;104.6
Česko;Výrobní metoda - produkce;1997;103.7
Česko;Výrobní metoda - produkce;1998;101.7
Česko;Výrobní metoda - produkce;1999;100.5
Česko;Výrobní metoda - produkce;2000;104.9
Česko;Výrobní metoda - produkce;2001;106.2
Česko;Výrobní metoda - produkce;2002;102.8
Česko;Výrobní metoda - produkce;2003;106.7
Česko;Výrobní metoda - produkce;2004;105.8
Česko;Výrobní metoda - produkce;2005;104.7
Česko;Výrobní metoda - produkce;2006;109.5
Česko;Výrobní metoda - produkce;2007;107.7
Česko;Výrobní metoda - produkce;2008;101.8
Česko;Výrobní metoda - produkce;2009;91.9
Česko;Výrobní metoda - produkce;2010;104.7
Česko;Výrobní metoda - produkce;2011;102.7
Česko;Výrobní metoda - produkce;2012;97.6
Česko;Výrobní metoda - produkce;2013;99.9
Česko;Výrobní metoda - produkce;2014;103.7
Česko;Výrobní metoda - produkce;2015;105.0
Česko;Výrobní metoda - produkce;2016;102.6
Česko;Výrobní metoda - produkce;2017;106.0
Česko;Výrobní metoda - produkce;2018;104.1
Česko;Výrobní metoda - produkce;2019;101.7
Česko;Výrobní metoda - produkce;2020;94.2
Česko;Výrobní metoda - produkce;2021;106.8
Česko;Výrobní metoda - produkce;2022;104.3
Česko;Výrobní metoda - produkce;2023;102.1
Česko;Výrobní metoda - produkce;2024;100.4
Česko;Výrobní metoda - mezispotřeba;1991;97.7
Česko;Výrobní metoda - mezispotřeba;1992;98.8
Česko;Výrobní metoda - mezispotřeba;1993;95.6
Česko;Výrobní metoda - mezispotřeba;1994;100.8
Česko;Výrobní metoda - mezispotřeba;1995;108.6
Česko;Výrobní metoda - mezispotřeba;1996;105.2
Česko;Výrobní metoda - mezispotřeba;1997;107.5
Česko;Výrobní metoda - mezispotřeba;1998;103.2
Česko;Výrobní metoda - mezispotřeba;1999;99.8
Česko;Výrobní metoda - mezispotřeba;2000;105.3
Česko;Výrobní metoda - mezispotřeba;2001;108.5
Česko;Výrobní metoda - mezispotřeba;2002;103.3
Česko;Výrobní metoda - mezispotřeba;2003;109.6
Česko;Výrobní metoda - mezispotřeba;2004;106.5
Česko;Výrobní metoda - mezispotřeba;2005;103.5
Česko;Výrobní metoda - mezispotřeba;2006;111.1
Česko;Výrobní metoda - mezispotřeba;2007;109.2
Česko;Výrobní metoda - mezispotřeba;2008;100.8
Česko;Výrobní metoda - mezispotřeba;2009;90.3
Česko;Výrobní metoda - mezispotřeba;2010;105.6
Česko;Výrobní metoda - mezispotřeba;2011;103.3
Česko;Výrobní metoda - mezispotřeba;2012;96.7
Česko;Výrobní metoda - mezispotřeba;2013;99.8
Česko;Výrobní metoda - mezispotřeba;2014;104.2
Česko;Výrobní metoda - mezispotřeba;2015;105.5
Česko;Výrobní metoda - mezispotřeba;2016;102.6
Česko;Výrobní metoda - mezispotřeba;2017;106.5
Česko;Výrobní metoda - mezispotřeba;2018;104.8
Česko;Výrobní metoda - mezispotřeba;2019;100.4
Česko;Výrobní metoda - mezispotřeba;2020;93.7
Česko;Výrobní metoda - mezispotřeba;2021;108.9
Česko;Výrobní metoda - mezispotřeba;2022;105.2
Česko;Výrobní metoda - mezispotřeba;2023;103.2
Česko;Výrobní metoda - mezispotřeba;2024;100.3
Česko;Výrobní metoda - hrubá přidaná hodnota;1991;90.4
Česko;Výrobní metoda - hrubá přidaná hodnota;1992;97.5
Česko;Výrobní metoda - hrubá přidaná hodnota;1993;101.8
Česko;Výrobní metoda - hrubá přidaná hodnota;1994;101.8
Česko;Výrobní metoda - hrubá přidaná hodnota;1995;106.5
Česko;Výrobní metoda - hrubá přidaná hodnota;1996;103.8
Česko;Výrobní metoda - hrubá přidaná hodnota;1997;98.7
Česko;Výrobní metoda - hrubá přidaná hodnota;1998;99.6
Česko;Výrobní metoda - hrubá přidaná hodnota;1999;101.4
Česko;Výrobní metoda - hrubá přidaná hodnota;2000;104.3
Česko;Výrobní metoda - hrubá přidaná hodnota;2001;102.9
Česko;Výrobní metoda - hrubá přidaná hodnota;2002;102.0
Česko;Výrobní metoda - hrubá přidaná hodnota;2003;102.7
Česko;Výrobní metoda - hrubá přidaná hodnota;2004;104.8
Česko;Výrobní metoda - hrubá přidaná hodnota;2005;106.5
Česko;Výrobní metoda - hrubá přidaná hodnota;2006;107.1
Česko;Výrobní metoda - hrubá přidaná hodnota;2007;105.2
Česko;Výrobní metoda - hrubá přidaná hodnota;2008;103.5
Česko;Výrobní metoda - hrubá přidaná hodnota;2009;94.6
Česko;Výrobní metoda - hrubá přidaná hodnota;2010;103.3
Česko;Výrobní metoda - hrubá přidaná hodnota;2011;101.8
Česko;Výrobní metoda - hrubá přidaná hodnota;2012;99.2
Česko;Výrobní metoda - hrubá přidaná hodnota;2013;100.0
Česko;Výrobní metoda - hrubá přidaná hodnota;2014;102.8
Česko;Výrobní metoda - hrubá přidaná hodnota;2015;104.3
Česko;Výrobní metoda - hrubá přidaná hodnota;2016;102.5
Česko;Výrobní metoda - hrubá přidaná hodnota;2017;105.2
Česko;Výrobní metoda - hrubá přidaná hodnota;2018;103.0
Česko;Výrobní metoda - hrubá přidaná hodnota;2019;103.6
Česko;Výrobní metoda - hrubá přidaná hodnota;2020;94.9
Česko;Výrobní metoda - hrubá přidaná hodnota;2021;103.9
Česko;Výrobní metoda - hrubá přidaná hodnota;2022;102.9
Česko;Výrobní metoda - hrubá přidaná hodnota;2023;100.5
Česko;Výrobní metoda - hrubá přidaná hodnota;2024;100.5
Česko;Výrobní metoda - daně z produktů;1991;84.1
Česko;Výrobní metoda - daně z produktů;1992;97.9
Česko;Výrobní metoda - daně z produktů;1993;89.6
Česko;Výrobní metoda - daně z produktů;1994;107.0
Česko;Výrobní metoda - daně z produktů;1995;112.6
Česko;Výrobní metoda - daně z produktů;1996;107.4
Česko;Výrobní metoda - daně z produktů;1997;106.1
Česko;Výrobní metoda - daně z produktů;1998;99.2
Česko;Výrobní metoda - daně z produktů;1999;100.9
Česko;Výrobní metoda - daně z produktů;2000;101.5
Česko;Výrobní metoda - daně z produktů;2001;103.5
Česko;Výrobní metoda - daně z produktů;2002;97.8
Česko;Výrobní metoda - daně z produktů;2003;109.7
Česko;Výrobní metoda - daně z produktů;2004;103.5
Česko;Výrobní metoda - daně z produktů;2005;104.8
Česko;Výrobní metoda - daně z produktů;2006;101.7
Česko;Výrobní metoda - daně z produktů;2007;107.3
Česko;Výrobní metoda - daně z produktů;2008;94.6
Česko;Výrobní metoda - daně z produktů;2009;101.1
Česko;Výrobní metoda - daně z produktů;2010;97.6
Česko;Výrobní metoda - daně z produktů;2011;101.2
Česko;Výrobní metoda - daně z produktů;2012;98.3
Česko;Výrobní metoda - daně z produktů;2013;98.7
Česko;Výrobní metoda - daně z produktů;2014;97.8
Česko;Výrobní metoda - daně z produktů;2015;109.3
Česko;Výrobní metoda - daně z produktů;2016;102.9
Česko;Výrobní metoda - daně z produktů;2017;104.5
Česko;Výrobní metoda - daně z produktů;2018;101.4
Česko;Výrobní metoda - daně z produktů;2019;103.1
Česko;Výrobní metoda - daně z produktů;2020;93.9
Česko;Výrobní metoda - daně z produktů;2021;105.0
Česko;Výrobní metoda - daně z produktů;2022;100.5
Česko;Výrobní metoda - daně z produktů;2023;97.8
Česko;Výrobní metoda - daně z produktů;2024;103.8
Česko;Výrobní metoda - dotace na produkty;1991;85.4
Česko;Výrobní metoda - dotace na produkty;1992;98.1
Česko;Výrobní metoda - dotace na produkty;1993;99.8
Česko;Výrobní metoda - dotace na produkty;1994;95.3
Česko;Výrobní metoda - dotace na produkty;1995;101.5
Česko;Výrobní metoda - dotace na produkty;1996;105.0
Česko;Výrobní metoda - dotace na produkty;1997;103.1
Česko;Výrobní metoda - dotace na produkty;1998;97.9
Česko;Výrobní metoda - dotace na produkty;1999;100.5
Česko;Výrobní metoda - dotace na produkty;2000;103.8
Česko;Výrobní metoda - dotace na produkty;2001;112.1
Česko;Výrobní metoda - dotace na produkty;2002;108.6
Česko;Výrobní metoda - dotace na produkty;2003;105.8
Česko;Výrobní metoda - dotace na produkty;2004;96.8
Česko;Výrobní metoda - dotace na produkty;2005;103.5
Česko;Výrobní metoda - dotace na produkty;2006;99.2
Česko;Výrobní metoda - dotace na produkty;2007;95.3
Česko;Výrobní metoda - dotace na produkty;2008;99.4
Česko;Výrobní metoda - dotace na produkty;2009;96.6
Česko;Výrobní metoda - dotace na produkty;2010;103.4
Česko;Výrobní metoda - dotace na produkty;2011;96.6
Česko;Výrobní metoda - dotace na produkty;2012;90.3
Česko;Výrobní metoda - dotace na produkty;2013;93.1
Česko;Výrobní metoda - dotace na produkty;2014;101.4
Česko;Výrobní metoda - dotace na produkty;2015;102.1
Česko;Výrobní metoda - dotace na produkty;2016;103.1
Česko;Výrobní metoda - dotace na produkty;2017;102.6
Česko;Výrobní metoda - dotace na produkty;2018;100.8
Česko;Výrobní metoda - dotace na produkty;2019;102.4
Česko;Výrobní metoda - dotace na produkty;2020;102.9
Česko;Výrobní metoda - dotace na produkty;2021;104.5
Česko;Výrobní metoda - dotace na produkty;2022;91.9
Česko;Výrobní metoda - dotace na produkty;2023;116.2
Česko;Výrobní metoda - dotace na produkty;2024;83.2
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1991;85.7
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1992;105.2
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1993;100.7
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1994;104.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1995;104.8
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1996;105.1
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1997;102.9
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1998;98.9
Česko;Výdajová metoda - výdaje na konečnou spotřebu;1999;103.0
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2000;101.0
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2001;102.8
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2002;104.6
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2003;105.1
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2004;101.5
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2005;102.8
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2006;102.8
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2007;103.1
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2008;102.6
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2009;100.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2010;101.4
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2011;99.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2012;98.9
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2013;101.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2014;101.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2015;103.1
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2016;103.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2017;103.7
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2018;103.5
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2019;102.9
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2020;96.6
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2021;103.3
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2022;100.5
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2023;99.0
Česko;Výdajová metoda - výdaje na konečnou spotřebu;2024;102.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;1991;73.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;1992;102.4
Česko;Výdajová metoda - tvorba hrubého kapitálu;1993;108.9
Česko;Výdajová metoda - tvorba hrubého kapitálu;1994;115.4
Česko;Výdajová metoda - tvorba hrubého kapitálu;1995;119.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;1996;113.9
Česko;Výdajová metoda - tvorba hrubého kapitálu;1997;91.7
Česko;Výdajová metoda - tvorba hrubého kapitálu;1998;97.0
Česko;Výdajová metoda - tvorba hrubého kapitálu;1999;97.8
Česko;Výdajová metoda - tvorba hrubého kapitálu;2000;110.7
Česko;Výdajová metoda - tvorba hrubého kapitálu;2001;106.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;2002;101.2
Česko;Výdajová metoda - tvorba hrubého kapitálu;2003;100.3
Česko;Výdajová metoda - tvorba hrubého kapitálu;2004;107.1
Česko;Výdajová metoda - tvorba hrubého kapitálu;2005;103.8
Česko;Výdajová metoda - tvorba hrubého kapitálu;2006;109.3
Česko;Výdajová metoda - tvorba hrubého kapitálu;2007;114.2
Česko;Výdajová metoda - tvorba hrubého kapitálu;2008;100.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;2009;82.0
Česko;Výdajová metoda - tvorba hrubého kapitálu;2010;104.7
Česko;Výdajová metoda - tvorba hrubého kapitálu;2011;101.8
Česko;Výdajová metoda - tvorba hrubého kapitálu;2012;95.3
Česko;Výdajová metoda - tvorba hrubého kapitálu;2013;95.9
Česko;Výdajová metoda - tvorba hrubého kapitálu;2014;107.1
Česko;Výdajová metoda - tvorba hrubého kapitálu;2015;111.7
Česko;Výdajová metoda - tvorba hrubého kapitálu;2016;96.2
Česko;Výdajová metoda - tvorba hrubého kapitálu;2017;105.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;2018;106.4
Česko;Výdajová metoda - tvorba hrubého kapitálu;2019;105.7
Česko;Výdajová metoda - tvorba hrubého kapitálu;2020;90.7
Česko;Výdajová metoda - tvorba hrubého kapitálu;2021;118.5
Česko;Výdajová metoda - tvorba hrubého kapitálu;2022;110.2
Česko;Výdajová metoda - tvorba hrubého kapitálu;2023;93.6
Česko;Výdajová metoda - tvorba hrubého kapitálu;2024;95.7
Česko;Výdajová metoda - vývoz zboží a služeb;1991;88.2
Česko;Výdajová metoda - vývoz zboží a služeb;1992;107.0
Česko;Výdajová metoda - vývoz zboží a služeb;1993;112.7
Česko;Výdajová metoda - vývoz zboží a služeb;1994;97.6
Česko;Výdajová metoda - vývoz zboží a služeb;1995;115.3
Česko;Výdajová metoda - vývoz zboží a služeb;1996;102.5
Česko;Výdajová metoda - vývoz zboží a služeb;1997;107.6
Česko;Výdajová metoda - vývoz zboží a služeb;1998;109.6
Česko;Výdajová metoda - vývoz zboží a služeb;1999;105.2
Česko;Výdajová metoda - vývoz zboží a služeb;2000;114.8
Česko;Výdajová metoda - vývoz zboží a služeb;2001;109.4
Česko;Výdajová metoda - vývoz zboží a služeb;2002;100.9
Česko;Výdajová metoda - vývoz zboží a služeb;2003;108.8
Česko;Výdajová metoda - vývoz zboží a služeb;2004;129.7
Česko;Výdajová metoda - vývoz zboží a služeb;2005;118.3
Česko;Výdajová metoda - vývoz zboží a služeb;2006;114.4
Česko;Výdajová metoda - vývoz zboží a služeb;2007;111.1
Česko;Výdajová metoda - vývoz zboží a služeb;2008;104.2
Česko;Výdajová metoda - vývoz zboží a služeb;2009;90.2
Česko;Výdajová metoda - vývoz zboží a služeb;2010;114.8
Česko;Výdajová metoda - vývoz zboží a služeb;2011;109.1
Česko;Výdajová metoda - vývoz zboží a služeb;2012;104.2
Česko;Výdajová metoda - vývoz zboží a služeb;2013;100.3
Česko;Výdajová metoda - vývoz zboží a služeb;2014;108.7
Česko;Výdajová metoda - vývoz zboží a služeb;2015;106.0
Česko;Výdajová metoda - vývoz zboží a služeb;2016;104.1
Česko;Výdajová metoda - vývoz zboží a služeb;2017;107.2
Česko;Výdajová metoda - vývoz zboží a služeb;2018;103.6
Česko;Výdajová metoda - vývoz zboží a služeb;2019;101.3
Česko;Výdajová metoda - vývoz zboží a služeb;2020;91.6
Česko;Výdajová metoda - vývoz zboží a služeb;2021;108.3
Česko;Výdajová metoda - vývoz zboží a služeb;2022;105.4
Česko;Výdajová metoda - vývoz zboží a služeb;2023;102.6
Česko;Výdajová metoda - vývoz zboží a služeb;2024;
Česko;Výdajová metoda - dovoz zboží a služeb;1991;68.6
Česko;Výdajová metoda - dovoz zboží a služeb;1992;126.4
Česko;Výdajová metoda - dovoz zboží a služeb;1993;118.9
Česko;Výdajová metoda - dovoz zboží a služeb;1994;109.5
Česko;Výdajová metoda - dovoz zboží a služeb;1995;120.2
Česko;Výdajová metoda - dovoz zboží a služeb;1996;111.7
Česko;Výdajová metoda - dovoz zboží a služeb;1997;105.9
Česko;Výdajová metoda - dovoz zboží a služeb;1998;105.6
Česko;Výdajová metoda - dovoz zboží a služeb;1999;105.2
Česko;Výdajová metoda - dovoz zboží a služeb;2000;114.4
Česko;Výdajová metoda - dovoz zboží a služeb;2001;111.3
Česko;Výdajová metoda - dovoz zboží a služeb;2002;105.0
Česko;Výdajová metoda - dovoz zboží a služeb;2003;109.5
Česko;Výdajová metoda - dovoz zboží a služeb;2004;125.7
Česko;Výdajová metoda - dovoz zboží a služeb;2005;112.7
Česko;Výdajová metoda - dovoz zboží a služeb;2006;111.7
Česko;Výdajová metoda - dovoz zboží a služeb;2007;113.0
Česko;Výdajová metoda - dovoz zboží a služeb;2008;103.1
Česko;Výdajová metoda - dovoz zboží a služeb;2009;88.9
Česko;Výdajová metoda - dovoz zboží a služeb;2010;114.9
Česko;Výdajová metoda - dovoz zboží a služeb;2011;106.7
Česko;Výdajová metoda - dovoz zboží a služeb;2012;102.6
Česko;Výdajová metoda - dovoz zboží a služeb;2013;100.1
Česko;Výdajová metoda - dovoz zboží a služeb;2014;110.0
Česko;Výdajová metoda - dovoz zboží a služeb;2015;106.7
Česko;Výdajová metoda - dovoz zboží a služeb;2016;102.5
Česko;Výdajová metoda - dovoz zboží a služeb;2017;106.1
Česko;Výdajová metoda - dovoz zboží a služeb;2018;105.6
Česko;Výdajová metoda - dovoz zboží a služeb;2019;101.3
Česko;Výdajová metoda - dovoz zboží a služeb;2020;91.7
Česko;Výdajová metoda - dovoz zboží a služeb;2021;113.7
Česko;Výdajová metoda - dovoz zboží a služeb;2022;106.2
Česko;Výdajová metoda - dovoz zboží a služeb;2023;99.0
