Ukazatel;ČR, Reg. soudržnosti, Kraje;Roky;value
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2015;442711
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2016;460641
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2017;492289
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2018;519808
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2019;558170
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2020;554964
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2021;600690
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2022;655221
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Česko;2023;700358
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2015;973579
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2016;1015050
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2017;1074559
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2018;1151535
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2019;1233311
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2020;1224523
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2021;1349553
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2022;1458395
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Praha;2023;1493235
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2015;406040
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2016;430508
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2017;460839
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2018;475265
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2019;526230
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2020;502743
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2021;540504
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2022;584179
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Střední Čechy;2023;624886
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2015;380116
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2016;393302
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2017;422733
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2018;442911
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2019;470062
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2020;471102
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2021;504958
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2022;545200
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Jihozápad;2023;597233
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Severozápad;2015;318440
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Severozápad;2016;320983
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Severozápad;2017;341191
Hrubý domácí produkt na 1 obyvatele v Kč, běžné ceny;Severozápad;2018;352764
