Území;Ukazatel;Čtvrtletí;value
Česko;Saldo hospodaření vládních institucí celkem;4. čtvrtletí 2015;-32245
Česko;Saldo hospodaření vládních institucí celkem;1. čtvrtletí 2022;-63614
Česko;Saldo hospodaření vládních institucí celkem;2. čtvrtletí 2022;1908
Česko;Saldo hospodaření vládních institucí celkem;3. čtvrtletí 2022;-55608
Česko;Saldo hospodaření vládních institucí celkem;4. čtvrtletí 2022;-99031
Česko;Saldo hospodaření vládních institucí celkem;1. čtvrtletí 2023;-111030
Česko;Saldo hospodaření vládních institucí celkem;2. čtvrtletí 2023;-15391
Česko;Saldo hospodaření vládních institucí celkem;3. čtvrtletí 2023;-44985
Česko;Saldo hospodaření vládních institucí celkem;4. čtvrtletí 2023;-114660
Česko;Saldo hospodaření vládních institucí celkem;1. čtvrtletí 2024;-62819
Česko;Saldo hospodaření vládních institucí celkem;2. čtvrtletí 2024;-1019
Česko;Saldo hospodaření vládních institucí celkem;3. čtvrtletí 2024;-35682
Česko;Saldo hospodaření vládních institucí celkem;4. čtvrtletí 2024;-77653
Česko;Saldo hospodaření ústředních vládních institucí;4. čtvrtletí 2015;-26227
Česko;Saldo hospodaření ústředních vládních institucí;1. čtvrtletí 2022;-74142
Česko;Saldo hospodaření ústředních vládních institucí;2. čtvrtletí 2022;-72569
Česko;Saldo hospodaření ústředních vládních institucí;3. čtvrtletí 2022;-67909
Česko;Saldo hospodaření ústředních vládních institucí;4. čtvrtletí 2022;-67182
Česko;Saldo hospodaření ústředních vládních institucí;1. čtvrtletí 2023;-141021
Česko;Saldo hospodaření ústředních vládních institucí;2. čtvrtletí 2023;-62623
Česko;Saldo hospodaření ústředních vládních institucí;3. čtvrtletí 2023;-56318
Česko;Saldo hospodaření ústředních vládních institucí;4. čtvrtletí 2023;-86158
Česko;Saldo hospodaření ústředních vládních institucí;1. čtvrtletí 2024;-93689
Česko;Saldo hospodaření ústředních vládních institucí;2. čtvrtletí 2024;-48379
Česko;Saldo hospodaření ústředních vládních institucí;3. čtvrtletí 2024;-28556
Česko;Saldo hospodaření ústředních vládních institucí;4. čtvrtletí 2024;-41730
Česko;Saldo hospodaření místních vládních institucí;4. čtvrtletí 2015;-3556
Česko;Saldo hospodaření místních vládních institucí;1. čtvrtletí 2022;7313
Česko;Saldo hospodaření místních vládních institucí;2. čtvrtletí 2022;67095
Česko;Saldo hospodaření místních vládních institucí;3. čtvrtletí 2022;7696
Česko;Saldo hospodaření místních vládních institucí;4. čtvrtletí 2022;-17045
Česko;Saldo hospodaření místních vládních institucí;1. čtvrtletí 2023;29336
Česko;Saldo hospodaření místních vládních institucí;2. čtvrtletí 2023;46050
Česko;Saldo hospodaření místních vládních institucí;3. čtvrtletí 2023;7858
Česko;Saldo hospodaření místních vládních institucí;4. čtvrtletí 2023;-18888
Česko;Saldo hospodaření místních vládních institucí;1. čtvrtletí 2024;34294
Česko;Saldo hospodaření místních vládních institucí;2. čtvrtletí 2024;50569
Česko;Saldo hospodaření místních vládních institucí;3. čtvrtletí 2024;-6005
Česko;Saldo hospodaření místních vládních institucí;4. čtvrtletí 2024;-23607
Česko;Saldo hospodaření fondů sociálního zabezpečení;4. čtvrtletí 2015;-2462
Česko;Saldo hospodaření fondů sociálního zabezpečení;1. čtvrtletí 2022;3215
Česko;Saldo hospodaření fondů sociálního zabezpečení;2. čtvrtletí 2022;7382
Česko;Saldo hospodaření fondů sociálního zabezpečení;3. čtvrtletí 2022;4605
Česko;Saldo hospodaření fondů sociálního zabezpečení;4. čtvrtletí 2022;-14804
Česko;Saldo hospodaření fondů sociálního zabezpečení;1. čtvrtletí 2023;655
Česko;Saldo hospodaření fondů sociálního zabezpečení;2. čtvrtletí 2023;1182
Česko;Saldo hospodaření fondů sociálního zabezpečení;3. čtvrtletí 2023;3475
Česko;Saldo hospodaření fondů sociálního zabezpečení;4. čtvrtletí 2023;-9614
Česko;Saldo hospodaření fondů sociálního zabezpečení;1. čtvrtletí 2024;-3424
Česko;Saldo hospodaření fondů sociálního zabezpečení;2. čtvrtletí 2024;-3209
Česko;Saldo hospodaření fondů sociálního zabezpečení;3. čtvrtletí 2024;-1121
Česko;Saldo hospodaření fondů sociálního zabezpečení;4. čtvrtletí 2024;-12316
Česko;Hrubý konsolidovaný dluh vládních institucí;4. čtvrtletí 2015;1836047
Česko;Hrubý konsolidovaný dluh vládních institucí;1. čtvrtletí 2022;2684150
Česko;Hrubý konsolidovaný dluh vládních institucí;2. čtvrtletí 2022;2793661
Česko;Hrubý konsolidovaný dluh vládních institucí;3. čtvrtletí 2022;2983299
Česko;Hrubý konsolidovaný dluh vládních institucí;4. čtvrtletí 2022;2997632
Česko;Hrubý konsolidovaný dluh vládních institucí;1. čtvrtletí 2023;3099459
Česko;Hrubý konsolidovaný dluh vládních institucí;2. čtvrtletí 2023;3150740
Česko;Hrubý konsolidovaný dluh vládních institucí;3. čtvrtletí 2023;3214174
Česko;Hrubý konsolidovaný dluh vládních institucí;4. čtvrtletí 2023;3234077
Česko;Hrubý konsolidovaný dluh vládních institucí;1. čtvrtletí 2024;3337075
Česko;Hrubý konsolidovaný dluh vládních institucí;2. čtvrtletí 2024;3320799
Česko;Hrubý konsolidovaný dluh vládních institucí;3. čtvrtletí 2024;3449352
Česko;Hrubý konsolidovaný dluh vládních institucí;4. čtvrtletí 2024;3491908
Česko;Oběživo a vklady (závazky);4. čtvrtletí 2015;6978
Česko;Oběživo a vklady (závazky);1. čtvrtletí 2022;9338
Česko;Oběživo a vklady (závazky);2. čtvrtletí 2022;7952
Česko;Oběživo a vklady (závazky);3. čtvrtletí 2022;16223
Česko;Oběživo a vklady (závazky);4. čtvrtletí 2022;22242
Česko;Oběživo a vklady (závazky);1. čtvrtletí 2023;24723
Česko;Oběživo a vklady (závazky);2. čtvrtletí 2023;23534
Česko;Oběživo a vklady (závazky);3. čtvrtletí 2023;24631
Česko;Oběživo a vklady (závazky);4. čtvrtletí 2023;31214
Česko;Oběživo a vklady (závazky);1. čtvrtletí 2024;28168
Česko;Oběživo a vklady (závazky);2. čtvrtletí 2024;30241
Česko;Oběživo a vklady (závazky);3. čtvrtletí 2024;33054
Česko;Oběživo a vklady (závazky);4. čtvrtletí 2024;45892
Česko;Dluhové cenné papíry (závazky);4. čtvrtletí 2015;1648330
Česko;Dluhové cenné papíry (závazky);1. čtvrtletí 2022;2488803
Česko;Dluhové cenné papíry (závazky);2. čtvrtletí 2022;2505392
Česko;Dluhové cenné papíry (závazky);3. čtvrtletí 2022;2622808
Česko;Dluhové cenné papíry (závazky);4. čtvrtletí 2022;2597134
Česko;Dluhové cenné papíry (závazky);1. čtvrtletí 2023;2797101
Česko;Dluhové cenné papíry (závazky);2. čtvrtletí 2023;2855837
Česko;Dluhové cenné papíry (závazky);3. čtvrtletí 2023;2923502
Česko;Dluhové cenné papíry (závazky);4. čtvrtletí 2023;2943282
Česko;Dluhové cenné papíry (závazky);1. čtvrtletí 2024;3049317
Česko;Dluhové cenné papíry (závazky);2. čtvrtletí 2024;3034731
Česko;Dluhové cenné papíry (závazky);3. čtvrtletí 2024;3153067
Česko;Dluhové cenné papíry (závazky);4. čtvrtletí 2024;3159169
Česko;Půjčky (závazky);4. čtvrtletí 2015;180739
Česko;Půjčky (závazky);1. čtvrtletí 2022;186009
Česko;Půjčky (závazky);2. čtvrtletí 2022;280317
Česko;Půjčky (závazky);3. čtvrtletí 2022;344268
Česko;Půjčky (závazky);4. čtvrtletí 2022;378256
Česko;Půjčky (závazky);1. čtvrtletí 2023;277635
Česko;Půjčky (závazky);2. čtvrtletí 2023;271369
Česko;Půjčky (závazky);3. čtvrtletí 2023;266041
Česko;Půjčky (závazky);4. čtvrtletí 2023;259581
Česko;Půjčky (závazky);1. čtvrtletí 2024;259590
Česko;Půjčky (závazky);2. čtvrtletí 2024;255827
Česko;Půjčky (závazky);3. čtvrtletí 2024;263231
Česko;Půjčky (závazky);4. čtvrtletí 2024;286847
Česko;Tvorba hrubého fixního kapitálu;4. čtvrtletí 2015;76507
Česko;Tvorba hrubého fixního kapitálu;1. čtvrtletí 2022;66260
Česko;Tvorba hrubého fixního kapitálu;2. čtvrtletí 2022;76064
Česko;Tvorba hrubého fixního kapitálu;3. čtvrtletí 2022;87812
Česko;Tvorba hrubého fixního kapitálu;4. čtvrtletí 2022;89372
Česko;Tvorba hrubého fixního kapitálu;1. čtvrtletí 2023;74348
Česko;Tvorba hrubého fixního kapitálu;2. čtvrtletí 2023;89601
Česko;Tvorba hrubého fixního kapitálu;3. čtvrtletí 2023;96503
Česko;Tvorba hrubého fixního kapitálu;4. čtvrtletí 2023;109884
Česko;Tvorba hrubého fixního kapitálu;1. čtvrtletí 2024;75055
Česko;Tvorba hrubého fixního kapitálu;2. čtvrtletí 2024;91736
Česko;Tvorba hrubého fixního kapitálu;3. čtvrtletí 2024;102859
Česko;Tvorba hrubého fixního kapitálu;4. čtvrtletí 2024;106229
Česko;Úroky (konsolidované výdaje);4. čtvrtletí 2015;11846
Česko;Úroky (konsolidované výdaje);1. čtvrtletí 2022;16473
Česko;Úroky (konsolidované výdaje);2. čtvrtletí 2022;18132
Česko;Úroky (konsolidované výdaje);3. čtvrtletí 2022;20685
Česko;Úroky (konsolidované výdaje);4. čtvrtletí 2022;23065
Česko;Úroky (konsolidované výdaje);1. čtvrtletí 2023;24741
Česko;Úroky (konsolidované výdaje);2. čtvrtletí 2023;24044
