Území;Ukazatel;Kumulace čtvrtletí;value
Česko;Počet obyvatel - stav na konci období;Q1 2022;10669185
Česko;Počet obyvatel - stav na konci období;Q1-Q2 2022;10759525
Česko;Počet obyvatel - stav na konci období;Q1-Q3 2022;10800635
Česko;Počet obyvatel - stav na konci období;Q1-Q4 2022;10827529
Česko;Počet obyvatel - stav na konci období;Q1 2023;10852526
Česko;Počet obyvatel - stav na konci období;Q1-Q2 2023;10878042
Česko;Počet obyvatel - stav na konci období;Q1-Q3 2023;10889092
Česko;Počet obyvatel - stav na konci období;Q1-Q4 2023;10900555
Česko;Počet obyvatel - stav na konci období;Q1 2024;10868033
Česko;Počet obyvatel - stav na konci období;Q1-Q2 2024;10886531
Česko;Počet obyvatel - stav na konci období;Q1-Q3 2024;10903158
Česko;Počet obyvatel - stav na konci období;Q1-Q4 2024;10909500
Česko;Živě narození;Q1 2022;24677
Česko;Živě narození;Q1-Q2 2022;50911
Česko;Živě narození;Q1-Q3 2022;77798
Česko;Živě narození;Q1-Q4 2022;101299
Česko;Živě narození;Q1 2023;22881
Česko;Živě narození;Q1-Q2 2023;46077
Česko;Živě narození;Q1-Q3 2023;70096
Česko;Živě narození;Q1-Q4 2023;91149
Česko;Živě narození;Q1 2024;20984
Česko;Živě narození;Q1-Q2 2024;42307
Česko;Živě narození;Q1-Q3 2024;64468
Česko;Živě narození;Q1-Q4 2024;84311
Česko;Zemřelí;Q1 2022;32117
Česko;Zemřelí;Q1-Q2 2022;60064
Česko;Zemřelí;Q1-Q3 2022;88324
Česko;Zemřelí;Q1-Q4 2022;120219
Česko;Zemřelí;Q1 2023;30550
Česko;Zemřelí;Q1-Q2 2023;56997
Česko;Zemřelí;Q1-Q3 2023;82868
Česko;Zemřelí;Q1-Q4 2023;112795
Česko;Zemřelí;Q1 2024;29694
Česko;Zemřelí;Q1-Q2 2024;55775
Česko;Zemřelí;Q1-Q3 2024;82898
Česko;Zemřelí;Q1-Q4 2024;112211
Česko;Sňatky;Q1 2022;4524
Česko;Sňatky;Q1-Q2 2022;22146
Česko;Sňatky;Q1-Q3 2022;48098
Česko;Sňatky;Q1-Q4 2022;54820
Česko;Sňatky;Q1 2023;3992
Česko;Sňatky;Q1-Q2 2023;19922
Česko;Sňatky;Q1-Q3 2023;42481
Česko;Sňatky;Q1-Q4 2023;48268
Česko;Sňatky;Q1 2024;3371
Česko;Sňatky;Q1-Q2 2024;18962
Česko;Sňatky;Q1-Q3 2024;38576
Česko;Sňatky;Q1-Q4 2024;44486
Česko;Rozvody;Q1 2022;5071
Česko;Rozvody;Q1-Q2 2022;10406
Česko;Rozvody;Q1-Q3 2022;14729
