Území,Ukazatel,Roky,value
Česko,Počet obyvatel - celkem,2016,10578820.0
Česko,Počet obyvatel - celkem,2017,10610055.0
Česko,Počet obyvatel - celkem,2018,10649800.0
Česko,Počet obyvatel - celkem,2019,10693939.0
Česko,Počet obyvatel - celkem,2020,10701777.0
Česko,Počet obyvatel - celkem,2021,10516707.0
Česko,Počet obyvatel - celkem,2022,10827529.0
Česko,Počet obyvatel - celkem,2023,10900555.0
Česko,Počet obyvatel - celkem,2024,10909500.0
Česko,Počet obyvatel - muži,2016,5200687.0
Česko,Počet obyvatel - muži,2017,5219791.0
Česko,Počet obyvatel - muži,2018,5244194.0
Česko,Počet obyvatel - muži,2019,5271996.0
Česko,Počet obyvatel - muži,2020,5275103.0
Česko,Počet obyvatel - muži,2021,5183775.0
Česko,Počet obyvatel - muži,2022,5308523.0
Česko,Počet obyvatel - muži,2023,5342610.0
Česko,Počet obyvatel - muži,2024,5354579.0
Česko,Počet obyvatel - ženy,2016,5378133.0
Česko,Počet obyvatel - ženy,2017,5390264.0
Česko,Počet obyvatel - ženy,2018,5405606.0
Česko,Počet obyvatel - ženy,2019,5421943.0
Česko,Počet obyvatel - ženy,2020,5426674.0
Česko,Počet obyvatel - ženy,2021,5332932.0
Česko,Počet obyvatel - ženy,2022,5519006.0
Česko,Počet obyvatel - ženy,2023,5557945.0
Česko,Počet obyvatel - ženy,2024,5554921.0
Česko,Počet obyvatel ve věku 0 - 14 let,2016,1647275.0
Česko,Počet obyvatel ve věku 0 - 14 let,2017,1670677.0
Česko,Počet obyvatel ve věku 0 - 14 let,2018,1693060.0
Česko,Počet obyvatel ve věku 0 - 14 let,2019,1710202.0
Česko,Počet obyvatel ve věku 0 - 14 let,2020,1719741.0
Česko,Počet obyvatel ve věku 0 - 14 let,2021,1693408.0
Česko,Počet obyvatel ve věku 0 - 14 let,2022,1750808.0
Česko,Počet obyvatel ve věku 0 - 14 let,2023,1727758.0
Česko,Počet obyvatel ve věku 0 - 14 let,2024,1690783.0
Česko,Počet obyvatel ve věku 15 - 64 let,2016,6942623.0
Česko,Počet obyvatel ve věku 15 - 64 let,2017,6899195.0
Česko,Počet obyvatel ve věku 15 - 64 let,2018,6870123.0
Česko,Počet obyvatel ve věku 15 - 64 let,2019,6852107.0
Česko,Počet obyvatel ve věku 15 - 64 let,2020,6823714.0
Česko,Počet obyvatel ve věku 15 - 64 let,2021,6654190.0
Česko,Počet obyvatel ve věku 15 - 64 let,2022,6868872.0
Česko,Počet obyvatel ve věku 15 - 64 let,2023,6935475.0
Česko,Počet obyvatel ve věku 15 - 64 let,2024,6962830.0
Česko,Počet obyvatel ve věku 65 a více let,2016,1988922.0
Česko,Počet obyvatel ve věku 65 a více let,2017,2040183.0
Česko,Počet obyvatel ve věku 65 a více let,2018,2086617.0
Česko,Počet obyvatel ve věku 65 a více let,2019,2131630.0
Česko,Počet obyvatel ve věku 65 a více let,2020,2158322.0
Česko,Počet obyvatel ve věku 65 a více let,2021,2169109.0
Česko,Počet obyvatel ve věku 65 a více let,2022,2207849.0
Česko,Počet obyvatel ve věku 65 a více let,2023,2237322.0
Česko,Počet obyvatel ve věku 65 a více let,2024,2255887.0
Česko,Průměrný věk (roky),2016,42.04648864
Česko,Průměrný věk (roky),2017,42.19534908
Česko,Průměrný věk (roky),2018,42.33474225
Česko,Průměrný věk (roky),2019,42.48015483
Česko,Průměrný věk (roky),2020,42.58078929
Česko,Průměrný věk (roky),2021,42.7827715
Česko,Průměrný věk (roky),2022,42.6068977
Česko,Průměrný věk (roky),2023,42.80415635
Česko,Průměrný věk (roky),2024,43.06147486
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2016,63.15394166
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2017,64.82931865
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2018,66.33212198
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2019,67.77235355
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2020,68.97727617
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2021,70.97876159
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2022,71.53382594
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2023,71.87462306
Česko,"Index ekonomické závislosti (0–19, 65+ /20–64)",2024,71.95902301
Česko,Podíl obyvatel ve věku 65 a více let (%),2016,18.80098158
Česko,Podíl obyvatel ve věku 65 a více let (%),2017,19.22876931
Česko,Podíl obyvatel ve věku 65 a více let (%),2018,19.59301583
Česko,Podíl obyvatel ve věku 65 a více let (%),2019,19.93306676
Česko,Podíl obyvatel ve věku 65 a více let (%),2020,20.16788427
Česko,Podíl obyvatel ve věku 65 a více let (%),2021,20.62536305
Česko,Podíl obyvatel ve věku 65 a více let (%),2022,20.39106984
Česko,Podíl obyvatel ve věku 65 a více let (%),2023,20.52484484
Česko,Podíl obyvatel ve věku 65 a více let (%),2024,20.67818873
