Území,Ukazatel,Roky,value
Česko,Celkem,2016,112663.0
Česko,Celkem,2017,114405.0
Česko,Celkem,2018,114036.0
Česko,Celkem,2019,112231.0
Česko,Celkem,2020,110200.0
Česko,Celkem,2021,111793.0
Česko,Celkem,2022,101299.0
Česko,Celkem,2023,91149.0
Česko,Celkem,2024,84311.0
Česko,Chlapci,2016,57837.0
Česko,Chlapci,2017,58671.0
Česko,Chlapci,2018,58256.0
Česko,Chlapci,2019,57585.0
Česko,Chlapci,2020,56276.0
Česko,Chlapci,2021,57179.0
Česko,Chlapci,2022,51987.0
Česko,Chlapci,2023,46910.0
Česko,Chlapci,2024,43391.0
Česko,Dívky,2016,54826.0
Česko,Dívky,2017,55734.0
Česko,Dívky,2018,55780.0
Česko,Dívky,2019,54646.0
Česko,Dívky,2020,53924.0
Česko,Dívky,2021,54614.0
Česko,Dívky,2022,49312.0
Česko,Dívky,2023,44239.0
Česko,Dívky,2024,40920.0
Česko,Narození mimo manželství,2016,54733.0
Česko,Narození mimo manželství,2017,56091.0
Česko,Narození mimo manželství,2018,55338.0
Česko,Narození mimo manželství,2019,54093.0
Česko,Narození mimo manželství,2020,53408.0
Česko,Narození mimo manželství,2021,54203.0
Česko,Narození mimo manželství,2022,48872.0
Česko,Narození mimo manželství,2023,42925.0
Česko,Narození mimo manželství,2024,39599.0
Česko,Pořadí dítěte 1.,2016,54918.0
Česko,Pořadí dítěte 1.,2017,55726.0
Česko,Pořadí dítěte 1.,2018,54755.0
Česko,Pořadí dítěte 1.,2019,53647.0
Česko,Pořadí dítěte 1.,2020,52414.0
Česko,Pořadí dítěte 1.,2021,51900.0
Česko,Pořadí dítěte 1.,2022,46905.0
Česko,Pořadí dítěte 1.,2023,42165.0
Česko,Pořadí dítěte 1.,2024,38518.0
Česko,Pořadí dítěte 2.,2016,41302.0
Česko,Pořadí dítěte 2.,2017,41832.0
Česko,Pořadí dítěte 2.,2018,42462.0
Česko,Pořadí dítěte 2.,2019,42173.0
Česko,Pořadí dítěte 2.,2020,41432.0
Česko,Pořadí dítěte 2.,2021,43623.0
Česko,Pořadí dítěte 2.,2022,39130.0
Česko,Pořadí dítěte 2.,2023,35658.0
Česko,Pořadí dítěte 2.,2024,33180.0
Česko,Pořadí dítěte 3. a vyšší,2016,16443.0
Česko,Pořadí dítěte 3. a vyšší,2017,16847.0
Česko,Pořadí dítěte 3. a vyšší,2018,16819.0
Česko,Pořadí dítěte 3. a vyšší,2019,16411.0
Česko,Pořadí dítěte 3. a vyšší,2020,16354.0
Česko,Pořadí dítěte 3. a vyšší,2021,16270.0
Česko,Pořadí dítěte 3. a vyšší,2022,15264.0
Česko,Pořadí dítěte 3. a vyšší,2023,13326.0
Česko,Pořadí dítěte 3. a vyšší,2024,12613.0
Česko,Úhrnná plodnost,2016,1.629999335
Česko,Úhrnná plodnost,2017,1.686674769
Česko,Úhrnná plodnost,2018,1.708412422
Česko,Úhrnná plodnost,2019,1.708963053
Česko,Úhrnná plodnost,2020,1.707372719
Česko,Úhrnná plodnost,2021,1.826535974
Česko,Úhrnná plodnost,2022,1.617746603
Česko,Úhrnná plodnost,2023,1.452571879
Česko,Úhrnná plodnost,2024,1.367935055
Česko,Podíl živě narozených mimo manželství (%),2016,48.58116684
Česko,Podíl živě narozených mimo manželství (%),2017,49.02845155
Česko,Podíl živě narozených mimo manželství (%),2018,48.52678102
Česko,Podíl živě narozených mimo manželství (%),2019,48.19791323
Česko,Podíl živě narozených mimo manželství (%),2020,48.4646098
Česko,Podíl živě narozených mimo manželství (%),2021,48.48514665
Česko,Podíl živě narozených mimo manželství (%),2022,48.24529364
Česko,Podíl živě narozených mimo manželství (%),2023,47.09322099
Česko,Podíl živě narozených mimo manželství (%),2024,46.9677740746
Česko,Průměrný věk matek při narození dítěte,2016,29.9860915647
Česko,Průměrný věk matek při narození dítěte,2017,30.0231637887
Česko,Průměrný věk matek při narození dítěte,2018,30.1101562421
Česko,Průměrný věk matek při narození dítěte,2019,30.1544962688
Česko,Průměrný věk matek při narození dítěte,2020,30.1932449315
Česko,Průměrný věk matek při narození dítěte,2021,30.4234234875
Česko,Průměrný věk matek při narození dítěte,2022,30.432491855
Česko,Průměrný věk matek při narození dítěte,2023,30.42951703
Česko,Průměrný věk matek při narození dítěte,2024,30.5144094
