Území;Pohlaví;Ukazatel;Roky;value
Česko;Celkem;Celkem;2016;107750.0
Česko;Celkem;Celkem;2017;111443.0
Česko;Celkem;Celkem;2018;112920.0
Česko;Celkem;Celkem;2019;112362.0
Česko;Celkem;Celkem;2020;129289.0
Česko;Celkem;Celkem;2021;139891.0
Česko;Celkem;Celkem;2022;120219.0
Česko;Celkem;Celkem;2023;112795.0
Česko;Celkem;Celkem;2024;112211.0
Česko;Celkem;Novotvary (C00-D48);2016;27806.0
Česko;Celkem;Novotvary (C00-D48);2017;27852.0
Česko;Celkem;Novotvary (C00-D48);2018;28266.0
Česko;Celkem;Novotvary (C00-D48);2019;28869.0
Česko;Celkem;Novotvary (C00-D48);2020;28716.0
Česko;Celkem;Novotvary (C00-D48);2021;27717.0
Česko;Celkem;Novotvary (C00-D48);2022;28170.0
Česko;Celkem;Novotvary (C00-D48);2023;27921.0
Česko;Celkem;Novotvary (C00-D48);2024;
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2016;4521.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2017;4497.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2018;5137.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2019;5160.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2020;5897.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2021;6091.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2022;5756.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2023;5696.0
Česko;Celkem;Nemoci endokrinní, výživy a přeměny látek (E00-E90);2024;
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2016;3156.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2017;3269.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2018;3636.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2019;3719.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2020;4184.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2021;3986.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2022;4246.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2023;4054.0
Česko;Celkem;Nemoci nervové soustavy (G00-G99);2024;
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2016;47611.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2017;49346.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2018;48792.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2019;47393.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2020;51299.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2021;47873.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2022;46286.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2023;43745.0
Česko;Celkem;Nemoci oběhové soustavy (I00-I99);2024;
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2016;7128.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2017;8067.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2018;8315.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2019;8192.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2020;8290.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2021;7735.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2022;8504.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2023;8619.0
Česko;Celkem;Nemoci dýchací soustavy (J00-J99);2024;
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2016;4512.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2017;4769.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2018;4926.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2019;5023.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2020;5087.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2021;5362.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2022;5429.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2023;5269.0
Česko;Celkem;Nemoci trávicí soustavy (K00-K93);2024;
Česko;Celkem;Kódy pro speciální účely (U00-U85);2016;0.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2017;0.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2018;0.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2019;0.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2020;10539.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2021;25455.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2022;6035.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2023;1699.0
Česko;Celkem;Kódy pro speciální účely (U00-U85);2024;
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2016;5511.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2017;5608.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2018;5845.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2019;5685.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2020;5633.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2021;5300.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2022;5448.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2023;5334.0
Česko;Celkem;Vnější příčiny nemocnosti a úmrtnosti (V01-Y98);2024;
