Území;Ukazatel;Roky;value
Česko;Sňatky;2015;48191.0
Česko;Sňatky;2016;50768.0
Česko;Sňatky;2017;52567.0
Česko;Sňatky;2018;54470.0
Česko;Sňatky;2019;54870.0
Česko;Sňatky;2020;45415.0
Česko;Sňatky;2021;46778.0
Česko;Sňatky;2022;54820.0
Česko;Sňatky;2023;48268.0
Česko;Sňatky;2024;44486.0
Česko;1. sňatek muže;2015;36884.0
Česko;1. sňatek muže;2016;38578.0
Česko;1. sňatek muže;2017;40038.0
Česko;1. sňatek muže;2018;41316.0
Česko;1. sňatek muže;2019;41606.0
Česko;1. sňatek muže;2020;33814.0
Česko;1. sňatek muže;2021;34930.0
Česko;1. sňatek muže;2022;40847.0
Česko;1. sňatek muže;2023;35827.0
Česko;1. sňatek muže;2024;
Česko;2. a další sňatek muže;2015;11307.0
Česko;2. a další sňatek muže;2016;12190.0
Česko;2. a další sňatek muže;2017;12529.0
Česko;2. a další sňatek muže;2018;13154.0
Česko;2. a další sňatek muže;2019;13264.0
Česko;2. a další sňatek muže;2020;11601.0
Česko;2. a další sňatek muže;2021;11848.0
Česko;2. a další sňatek muže;2022;13973.0
Česko;2. a další sňatek muže;2023;12441.0
Česko;2. a další sňatek muže;2024;
Česko;1. sňatek ženy;2015;37021.0
Česko;1. sňatek ženy;2016;39007.0
Česko;1. sňatek ženy;2017;40336.0
Česko;1. sňatek ženy;2018;41592.0
Česko;1. sňatek ženy;2019;41724.0
Česko;1. sňatek ženy;2020;33974.0
Česko;1. sňatek ženy;2021;34856.0
Česko;1. sňatek ženy;2022;41138.0
Česko;1. sňatek ženy;2023;36028.0
Česko;1. sňatek ženy;2024;
Česko;2. a další sňatek ženy;2015;11170.0
Česko;2. a další sňatek ženy;2016;11761.0
Česko;2. a další sňatek ženy;2017;12231.0
Česko;2. a další sňatek ženy;2018;12878.0
Česko;2. a další sňatek ženy;2019;13146.0
Česko;2. a další sňatek ženy;2020;11441.0
Česko;2. a další sňatek ženy;2021;11922.0
Česko;2. a další sňatek ženy;2022;13682.0
Česko;2. a další sňatek ženy;2023;12240.0
Česko;2. a další sňatek ženy;2024;
Česko;Úhrnná sňatečnost svobodných mužů (%);2015;55.0984358813
Česko;Úhrnná sňatečnost svobodných mužů (%);2016;56.2214066606
Česko;Úhrnná sňatečnost svobodných mužů (%);2017;57.5867826834
Česko;Úhrnná sňatečnost svobodných mužů (%);2018;58.7814786414
Česko;Úhrnná sňatečnost svobodných mužů (%);2019;59.0343735474
Česko;Úhrnná sňatečnost svobodných mužů (%);2020;51.8781785659
Česko;Úhrnná sňatečnost svobodných mužů (%);2021;54.4287689298
Česko;Úhrnná sňatečnost svobodných mužů (%);2022;60.3670108351
Česko;Úhrnná sňatečnost svobodných mužů (%);2023;55.6130961
Česko;Úhrnná sňatečnost svobodných mužů (%);2024;
Česko;Úhrnná sňatečnost svobodných žen (%);2015;62.3570035995
Česko;Úhrnná sňatečnost svobodných žen (%);2016;64.2975599944
Česko;Úhrnná sňatečnost svobodných žen (%);2017;65.4451049142
Česko;Úhrnná sňatečnost svobodných žen (%);2018;66.8714349487
Česko;Úhrnná sňatečnost svobodných žen (%);2019;67.5477609552
Česko;Úhrnná sňatečnost svobodných žen (%);2020;60.8137275487
Česko;Úhrnná sňatečnost svobodných žen (%);2021;63.7135543838
Česko;Úhrnná sňatečnost svobodných žen (%);2022;70.2199671678
Česko;Úhrnná sňatečnost svobodných žen (%);2023;65.18807962
Česko;Úhrnná sňatečnost svobodných žen (%);2024;
Česko;Podíl 1. sňatků mužů (%);2015;76.53711274
Česko;Podíl 1. sňatků mužů (%);2016;75.98881185
Česko;Podíl 1. sňatků mužů (%);2017;76.16565526
Česko;Podíl 1. sňatků mužů (%);2018;75.85092712
Česko;Podíl 1. sňatků mužů (%);2019;75.826499
Česko;Podíl 1. sňatků mužů (%);2020;74.45557635
Česko;Podíl 1. sňatků mužů (%);2021;74.67185429
Česko;Podíl 1. sňatků mužů (%);2022;74.51112733
Česko;Podíl 1. sňatků mužů (%);2023;74.225159526
Česko;Podíl 1. sňatků mužů (%);2024;
Česko;Podíl 1. sňatků žen (%);2015;76.82139819
Česko;Podíl 1. sňatků žen (%);2016;76.83383234
Česko;Podíl 1. sňatků žen (%);2017;76.73255084
Česko;Podíl 1. sňatků žen (%);2018;76.35762805
Česko;Podíl 1. sňatků žen (%);2019;76.04155276
Česko;Podíl 1. sňatků žen (%);2020;74.80788286
Česko;Podíl 1. sňatků žen (%);2021;74.51366027
Česko;Podíl 1. sňatků žen (%);2022;75.04195549
Česko;Podíl 1. sňatků žen (%);2023;74.641584487
Česko;Podíl 1. sňatků žen (%);2024;
