Území;Pohlaví;Ukazatel;Roky;value
Česko;Celkem;Přistěhovalí;2016;37503.0
Česko;Celkem;Přistěhovalí;2017;45957.0
Česko;Celkem;Přistěhovalí;2018;58148.0
Česko;Celkem;Přistěhovalí;2019;65571.0
Česko;Celkem;Přistěhovalí;2020;55661.0
Česko;Celkem;Přistěhovalí;2021;69201.0
Česko;Celkem;Přistěhovalí;2022;349548.0
Česko;Celkem;Přistěhovalí;2023;141263.0
Česko;Celkem;Přistěhovalí;2024;121823.0
Česko;Celkem;Vystěhovalí;2016;17439.0
Česko;Celkem;Vystěhovalí;2017;17684.0
Česko;Celkem;Vystěhovalí;2018;19519.0
Česko;Celkem;Vystěhovalí;2019;21301.0
Česko;Celkem;Vystěhovalí;2020;28734.0
Česko;Celkem;Vystěhovalí;2021;19232.0
Česko;Celkem;Vystěhovalí;2022;19806.0
Česko;Celkem;Vystěhovalí;2023;46591.0
Česko;Celkem;Vystěhovalí;2024;84978.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2016;20064.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2017;28273.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2018;38629.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2019;44270.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2020;26927.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2021;49969.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2022;329742.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2023;94672.0
Česko;Celkem;Přírůstek/úbytek stěhováním;2024;36845.0
Česko;Celkem;Meziobecní stěhování;2016;250722.0
Česko;Celkem;Meziobecní stěhování;2017;246070.0
Česko;Celkem;Meziobecní stěhování;2018;247414.0
Česko;Celkem;Meziobecní stěhování;2019;242679.0
Česko;Celkem;Meziobecní stěhování;2020;231989.0
Česko;Celkem;Meziobecní stěhování;2021;248149.0
Česko;Celkem;Meziobecní stěhování;2022;244125.0
Česko;Celkem;Meziobecní stěhování;2023;288628.0
Česko;Celkem;Meziobecní stěhování;2024;
Česko;Celkem;Mezikrajské stěhování;2016;90493.0
Česko;Celkem;Mezikrajské stěhování;2017;89090.0
Česko;Celkem;Mezikrajské stěhování;2018;89774.0
Česko;Celkem;Mezikrajské stěhování;2019;89121.0
Česko;Celkem;Mezikrajské stěhování;2020;88066.0
Česko;Celkem;Mezikrajské stěhování;2021;95229.0
Česko;Celkem;Mezikrajské stěhování;2022;92354.0
Česko;Celkem;Mezikrajské stěhování;2023;120199.0
Česko;Celkem;Mezikrajské stěhování;2024;
Česko;Celkem;Přírůstek/úbytek stěhováním;2016;1.899049756
Česko;Celkem;Přírůstek/úbytek stěhováním;2017;2.669902317
Česko;Celkem;Přírůstek/úbytek stěhováním;2018;3.635181336
Česko;Celkem;Přírůstek/úbytek stěhováním;2019;4.149278811
Česko;Celkem;Přírůstek/úbytek stěhováním;2020;2.516505602
Česko;Celkem;Přírůstek/úbytek stěhováním;2021;4.758567164
Česko;Celkem;Přírůstek/úbytek stěhováním;2022;30.64652018
Česko;Celkem;Přírůstek/úbytek stěhováním;2023;8.703036815
Česko;Celkem;Přírůstek/úbytek stěhováním;2024;3.384457363
